num_conjunctive_edges,num_disjunctive_edges,num_nodes_inferred,num_nodes_total,num_edges_total,betweenness_mean,betweenness_range,perm,perm_idx,signature,paths,flatBoolVars,flatIntVars,flatBoolConstraints,flatIntConstraints,evaluatedHalfReifiedConstraints,method,flatTime,objective,objectiveBound,boolVariables,failures,propagations,solveTime,time,nSolutions,status,timeout_ms,exact_class_id
12,18,11,11,30,0.1185185185185185,0.0888888888888888,"(0, 0, 0)",0,3,0,18,20,9,38,18,minimize,69.91600000000001,,14,13,0,123,20.207,641.0,1,OPTIMAL_SOLUTION,1641.0,0
12,18,11,11,30,0.1069958847736625,0.0828042328042328,"(0, 0, 1)",1,2+1,0,18,20,9,38,18,minimize,66.947,,14,9,1,89,18.679,102.0,2,OPTIMAL_SOLUTION,1641.0,1
12,18,11,11,30,0.1069958847736625,0.0828042328042328,"(0, 0, 2)",2,2+1,0,18,20,9,38,18,minimize,67.473,,14,15,2,269,25.138,216.0,2,OPTIMAL_SOLUTION,1641.0,1
12,18,11,11,30,0.0928395061728395,0.0755555555555555,"(0, 0, 3)",3,2+1,0,18,20,9,38,18,minimize,69.051,,13,9,0,74,9.545,97.0,1,OPTIMAL_SOLUTION,1641.0,2
12,18,11,11,30,0.0928395061728395,0.0755555555555555,"(0, 0, 4)",4,2+1,0,18,20,9,38,18,minimize,70.471,,13,14,0,95,8.644,96.0,1,OPTIMAL_SOLUTION,1641.0,2
12,18,11,11,30,0.0795061728395061,0.0433333333333333,"(0, 0, 5)",5,2+1,0,18,20,9,38,18,minimize,70.45400000000001,,14,14,1,145,22.503,106.0,1,OPTIMAL_SOLUTION,1641.0,3
12,18,11,11,30,0.1069958847736625,0.0828042328042328,"(0, 1, 0)",6,2+1,0,18,20,9,38,18,minimize,70.89099999999999,,14,15,1,263,23.11,101.0,2,OPTIMAL_SOLUTION,1641.0,1
12,18,11,11,30,0.1069958847736625,0.0828042328042328,"(0, 1, 1)",7,2+1,0,18,20,9,38,18,minimize,69.375,,14,14,3,283,13.944,97.0,2,OPTIMAL_SOLUTION,1641.0,1
12,18,11,11,30,0.0921810699588477,0.0462962962962962,"(0, 1, 2)",8,1+1+1,0,18,20,9,38,18,minimize,69.773,,14,17,2,288,8.246,102.0,3,OPTIMAL_SOLUTION,1641.0,4
12,18,11,11,30,0.0806584362139917,0.0481481481481481,"(0, 1, 3)",9,1+1+1,0,18,20,9,38,18,minimize,68.221,,14,17,3,378,33.171,101.0,3,OPTIMAL_SOLUTION,1641.0,5
12,18,11,11,30,0.0921810699588477,0.0462962962962963,"(0, 1, 4)",10,1+1+1,0,18,20,9,38,18,minimize,69.77600000000001,,13,9,0,70,19.476,103.0,2,OPTIMAL_SOLUTION,1641.0,4
12,18,11,11,30,0.0806584362139917,0.0481481481481481,"(0, 1, 5)",11,1+1+1,0,18,20,9,38,18,minimize,67.469,,13,15,0,163,14.103,103.0,2,OPTIMAL_SOLUTION,1641.0,5
12,18,11,11,30,0.1069958847736625,0.0828042328042328,"(0, 2, 0)",12,2+1,0,18,20,9,38,18,minimize,68.292,,14,20,0,272,11.082,100.0,2,OPTIMAL_SOLUTION,1641.0,1
12,18,11,11,30,0.0921810699588477,0.0462962962962962,"(0, 2, 1)",13,1+1+1,0,18,20,9,38,18,minimize,67.789,,14,14,1,136,7.469,98.0,1,OPTIMAL_SOLUTION,1641.0,4
12,18,11,11,30,0.1069958847736625,0.0828042328042328,"(0, 2, 2)",14,2+1,0,18,20,9,38,18,minimize,66.274,,14,15,2,262,17.535999999999998,97.0,2,OPTIMAL_SOLUTION,1641.0,1
12,18,11,11,30,0.0921810699588477,0.0462962962962963,"(0, 2, 3)",15,1+1+1,0,18,20,9,38,18,minimize,65.49000000000001,,13,12,0,169,21.854,98.0,3,OPTIMAL_SOLUTION,1641.0,4
12,18,11,11,30,0.0806584362139917,0.0481481481481481,"(0, 2, 4)",16,1+1+1,0,18,20,9,38,18,minimize,69.042,,14,10,0,119,30.068,102.0,3,OPTIMAL_SOLUTION,1641.0,5
12,18,11,11,30,0.0806584362139917,0.0481481481481481,"(0, 2, 5)",17,1+1+1,0,18,20,9,38,18,minimize,66.408,,13,10,0,100,11.861,105.0,2,OPTIMAL_SOLUTION,1641.0,5
12,18,11,11,30,0.0928395061728395,0.0755555555555555,"(0, 3, 0)",18,2+1,0,18,20,9,38,18,minimize,68.757,,13,20,0,274,8.477,98.0,2,OPTIMAL_SOLUTION,1641.0,2
12,18,11,11,30,0.0806584362139917,0.0481481481481481,"(0, 3, 1)",19,1+1+1,0,18,20,9,38,18,minimize,66.681,,14,15,1,135,23.001,211.0,1,OPTIMAL_SOLUTION,1641.0,5
12,18,11,11,30,0.0921810699588477,0.0462962962962962,"(0, 3, 2)",20,1+1+1,0,18,20,9,38,18,minimize,67.163,,13,17,0,113,19.688,219.0,3,OPTIMAL_SOLUTION,1641.0,4
12,18,11,11,30,0.0928395061728395,0.0755555555555555,"(0, 3, 3)",21,2+1,0,18,20,9,38,18,minimize,68.199,,13,15,0,94,20.522,101.0,1,OPTIMAL_SOLUTION,1641.0,2
12,18,11,11,30,0.0790123456790123,0.0185185185185185,"(0, 3, 4)",22,1+1+1,0,18,20,9,38,18,minimize,67.393,,12,16,0,107,22.254,96.0,2,OPTIMAL_SOLUTION,1641.0,6
12,18,11,11,30,0.0806584362139917,0.0481481481481481,"(0, 3, 5)",23,1+1+1,0,18,20,9,38,18,minimize,65.66199999999999,,13,16,0,170,10.071,98.0,2,OPTIMAL_SOLUTION,1641.0,5
12,18,11,11,30,0.0928395061728395,0.0755555555555555,"(0, 4, 0)",24,2+1,0,18,20,9,38,18,minimize,69.544,,13,15,0,197,21.717,215.0,2,OPTIMAL_SOLUTION,1641.0,2
12,18,11,11,30,0.0921810699588477,0.0462962962962962,"(0, 4, 1)",25,1+1+1,0,18,20,9,38,18,minimize,68.638,,13,16,1,246,13.05,100.0,3,OPTIMAL_SOLUTION,1641.0,4
12,18,11,11,30,0.0806584362139917,0.0481481481481481,"(0, 4, 2)",26,1+1+1,0,18,20,9,38,18,minimize,67.055,,14,15,1,138,9.434,92.0,1,OPTIMAL_SOLUTION,1641.0,5
12,18,11,11,30,0.0790123456790123,0.0185185185185185,"(0, 4, 3)",27,1+1+1,0,18,20,9,38,18,minimize,66.91900000000001,,12,9,0,76,10.406,99.0,1,OPTIMAL_SOLUTION,1641.0,6
12,18,11,11,30,0.0928395061728395,0.0755555555555555,"(0, 4, 4)",28,2+1,0,18,20,9,38,18,minimize,65.943,,13,14,0,95,17.874000000000002,95.0,1,OPTIMAL_SOLUTION,1641.0,2
12,18,11,11,30,0.0806584362139917,0.0481481481481481,"(0, 4, 5)",29,1+1+1,0,18,20,9,38,18,minimize,66.69600000000001,,13,11,0,99,22.417,98.0,2,OPTIMAL_SOLUTION,1641.0,5
12,18,11,11,30,0.0795061728395061,0.0433333333333333,"(0, 5, 0)",30,2+1,0,18,20,9,38,18,minimize,67.49,,14,18,1,343,10.045,109.0,3,OPTIMAL_SOLUTION,1641.0,3
12,18,11,11,30,0.0806584362139917,0.0481481481481481,"(0, 5, 1)",31,1+1+1,0,18,20,9,38,18,minimize,67.261,,13,16,1,248,15.677,100.0,3,OPTIMAL_SOLUTION,1641.0,5
12,18,11,11,30,0.0806584362139917,0.0481481481481481,"(0, 5, 2)",32,1+1+1,0,18,20,9,38,18,minimize,66.039,,13,21,0,324,21.556,99.0,3,OPTIMAL_SOLUTION,1641.0,5
12,18,11,11,30,0.0806584362139917,0.0481481481481481,"(0, 5, 3)",33,1+1+1,0,18,20,9,38,18,minimize,66.878,,13,10,0,102,13.916,100.0,2,OPTIMAL_SOLUTION,1641.0,5
12,18,11,11,30,0.0806584362139917,0.0481481481481481,"(0, 5, 4)",34,1+1+1,0,18,20,9,38,18,minimize,67.29499999999999,,13,14,0,108,7.872000000000001,105.0,2,OPTIMAL_SOLUTION,1641.0,5
12,18,11,11,30,0.0795061728395061,0.0433333333333333,"(0, 5, 5)",35,2+1,0,18,20,9,38,18,minimize,65.72600000000001,,14,14,1,140,21.582,93.0,1,OPTIMAL_SOLUTION,1641.0,3
12,18,11,11,30,0.1069958847736625,0.0828042328042328,"(1, 0, 0)",36,2+1,0,18,20,9,38,18,minimize,67.525,,14,10,0,97,16.032,99.0,2,OPTIMAL_SOLUTION,1641.0,1
12,18,11,11,30,0.1069958847736625,0.0828042328042328,"(1, 0, 1)",37,2+1,0,18,20,9,38,18,minimize,68.765,,14,13,0,219,23.823,103.0,3,OPTIMAL_SOLUTION,1641.0,1
12,18,11,11,30,0.0921810699588477,0.0462962962962963,"(1, 0, 2)",38,1+1+1,0,18,20,9,38,18,minimize,66.573,,14,15,3,345,12.93,98.0,3,OPTIMAL_SOLUTION,1641.0,4
12,18,11,11,30,0.0806584362139917,0.0481481481481481,"(1, 0, 3)",39,1+1+1,0,18,20,9,38,18,minimize,66.86,,14,13,1,139,11.53,103.0,1,OPTIMAL_SOLUTION,1641.0,5
12,18,11,11,30,0.0921810699588477,0.0462962962962962,"(1, 0, 4)",40,1+1+1,0,18,20,9,38,18,minimize,66.416,,13,14,0,161,21.308,97.0,2,OPTIMAL_SOLUTION,1641.0,4
12,18,11,11,30,0.0806584362139917,0.0481481481481481,"(1, 0, 5)",41,1+1+1,0,18,20,9,38,18,minimize,66.626,,13,16,1,229,17.805,101.0,2,OPTIMAL_SOLUTION,1641.0,5
12,18,11,11,30,0.1069958847736625,0.0828042328042328,"(1, 1, 0)",42,2+1,0,18,20,9,38,18,minimize,66.437,,14,13,2,268,21.979,210.0,2,OPTIMAL_SOLUTION,1641.0,1
12,18,11,11,30,0.1185185185185185,0.0888888888888888,"(1, 1, 1)",43,3,0,18,20,9,38,18,minimize,65.92699999999999,,14,12,0,121,8.709,207.0,1,OPTIMAL_SOLUTION,1641.0,0
12,18,11,11,30,0.0928395061728395,0.0755555555555555,"(1, 1, 2)",44,2+1,0,18,20,9,38,18,minimize,70.218,,13,15,0,334,11.897,102.0,4,OPTIMAL_SOLUTION,1641.0,2
