num_conjunctive_edges,num_disjunctive_edges,num_nodes_inferred,num_nodes_total,num_edges_total,betweenness_mean,betweenness_range,perm,perm_idx,signature
12,18,11,11,30,0.1185185185185185,0.08888888888888888,"(0, 0, 0)",0,3
12,18,11,11,30,0.10699588477366256,0.08280423280423281,"(0, 0, 1)",1,2+1
12,18,11,11,30,0.10699588477366254,0.08280423280423281,"(0, 0, 2)",2,2+1
12,18,11,11,30,0.0928395061728395,0.07555555555555557,"(0, 0, 3)",3,2+1
12,18,11,11,30,0.09283950617283951,0.07555555555555556,"(0, 0, 4)",4,2+1
12,18,11,11,30,0.07950617283950617,0.043333333333333335,"(0, 0, 5)",5,2+1
12,18,11,11,30,0.10699588477366256,0.08280423280423281,"(0, 1, 0)",6,2+1
12,18,11,11,30,0.10699588477366256,0.08280423280423284,"(0, 1, 1)",7,2+1
12,18,11,11,30,0.09218106995884773,0.04629629629629628,"(0, 1, 2)",8,1+1+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(0, 1, 3)",9,1+1+1
12,18,11,11,30,0.09218106995884773,0.04629629629629632,"(0, 1, 4)",10,1+1+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(0, 1, 5)",11,1+1+1
12,18,11,11,30,0.10699588477366255,0.08280423280423281,"(0, 2, 0)",12,2+1
12,18,11,11,30,0.09218106995884773,0.04629629629629628,"(0, 2, 1)",13,1+1+1
12,18,11,11,30,0.10699588477366255,0.08280423280423281,"(0, 2, 2)",14,2+1
12,18,11,11,30,0.09218106995884774,0.04629629629629632,"(0, 2, 3)",15,1+1+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(0, 2, 4)",16,1+1+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(0, 2, 5)",17,1+1+1
12,18,11,11,30,0.09283950617283951,0.07555555555555557,"(0, 3, 0)",18,2+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(0, 3, 1)",19,1+1+1
12,18,11,11,30,0.09218106995884773,0.046296296296296294,"(0, 3, 2)",20,1+1+1
12,18,11,11,30,0.0928395061728395,0.07555555555555557,"(0, 3, 3)",21,2+1
12,18,11,11,30,0.07901234567901234,0.01851851851851853,"(0, 3, 4)",22,1+1+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(0, 3, 5)",23,1+1+1
12,18,11,11,30,0.0928395061728395,0.07555555555555557,"(0, 4, 0)",24,2+1
12,18,11,11,30,0.09218106995884773,0.046296296296296294,"(0, 4, 1)",25,1+1+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(0, 4, 2)",26,1+1+1
12,18,11,11,30,0.07901234567901236,0.01851851851851853,"(0, 4, 3)",27,1+1+1
12,18,11,11,30,0.09283950617283951,0.07555555555555557,"(0, 4, 4)",28,2+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(0, 4, 5)",29,1+1+1
12,18,11,11,30,0.07950617283950619,0.043333333333333335,"(0, 5, 0)",30,2+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(0, 5, 1)",31,1+1+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(0, 5, 2)",32,1+1+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(0, 5, 3)",33,1+1+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(0, 5, 4)",34,1+1+1
12,18,11,11,30,0.07950617283950619,0.043333333333333335,"(0, 5, 5)",35,2+1
12,18,11,11,30,0.10699588477366256,0.08280423280423284,"(1, 0, 0)",36,2+1
12,18,11,11,30,0.10699588477366256,0.08280423280423281,"(1, 0, 1)",37,2+1
12,18,11,11,30,0.09218106995884773,0.04629629629629632,"(1, 0, 2)",38,1+1+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(1, 0, 3)",39,1+1+1
12,18,11,11,30,0.09218106995884773,0.04629629629629628,"(1, 0, 4)",40,1+1+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(1, 0, 5)",41,1+1+1
12,18,11,11,30,0.10699588477366256,0.08280423280423281,"(1, 1, 0)",42,2+1
12,18,11,11,30,0.1185185185185185,0.08888888888888888,"(1, 1, 1)",43,3
12,18,11,11,30,0.09283950617283951,0.07555555555555556,"(1, 1, 2)",44,2+1
12,18,11,11,30,0.07950617283950617,0.043333333333333335,"(1, 1, 3)",45,2+1
12,18,11,11,30,0.10699588477366254,0.08280423280423281,"(1, 1, 4)",46,2+1
12,18,11,11,30,0.0928395061728395,0.07555555555555557,"(1, 1, 5)",47,2+1
12,18,11,11,30,0.09218106995884773,0.046296296296296294,"(1, 2, 0)",48,1+1+1
12,18,11,11,30,0.0928395061728395,0.07555555555555557,"(1, 2, 1)",49,2+1
12,18,11,11,30,0.09283950617283951,0.07555555555555557,"(1, 2, 2)",50,2+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(1, 2, 3)",51,1+1+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(1, 2, 4)",52,1+1+1
12,18,11,11,30,0.07901234567901236,0.01851851851851853,"(1, 2, 5)",53,1+1+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(1, 3, 0)",54,1+1+1
12,18,11,11,30,0.07950617283950619,0.043333333333333335,"(1, 3, 1)",55,2+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(1, 3, 2)",56,1+1+1
12,18,11,11,30,0.07950617283950619,0.043333333333333335,"(1, 3, 3)",57,2+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(1, 3, 4)",58,1+1+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(1, 3, 5)",59,1+1+1
12,18,11,11,30,0.09218106995884773,0.04629629629629628,"(1, 4, 0)",60,1+1+1
12,18,11,11,30,0.10699588477366255,0.08280423280423281,"(1, 4, 1)",61,2+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(1, 4, 2)",62,1+1+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(1, 4, 3)",63,1+1+1
12,18,11,11,30,0.10699588477366255,0.08280423280423281,"(1, 4, 4)",64,2+1
12,18,11,11,30,0.09218106995884774,0.04629629629629632,"(1, 4, 5)",65,1+1+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(1, 5, 0)",66,1+1+1
12,18,11,11,30,0.09283950617283951,0.07555555555555557,"(1, 5, 1)",67,2+1
12,18,11,11,30,0.07901234567901234,0.01851851851851853,"(1, 5, 2)",68,1+1+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(1, 5, 3)",69,1+1+1
12,18,11,11,30,0.09218106995884773,0.046296296296296294,"(1, 5, 4)",70,1+1+1
12,18,11,11,30,0.0928395061728395,0.07555555555555557,"(1, 5, 5)",71,2+1
12,18,11,11,30,0.10699588477366255,0.08280423280423281,"(2, 0, 0)",72,2+1
12,18,11,11,30,0.09218106995884774,0.04629629629629632,"(2, 0, 1)",73,1+1+1
12,18,11,11,30,0.10699588477366255,0.08280423280423281,"(2, 0, 2)",74,2+1
12,18,11,11,30,0.09218106995884773,0.04629629629629628,"(2, 0, 3)",75,1+1+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(2, 0, 4)",76,1+1+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(2, 0, 5)",77,1+1+1
12,18,11,11,30,0.09218106995884773,0.046296296296296294,"(2, 1, 0)",78,1+1+1
12,18,11,11,30,0.0928395061728395,0.07555555555555557,"(2, 1, 1)",79,2+1
12,18,11,11,30,0.09283950617283951,0.07555555555555557,"(2, 1, 2)",80,2+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(2, 1, 3)",81,1+1+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(2, 1, 4)",82,1+1+1
12,18,11,11,30,0.07901234567901234,0.01851851851851853,"(2, 1, 5)",83,1+1+1
12,18,11,11,30,0.10699588477366254,0.08280423280423281,"(2, 2, 0)",84,2+1
12,18,11,11,30,0.0928395061728395,0.07555555555555557,"(2, 2, 1)",85,2+1
12,18,11,11,30,0.1185185185185185,0.08888888888888888,"(2, 2, 2)",86,3
12,18,11,11,30,0.10699588477366256,0.08280423280423281,"(2, 2, 3)",87,2+1
12,18,11,11,30,0.07950617283950617,0.043333333333333335,"(2, 2, 4)",88,2+1
12,18,11,11,30,0.09283950617283951,0.07555555555555556,"(2, 2, 5)",89,2+1
12,18,11,11,30,0.09218106995884773,0.04629629629629628,"(2, 3, 0)",90,1+1+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(2, 3, 1)",91,1+1+1
12,18,11,11,30,0.10699588477366256,0.08280423280423281,"(2, 3, 2)",92,2+1
12,18,11,11,30,0.10699588477366256,0.08280423280423284,"(2, 3, 3)",93,2+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(2, 3, 4)",94,1+1+1
12,18,11,11,30,0.09218106995884773,0.04629629629629632,"(2, 3, 5)",95,1+1+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(2, 4, 0)",96,1+1+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(2, 4, 1)",97,1+1+1
12,18,11,11,30,0.07950617283950619,0.043333333333333335,"(2, 4, 2)",98,2+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(2, 4, 3)",99,1+1+1
12,18,11,11,30,0.07950617283950619,0.043333333333333335,"(2, 4, 4)",100,2+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(2, 4, 5)",101,1+1+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(2, 5, 0)",102,1+1+1
12,18,11,11,30,0.07901234567901236,0.01851851851851853,"(2, 5, 1)",103,1+1+1
12,18,11,11,30,0.0928395061728395,0.07555555555555557,"(2, 5, 2)",104,2+1
12,18,11,11,30,0.09218106995884773,0.046296296296296294,"(2, 5, 3)",105,1+1+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(2, 5, 4)",106,1+1+1
12,18,11,11,30,0.09283950617283951,0.07555555555555557,"(2, 5, 5)",107,2+1
12,18,11,11,30,0.09283950617283951,0.07555555555555557,"(3, 0, 0)",108,2+1
12,18,11,11,30,0.08065843621399177,0.04814814814814814,"(3, 0, 1)",109,1+1+1
