job,machine,btw,perm,perm_idx,betweenness_mean,signature
0,0,0.08888888888888888,"(0, 0, 0)",0,0.1185185185185185,3
0,1,0.17777777777777776,"(0, 0, 0)",0,0.1185185185185185,3
0,2,0.08888888888888888,"(0, 0, 0)",0,0.1185185185185185,3
1,0,0.08888888888888888,"(0, 0, 0)",0,0.1185185185185185,3
1,1,0.17777777777777776,"(0, 0, 0)",0,0.1185185185185185,3
1,2,0.08888888888888888,"(0, 0, 0)",0,0.1185185185185185,3
2,0,0.08888888888888888,"(0, 0, 0)",0,0.1185185185185185,3
2,1,0.17777777777777776,"(0, 0, 0)",0,0.1185185185185185,3
2,2,0.08888888888888888,"(0, 0, 0)",0,0.1185185185185185,3
0,0,0.08597883597883597,"(0, 0, 1)",1,0.10699588477366256,2+1
0,1,0.1433862433862434,"(0, 0, 1)",1,0.10699588477366256,2+1
0,2,0.07116402116402117,"(0, 0, 1)",1,0.10699588477366256,2+1
1,0,0.08597883597883597,"(0, 0, 1)",1,0.10699588477366256,2+1
1,1,0.1433862433862434,"(0, 0, 1)",1,0.10699588477366256,2+1
1,2,0.07116402116402117,"(0, 0, 1)",1,0.10699588477366256,2+1
2,0,0.11693121693121696,"(0, 0, 1)",1,0.10699588477366256,2+1
2,2,0.15396825396825398,"(0, 0, 1)",1,0.10699588477366256,2+1
2,1,0.09100529100529102,"(0, 0, 1)",1,0.10699588477366256,2+1
0,0,0.07116402116402117,"(0, 0, 2)",2,0.10699588477366254,2+1
0,1,0.14338624338624337,"(0, 0, 2)",2,0.10699588477366254,2+1
0,2,0.08597883597883597,"(0, 0, 2)",2,0.10699588477366254,2+1
1,0,0.07116402116402117,"(0, 0, 2)",2,0.10699588477366254,2+1
1,1,0.14338624338624337,"(0, 0, 2)",2,0.10699588477366254,2+1
1,2,0.08597883597883597,"(0, 0, 2)",2,0.10699588477366254,2+1
2,1,0.091005291005291,"(0, 0, 2)",2,0.10699588477366254,2+1
2,0,0.15396825396825398,"(0, 0, 2)",2,0.10699588477366254,2+1
2,2,0.11693121693121694,"(0, 0, 2)",2,0.10699588477366254,2+1
0,0,0.07851851851851852,"(0, 0, 3)",3,0.0928395061728395,2+1
0,1,0.1037037037037037,"(0, 0, 3)",3,0.0928395061728395,2+1
0,2,0.0651851851851852,"(0, 0, 3)",3,0.0928395061728395,2+1
1,0,0.07851851851851852,"(0, 0, 3)",3,0.0928395061728395,2+1
1,1,0.1037037037037037,"(0, 0, 3)",3,0.0928395061728395,2+1
1,2,0.06518518518518518,"(0, 0, 3)",3,0.0928395061728395,2+1
2,1,0.09629629629629631,"(0, 0, 3)",3,0.0928395061728395,2+1
2,2,0.1037037037037037,"(0, 0, 3)",3,0.0928395061728395,2+1
2,0,0.14074074074074075,"(0, 0, 3)",3,0.0928395061728395,2+1
0,0,0.0651851851851852,"(0, 0, 4)",4,0.09283950617283951,2+1
0,1,0.1037037037037037,"(0, 0, 4)",4,0.09283950617283951,2+1
0,2,0.07851851851851852,"(0, 0, 4)",4,0.09283950617283951,2+1
1,0,0.0651851851851852,"(0, 0, 4)",4,0.09283950617283951,2+1
1,1,0.1037037037037037,"(0, 0, 4)",4,0.09283950617283951,2+1
1,2,0.07851851851851852,"(0, 0, 4)",4,0.09283950617283951,2+1
2,2,0.14074074074074075,"(0, 0, 4)",4,0.09283950617283951,2+1
2,0,0.1037037037037037,"(0, 0, 4)",4,0.09283950617283951,2+1
2,1,0.0962962962962963,"(0, 0, 4)",4,0.09283950617283951,2+1
0,0,0.06555555555555556,"(0, 0, 5)",5,0.07950617283950617,2+1
0,1,0.08444444444444445,"(0, 0, 5)",5,0.07950617283950617,2+1
0,2,0.06555555555555556,"(0, 0, 5)",5,0.07950617283950617,2+1
1,0,0.06555555555555556,"(0, 0, 5)",5,0.07950617283950617,2+1
1,1,0.08444444444444445,"(0, 0, 5)",5,0.07950617283950617,2+1
1,2,0.06555555555555556,"(0, 0, 5)",5,0.07950617283950617,2+1
2,2,0.1088888888888889,"(0, 0, 5)",5,0.07950617283950617,2+1
2,1,0.06666666666666667,"(0, 0, 5)",5,0.07950617283950617,2+1
2,0,0.1088888888888889,"(0, 0, 5)",5,0.07950617283950617,2+1
0,0,0.08597883597883597,"(0, 1, 0)",6,0.10699588477366256,2+1
0,1,0.1433862433862434,"(0, 1, 0)",6,0.10699588477366256,2+1
0,2,0.07116402116402117,"(0, 1, 0)",6,0.10699588477366256,2+1
1,0,0.11693121693121694,"(0, 1, 0)",6,0.10699588477366256,2+1
1,2,0.15396825396825398,"(0, 1, 0)",6,0.10699588477366256,2+1
1,1,0.091005291005291,"(0, 1, 0)",6,0.10699588477366256,2+1
