paths,flatBoolVars,flatIntVars,flatBoolConstraints,flatIntConstraints,evaluatedHalfReifiedConstraints,method,flatTime,objective,objectiveBound,boolVariables,failures,propagations,solveTime,time,nSolutions,perm_idx,perm,status,timeout_ms
0,18,20,9,38,18,minimize,69.91600000000001,,14,13,0,123,20.207,641.0,1,0,"(0, 0, 0)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,66.947,,14,9,1,89,18.679000000000002,102.0,2,1,"(0, 0, 1)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,67.473,,14,15,2,269,25.138,216.0,2,2,"(0, 0, 2)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,69.051,,13,9,0,74,9.545,97.0,1,3,"(0, 0, 3)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,70.471,,13,14,0,95,8.644,96.0,1,4,"(0, 0, 4)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,70.45400000000001,,14,14,1,145,22.503,106.0,1,5,"(0, 0, 5)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,70.89099999999999,,14,15,1,263,23.11,101.0,2,6,"(0, 1, 0)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,69.375,,14,14,3,283,13.943999999999999,97.0,2,7,"(0, 1, 1)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,69.773,,14,17,2,288,8.246,102.0,3,8,"(0, 1, 2)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,68.221,,14,17,3,378,33.171,101.0,3,9,"(0, 1, 3)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,69.77600000000001,,13,9,0,70,19.476,103.0,2,10,"(0, 1, 4)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,67.469,,13,15,0,163,14.103,103.0,2,11,"(0, 1, 5)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,68.292,,14,20,0,272,11.081999999999999,100.0,2,12,"(0, 2, 0)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,67.789,,14,14,1,136,7.469,98.0,1,13,"(0, 2, 1)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,66.274,,14,15,2,262,17.535999999999998,97.0,2,14,"(0, 2, 2)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,65.49000000000001,,13,12,0,169,21.854,98.0,3,15,"(0, 2, 3)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,69.042,,14,10,0,119,30.068,102.0,3,16,"(0, 2, 4)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,66.408,,13,10,0,100,11.861,105.0,2,17,"(0, 2, 5)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,68.757,,13,20,0,274,8.477,98.0,2,18,"(0, 3, 0)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,66.681,,14,15,1,135,23.001,211.0,1,19,"(0, 3, 1)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,67.163,,13,17,0,113,19.688000000000002,219.0,3,20,"(0, 3, 2)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,68.199,,13,15,0,94,20.522,101.0,1,21,"(0, 3, 3)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,67.393,,12,16,0,107,22.253999999999998,96.0,2,22,"(0, 3, 4)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,65.66199999999999,,13,16,0,170,10.071,98.0,2,23,"(0, 3, 5)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,69.544,,13,15,0,197,21.717,215.0,2,24,"(0, 4, 0)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,68.638,,13,16,1,246,13.05,100.0,3,25,"(0, 4, 1)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,67.055,,14,15,1,138,9.434,92.0,1,26,"(0, 4, 2)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,66.91900000000001,,12,9,0,76,10.406,99.0,1,27,"(0, 4, 3)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,65.943,,13,14,0,95,17.874000000000002,95.0,1,28,"(0, 4, 4)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,66.69600000000001,,13,11,0,99,22.416999999999998,98.0,2,29,"(0, 4, 5)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,67.49,,14,18,1,343,10.045,109.0,3,30,"(0, 5, 0)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,67.261,,13,16,1,248,15.677,100.0,3,31,"(0, 5, 1)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,66.039,,13,21,0,324,21.555999999999997,99.0,3,32,"(0, 5, 2)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,66.878,,13,10,0,102,13.916,100.0,2,33,"(0, 5, 3)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,67.29499999999999,,13,14,0,108,7.872000000000001,105.0,2,34,"(0, 5, 4)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,65.72600000000001,,14,14,1,140,21.582,93.0,1,35,"(0, 5, 5)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,67.525,,14,10,0,97,16.032,99.0,2,36,"(1, 0, 0)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,68.765,,14,13,0,219,23.823,103.0,3,37,"(1, 0, 1)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,66.573,,14,15,3,345,12.93,98.0,3,38,"(1, 0, 2)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,66.86,,14,13,1,139,11.530000000000001,103.0,1,39,"(1, 0, 3)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,66.416,,13,14,0,161,21.308,97.0,2,40,"(1, 0, 4)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,66.626,,13,16,1,229,17.805,101.0,2,41,"(1, 0, 5)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,66.437,,14,13,2,268,21.979,210.0,2,42,"(1, 1, 0)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,65.92699999999999,,14,12,0,121,8.709,207.0,1,43,"(1, 1, 1)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,70.218,,13,15,0,334,11.897,102.0,4,44,"(1, 1, 2)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,71.764,,14,10,0,103,12.092,100.0,2,45,"(1, 1, 3)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,71.739,,14,13,1,136,19.886,107.0,1,46,"(1, 1, 4)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,67.194,,13,13,0,93,15.932000000000002,99.0,1,47,"(1, 1, 5)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,66.97699999999999,,14,17,0,283,18.663,99.0,3,48,"(1, 2, 0)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,66.541,,13,18,0,282,16.91,101.0,3,49,"(1, 2, 1)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,66.745,,13,10,0,102,21.149,98.0,3,50,"(1, 2, 2)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,66.887,,13,19,0,348,13.671000000000001,98.0,3,51,"(1, 2, 3)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,66.452,,13,17,0,313,17.637,105.0,4,52,"(1, 2, 4)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,67.86,,12,16,0,135,7.432,104.0,2,53,"(1, 2, 5)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,66.33999999999999,,14,13,1,147,18.411,101.0,2,54,"(1, 3, 0)",OPTIMAL_SOLUTION,1641.0
0,18,20,9,38,18,minimize,66.758,,14,12,0,127,17.57,99.0,2,55,"(1, 3, 1)",OPTIMAL_SOLUTION,1641.0
