job,machine,btw,perm,perm_idx,betweenness_mean
0,0,0.04779411764705883,"(0, 0, 0, 0)",0,0.08639705882352941
0,1,0.125,"(0, 0, 0, 0)",0,0.08639705882352941
0,2,0.125,"(0, 0, 0, 0)",0,0.08639705882352941
0,3,0.04779411764705883,"(0, 0, 0, 0)",0,0.08639705882352941
1,0,0.04779411764705883,"(0, 0, 0, 0)",0,0.08639705882352941
1,1,0.125,"(0, 0, 0, 0)",0,0.08639705882352941
1,2,0.125,"(0, 0, 0, 0)",0,0.08639705882352941
1,3,0.04779411764705883,"(0, 0, 0, 0)",0,0.08639705882352941
2,0,0.04779411764705883,"(0, 0, 0, 0)",0,0.08639705882352941
2,1,0.125,"(0, 0, 0, 0)",0,0.08639705882352941
2,2,0.125,"(0, 0, 0, 0)",0,0.08639705882352941
2,3,0.04779411764705883,"(0, 0, 0, 0)",0,0.08639705882352941
3,0,0.04779411764705883,"(0, 0, 0, 0)",0,0.08639705882352941
3,1,0.125,"(0, 0, 0, 0)",0,0.08639705882352941
3,2,0.125,"(0, 0, 0, 0)",0,0.08639705882352941
3,3,0.04779411764705882,"(0, 0, 0, 0)",0,0.08639705882352941
0,0,0.043750000000000004,"(0, 0, 0, 1)",1,0.08042279411764705
0,1,0.11850490196078431,"(0, 0, 0, 1)",1,0.08042279411764705
0,2,0.10012254901960782,"(0, 0, 0, 1)",1,0.08042279411764705
0,3,0.03517156862745098,"(0, 0, 0, 1)",1,0.08042279411764705
1,0,0.043750000000000004,"(0, 0, 0, 1)",1,0.08042279411764705
1,1,0.11850490196078431,"(0, 0, 0, 1)",1,0.08042279411764705
1,2,0.10012254901960782,"(0, 0, 0, 1)",1,0.08042279411764705
1,3,0.03517156862745098,"(0, 0, 0, 1)",1,0.08042279411764705
2,0,0.043750000000000004,"(0, 0, 0, 1)",1,0.08042279411764705
2,1,0.11850490196078431,"(0, 0, 0, 1)",1,0.08042279411764705
2,2,0.10012254901960783,"(0, 0, 0, 1)",1,0.08042279411764705
2,3,0.03517156862745098,"(0, 0, 0, 1)",1,0.08042279411764705
3,0,0.059926470588235296,"(0, 0, 0, 1)",1,0.08042279411764705
3,1,0.15919117647058825,"(0, 0, 0, 1)",1,0.08042279411764705
3,3,0.12242647058823528,"(0, 0, 0, 1)",1,0.08042279411764705
3,2,0.052573529411764706,"(0, 0, 0, 1)",1,0.08042279411764705
0,0,0.040686274509803916,"(0, 0, 0, 2)",2,0.078125
0,1,0.10073529411764705,"(0, 0, 0, 2)",2,0.078125
0,2,0.10073529411764705,"(0, 0, 0, 2)",2,0.078125
0,3,0.04068627450980392,"(0, 0, 0, 2)",2,0.078125
1,0,0.04068627450980392,"(0, 0, 0, 2)",2,0.078125
1,1,0.10073529411764705,"(0, 0, 0, 2)",2,0.078125
1,2,0.10073529411764705,"(0, 0, 0, 2)",2,0.078125
1,3,0.04068627450980392,"(0, 0, 0, 2)",2,0.078125
2,0,0.04068627450980392,"(0, 0, 0, 2)",2,0.078125
2,1,0.10073529411764705,"(0, 0, 0, 2)",2,0.078125
2,2,0.10073529411764705,"(0, 0, 0, 2)",2,0.078125
2,3,0.04068627450980392,"(0, 0, 0, 2)",2,0.078125
3,0,0.07647058823529412,"(0, 0, 0, 2)",2,0.078125
3,2,0.12426470588235296,"(0, 0, 0, 2)",2,0.078125
3,1,0.12426470588235296,"(0, 0, 0, 2)",2,0.078125
3,3,0.07647058823529412,"(0, 0, 0, 2)",2,0.078125
0,0,0.041176470588235294,"(0, 0, 0, 3)",3,0.07286305147058825
0,1,0.09926470588235294,"(0, 0, 0, 3)",3,0.07286305147058825
0,2,0.07727591036414566,"(0, 0, 0, 3)",3,0.07286305147058825
0,3,0.02857142857142857,"(0, 0, 0, 3)",3,0.07286305147058825
1,0,0.041176470588235294,"(0, 0, 0, 3)",3,0.07286305147058825
1,1,0.09926470588235294,"(0, 0, 0, 3)",3,0.07286305147058825
1,2,0.07727591036414566,"(0, 0, 0, 3)",3,0.07286305147058825
1,3,0.02857142857142857,"(0, 0, 0, 3)",3,0.07286305147058825
2,0,0.0411764705882353,"(0, 0, 0, 3)",3,0.07286305147058825
2,1,0.09926470588235294,"(0, 0, 0, 3)",3,0.07286305147058825
2,2,0.07727591036414566,"(0, 0, 0, 3)",3,0.07286305147058825
2,3,0.02857142857142857,"(0, 0, 0, 3)",3,0.07286305147058825
3,0,0.09558823529411764,"(0, 0, 0, 3)",3,0.07286305147058825
3,2,0.13566176470588237,"(0, 0, 0, 3)",3,0.07286305147058825
3,3,0.0766281512605042,"(0, 0, 0, 3)",3,0.07286305147058825
3,1,0.11906512605042016,"(0, 0, 0, 3)",3,0.07286305147058825
0,0,0.041929271708683484,"(0, 0, 0, 4)",4,0.07192095588235294
0,1,0.08604691876750702,"(0, 0, 0, 4)",4,0.07192095588235294
0,2,0.06477591036414566,"(0, 0, 0, 4)",4,0.07192095588235294
0,3,0.04044117647058824,"(0, 0, 0, 4)",4,0.07192095588235294
1,0,0.04192927170868348,"(0, 0, 0, 4)",4,0.07192095588235294
1,1,0.086046918767507,"(0, 0, 0, 4)",4,0.07192095588235294
1,2,0.06477591036414566,"(0, 0, 0, 4)",4,0.07192095588235294
1,3,0.04044117647058824,"(0, 0, 0, 4)",4,0.07192095588235294
2,0,0.04192927170868348,"(0, 0, 0, 4)",4,0.07192095588235294
2,1,0.08604691876750699,"(0, 0, 0, 4)",4,0.07192095588235294
2,2,0.06477591036414565,"(0, 0, 0, 4)",4,0.07192095588235294
2,3,0.04044117647058824,"(0, 0, 0, 4)",4,0.07192095588235294
3,0,0.12788865546218486,"(0, 0, 0, 4)",4,0.07192095588235294
3,3,0.18671218487394958,"(0, 0, 0, 4)",4,0.07192095588235294
3,1,0.08508403361344537,"(0, 0, 0, 4)",4,0.07192095588235294
3,2,0.051470588235294115,"(0, 0, 0, 4)",4,0.07192095588235294
0,0,0.04411764705882353,"(0, 0, 0, 5)",5,0.06870404411764705
0,1,0.08762254901960784,"(0, 0, 0, 5)",5,0.06870404411764705
0,2,0.058823529411764705,"(0, 0, 0, 5)",5,0.06870404411764705
0,3,0.032475490196078434,"(0, 0, 0, 5)",5,0.06870404411764705
1,0,0.044117647058823525,"(0, 0, 0, 5)",5,0.06870404411764705
1,1,0.08762254901960785,"(0, 0, 0, 5)",5,0.06870404411764705
1,2,0.058823529411764705,"(0, 0, 0, 5)",5,0.06870404411764705
1,3,0.032475490196078434,"(0, 0, 0, 5)",5,0.06870404411764705
2,0,0.044117647058823525,"(0, 0, 0, 5)",5,0.06870404411764705
2,1,0.08762254901960784,"(0, 0, 0, 5)",5,0.06870404411764705
2,2,0.058823529411764705,"(0, 0, 0, 5)",5,0.06870404411764705
2,3,0.032475490196078434,"(0, 0, 0, 5)",5,0.06870404411764705
3,0,0.13051470588235295,"(0, 0, 0, 5)",5,0.06870404411764705
3,3,0.15992647058823528,"(0, 0, 0, 5)",5,0.06870404411764705
3,2,0.04963235294117647,"(0, 0, 0, 5)",5,0.06870404411764705
3,1,0.0900735294117647,"(0, 0, 0, 5)",5,0.06870404411764705
0,0,0.038585434173669456,"(0, 0, 0, 7)",7,0.07720588235294117
0,1,0.08916316526610643,"(0, 0, 0, 7)",7,0.07720588235294117
0,2,0.08916316526610644,"(0, 0, 0, 7)",7,0.07720588235294117
0,3,0.03858543417366947,"(0, 0, 0, 7)",7,0.07720588235294117
1,0,0.038585434173669456,"(0, 0, 0, 7)",7,0.07720588235294117
1,1,0.08916316526610643,"(0, 0, 0, 7)",7,0.07720588235294117
1,2,0.08916316526610644,"(0, 0, 0, 7)",7,0.07720588235294117
1,3,0.03858543417366947,"(0, 0, 0, 7)",7,0.07720588235294117
2,0,0.03858543417366947,"(0, 0, 0, 7)",7,0.07720588235294117
2,1,0.08916316526610643,"(0, 0, 0, 7)",7,0.07720588235294117
2,2,0.08916316526610644,"(0, 0, 0, 7)",7,0.07720588235294117
2,3,0.03858543417366947,"(0, 0, 0, 7)",7,0.07720588235294117
3,1,0.06071428571428572,"(0, 0, 0, 7)",7,0.07720588235294117
3,0,0.17368697478991596,"(0, 0, 0, 7)",7,0.07720588235294117
3,3,0.17368697478991596,"(0, 0, 0, 7)",7,0.07720588235294117
3,2,0.06071428571428571,"(0, 0, 0, 7)",7,0.07720588235294117
0,0,0.04044117647058824,"(0, 0, 0, 8)",8,0.07192095588235295
0,1,0.06477591036414566,"(0, 0, 0, 8)",8,0.07192095588235295
0,2,0.08604691876750699,"(0, 0, 0, 8)",8,0.07192095588235295
0,3,0.04192927170868346,"(0, 0, 0, 8)",8,0.07192095588235295
1,0,0.04044117647058824,"(0, 0, 0, 8)",8,0.07192095588235295
1,1,0.06477591036414566,"(0, 0, 0, 8)",8,0.07192095588235295
1,2,0.086046918767507,"(0, 0, 0, 8)",8,0.07192095588235295
1,3,0.04192927170868348,"(0, 0, 0, 8)",8,0.07192095588235295
2,0,0.040441176470588244,"(0, 0, 0, 8)",8,0.07192095588235295
2,1,0.06477591036414565,"(0, 0, 0, 8)",8,0.07192095588235295
2,2,0.08604691876750699,"(0, 0, 0, 8)",8,0.07192095588235295
2,3,0.04192927170868348,"(0, 0, 0, 8)",8,0.07192095588235295
3,1,0.051470588235294115,"(0, 0, 0, 8)",8,0.07192095588235295
3,2,0.08508403361344538,"(0, 0, 0, 8)",8,0.07192095588235295
3,0,0.1867121848739496,"(0, 0, 0, 8)",8,0.07192095588235295
3,3,0.12788865546218486,"(0, 0, 0, 8)",8,0.07192095588235295
0,0,0.04799544817927171,"(0, 0, 0, 9)",9,0.06892643776260504
0,1,0.07268032212885153,"(0, 0, 0, 9)",9,0.06892643776260504
0,2,0.07464110644257703,"(0, 0, 0, 9)",9,0.06892643776260504
0,3,0.03779324229691876,"(0, 0, 0, 9)",9,0.06892643776260504
1,0,0.04799544817927171,"(0, 0, 0, 9)",9,0.06892643776260504
1,1,0.07268032212885153,"(0, 0, 0, 9)",9,0.06892643776260504
1,2,0.07464110644257703,"(0, 0, 0, 9)",9,0.06892643776260504
1,3,0.037793242296918765,"(0, 0, 0, 9)",9,0.06892643776260504
2,0,0.04799544817927171,"(0, 0, 0, 9)",9,0.06892643776260504
2,1,0.07268032212885153,"(0, 0, 0, 9)",9,0.06892643776260504
2,2,0.07464110644257703,"(0, 0, 0, 9)",9,0.06892643776260504
2,3,0.037793242296918765,"(0, 0, 0, 9)",9,0.06892643776260504
3,1,0.06911764705882353,"(0, 0, 0, 9)",9,0.06892643776260504
3,2,0.07853203781512605,"(0, 0, 0, 9)",9,0.06892643776260504
3,3,0.0986344537815126,"(0, 0, 0, 9)",9,0.06892643776260504
3,0,0.1572085084033613,"(0, 0, 0, 9)",9,0.06892643776260504
0,0,0.03186274509803922,"(0, 0, 0, 10)",10,0.06617647058823528
0,1,0.06433823529411764,"(0, 0, 0, 10)",10,0.06617647058823528
0,2,0.06433823529411764,"(0, 0, 0, 10)",10,0.06617647058823528
0,3,0.031862745098039214,"(0, 0, 0, 10)",10,0.06617647058823528
1,0,0.03186274509803922,"(0, 0, 0, 10)",10,0.06617647058823528
1,1,0.06433823529411764,"(0, 0, 0, 10)",10,0.06617647058823528
1,2,0.06433823529411764,"(0, 0, 0, 10)",10,0.06617647058823528
1,3,0.031862745098039214,"(0, 0, 0, 10)",10,0.06617647058823528
2,0,0.03186274509803922,"(0, 0, 0, 10)",10,0.06617647058823528
2,1,0.06433823529411764,"(0, 0, 0, 10)",10,0.06617647058823528
2,2,0.06433823529411764,"(0, 0, 0, 10)",10,0.06617647058823528
2,3,0.031862745098039214,"(0, 0, 0, 10)",10,0.06617647058823528
3,1,0.08823529411764705,"(0, 0, 0, 10)",10,0.06617647058823528
3,3,0.1525735294117647,"(0, 0, 0, 10)",10,0.06617647058823528
3,0,0.1525735294117647,"(0, 0, 0, 10)",10,0.06617647058823528
3,2,0.08823529411764705,"(0, 0, 0, 10)",10,0.06617647058823528
0,0,0.03825280112044818,"(0, 0, 0, 11)",11,0.06092436974789915
0,1,0.06600140056022408,"(0, 0, 0, 11)",11,0.06092436974789915
0,2,0.058823529411764705,"(0, 0, 0, 11)",11,0.06092436974789915
0,3,0.03063725490196078,"(0, 0, 0, 11)",11,0.06092436974789915
1,0,0.03825280112044818,"(0, 0, 0, 11)",11,0.06092436974789915
1,1,0.06600140056022408,"(0, 0, 0, 11)",11,0.06092436974789915
1,2,0.058823529411764705,"(0, 0, 0, 11)",11,0.06092436974789915
1,3,0.03063725490196078,"(0, 0, 0, 11)",11,0.06092436974789915
2,0,0.03825280112044818,"(0, 0, 0, 11)",11,0.06092436974789915
2,1,0.06600140056022408,"(0, 0, 0, 11)",11,0.06092436974789915
