scope_type,scope_value,n_files,sizes,model_type,distribution,params,n_params,loglik,aic,bic,gof_test,gof_stat,gof_pvalue
benchmark_family,abz,5,"10x10,20x15",discrete,discrete_uniform_minmax,"{""low"": 11, ""high"": 99}",2,-4937.500006705353,9879.000013410707,9889.00614432828,chi2_uniform_minmax_bins10,1143.5652651515154,1.841975363207013e-240
benchmark_family,abz,5,"10x10,20x15",discrete,discrete_uniform_1_99,"{""low"": 1, ""high"": 99, ""fixed_support"": true}",0,-5054.631835148049,10109.263670296097,10109.263670296097,chi2_uniform_1_99_bins10,1537.2530000000002,0.0
benchmark_family,abz,5,"10x10,20x15",discrete,discrete_uniform_1_100,"{""low"": 1, ""high"": 100, ""fixed_support"": true}",0,-5065.687204586901,10131.374409173803,10131.374409173803,chi2_uniform_1_100_bins10,1562.6545454545458,0.0
benchmark_family,abz,5,"10x10,20x15",discrete,discrete_uniform_0_99,"{""low"": 0, ""high"": 99, ""fixed_support"": true}",0,-5065.687204586901,10131.374409173803,10131.374409173803,chi2_uniform_0_99_bins10,1391.9636363636364,4.212807300281325e-294
benchmark_family,abz,5,"10x10,20x15",discrete,discrete_uniform_0_100,"{""low"": 0, ""high"": 100, ""fixed_support"": true}",0,-5076.632568525386,10153.265137050772,10153.265137050772,chi2_uniform_0_100_bins10,1589.2810909090908,0.0
benchmark_family,abz,5,"10x10,20x15",discrete,poisson,"{""mu"": 32.83}",1,-8865.88002414295,17733.7600482859,17738.763113744688,,,
benchmark_family,abz,5,"10x10,20x15",continuous_exploratory,gamma,"[0.7076059662440598, 10.999999999999996, 28.870442665038496]",3,-4255.031352821572,8516.062705643144,8531.071902019503,KS_continuous,0.16275899266722527,6.27026861754988e-26
benchmark_family,abz,5,"10x10,20x15",continuous_exploratory,weibull_min,"[0.8684241498718641, 10.999999999999996, 21.287851806654423]",3,-4388.985248126579,8783.970496253158,8798.979692629517,KS_continuous,0.1141923879867997,5.957553621242738e-13
benchmark_family,abz,5,"10x10,20x15",continuous_exploratory,expon,"[11.0, 21.83]",2,-4491.613687618037,8987.227375236074,8997.233506153647,KS_continuous,0.10761556216643975,1.5073376867600848e-11
benchmark_family,abz,5,"10x10,20x15",continuous_exploratory,lognorm,"[0.7976836256403466, 7.8105108429899595, 18.45299223539536]",3,-4518.934037289364,9043.868074578728,9058.877270955087,KS_continuous,0.08546082807363709,1.9413910378572263e-07
benchmark_family,abz,5,"10x10,20x15",continuous_exploratory,norm,"[32.83, 20.673153649556756]",2,-4892.551913258395,9789.10382651679,9799.109957434363,KS_continuous,0.20708806138921598,7.485563162065188e-42
benchmark_family,abz,5,"10x10,20x15",continuous_exploratory,uniform,"[11.0, 88.0]",2,-4925.070495926027,9854.140991852055,9864.147122769627,KS_continuous,0.5131818181818182,1.977807705453e-269
benchmark_family,ft,3,"10x10,20x5,6x6",discrete,discrete_uniform_1_99,"{""low"": 1, ""high"": 99, ""fixed_support"": true}",0,-1084.4482846317633,2168.8965692635265,2168.8965692635265,chi2_uniform_1_99_bins10,46.02881355932203,5.94838343459362e-07
benchmark_family,ft,3,"10x10,20x5,6x6",discrete,discrete_uniform_minmax,"{""low"": 1, ""high"": 99}",2,-1084.4482846317633,2172.8965692635265,2179.824232873578,chi2_uniform_minmax_bins10,46.02881355932203,5.94838343459362e-07
benchmark_family,ft,3,"10x10,20x5,6x6",discrete,discrete_uniform_1_100,"{""low"": 1, ""high"": 100, ""fixed_support"": true}",0,-1086.8201638931896,2173.640327786379,2173.640327786379,chi2_uniform_1_100_bins10,48.40677966101695,2.143704032770542e-07
benchmark_family,ft,3,"10x10,20x5,6x6",discrete,discrete_uniform_0_99,"{""low"": 0, ""high"": 99, ""fixed_support"": true}",0,-1086.8201638931896,2173.640327786379,2173.640327786379,chi2_uniform_0_99_bins10,29.423728813559325,0.0005495388157237922
benchmark_family,ft,3,"10x10,20x5,6x6",discrete,discrete_uniform_0_100,"{""low"": 0, ""high"": 100, ""fixed_support"": true}",0,-1089.1684419745372,2178.3368839490745,2178.3368839490745,chi2_uniform_0_100_bins10,41.52434514637904,4.0141855625046135e-06
benchmark_family,ft,3,"10x10,20x5,6x6",discrete,poisson,"{""mu"": 44.13135593220339}",1,-3359.995112681888,6721.990225363776,6725.454057168801,,,
benchmark_family,ft,3,"10x10,20x5,6x6",continuous_exploratory,uniform,"[1.0, 98.0]",2,-1082.0523249662551,2168.1046499325103,2175.0323135425615,KS_continuous,0.14026288481494295,0.00016344083645965295
