scope_type,scope_value,benchmark_family,jobs,machines,model_type,distribution,params,n_params,loglik,aic,bic,gof_test,gof_stat,gof_pvalue
file,abz5,abz,10,10,discrete,discrete_uniform_minmax,"{""low"": 50, ""high"": 99}",2,-391.2023005428146,786.4046010856292,791.6149414576054,chi2_uniform_minmax_bins10,16.200000000000003,0.06282072061787963
file,abz5,abz,10,10,discrete,poisson,"{""mu"": 77.73}",1,-443.8643577740213,889.7287155480426,892.3338857340307,,,
file,abz5,abz,10,10,discrete,discrete_uniform_1_99,"{""low"": 1, ""high"": 99, ""fixed_support"": true}",0,-459.51198501345897,919.0239700269179,919.0239700269179,chi2_uniform_1_99_bins10,114.148,2.098656549314854e-20
file,abz5,abz,10,10,discrete,discrete_uniform_0_99,"{""low"": 0, ""high"": 99, ""fixed_support"": true}",0,-460.51701859880916,921.0340371976183,921.0340371976183,chi2_uniform_0_99_bins10,117.80000000000001,3.7665417269577704e-21
file,abz5,abz,10,10,discrete,discrete_uniform_1_100,"{""low"": 1, ""high"": 100, ""fixed_support"": true}",0,-460.51701859880916,921.0340371976183,921.0340371976183,chi2_uniform_1_100_bins10,108.79999999999998,2.5801800487439307e-19
file,abz5,abz,10,10,discrete,discrete_uniform_0_100,"{""low"": 0, ""high"": 100, ""fixed_support"": true}",0,-461.512051684126,923.024103368252,923.024103368252,chi2_uniform_0_100_bins10,110.88799999999999,9.696195544276909e-20
file,abz5,abz,10,10,continuous_exploratory,uniform,"[50.0, 49.0]",2,-389.18202981106265,782.3640596221253,787.5743999941014,KS_continuous,0.12795918367346937,0.06911923670358233
file,abz5,abz,10,10,continuous_exploratory,weibull_min,"[3.6552644915299553, 32.12472261549331, 50.73312181190614]",3,-406.5410586474075,819.082117294815,826.8976278527794,KS_continuous,0.1033367613137317,0.2202085781811839
file,abz5,abz,10,10,continuous_exploratory,norm,"[77.73, 14.345629996622666]",2,-408.2383899179592,820.4767798359184,825.6871202078945,KS_continuous,0.10163277627808598,0.23637945829152684
file,abz5,abz,10,10,continuous_exploratory,lognorm,"[1.910932372178783e-06, -7507059.72651707, 7507137.456503363]",3,-408.2384037937425,822.476807587485,830.2923181454494,KS_continuous,0.10163268589310526,0.23638033903230893
file,abz5,abz,10,10,continuous_exploratory,gamma,"[494.90682688750144, -242.64805171946455, 0.6472616349468909]",3,-408.4662984105487,822.9325968210974,830.7481073790617,KS_continuous,0.10059356600807079,0.24666876004282234
file,abz5,abz,10,10,continuous_exploratory,expon,"[50.0, 27.730000000000004]",2,-432.25148596276864,868.5029719255373,873.7133122975134,KS_continuous,0.22841516339057585,4.5548489928807665e-05
