scope_type,scope_value,jobs,machines,n_files,benchmark_families,model_type,distribution,params,n_params,loglik,aic,bic,gof_test,gof_stat,gof_pvalue
size_family,6x6,6,6,1,ft,discrete,discrete_uniform_minmax,"{""low"": 1, ""high"": 10}",2,-82.89306334778566,169.7861266955713,172.95316457248353,chi2_uniform_minmax_bins10,10.11111111111111,0.34156529600304
size_family,6x6,6,6,1,ft,discrete,poisson,"{""mu"": 5.472222222222222}",1,-89.78917244416508,181.57834488833015,183.16186382678626,,,
size_family,6x6,6,6,1,ft,discrete,discrete_uniform_1_99,"{""low"": 1, ""high"": 99, ""fixed_support"": true}",0,-165.42431460484522,330.84862920969044,330.84862920969044,chi2_uniform_1_99_bins10,320.40000000000003,1.2196379961839127e-63
size_family,6x6,6,6,1,ft,discrete,discrete_uniform_0_99,"{""low"": 0, ""high"": 99, ""fixed_support"": true}",0,-165.7861266955713,331.5722533911426,331.5722533911426,chi2_uniform_0_99_bins10,252.88888888888886,2.4489071863354265e-49
size_family,6x6,6,6,1,ft,discrete,discrete_uniform_1_100,"{""low"": 1, ""high"": 100, ""fixed_support"": true}",0,-165.7861266955713,331.5722533911426,331.5722533911426,chi2_uniform_1_100_bins10,324.0,2.095937084683318e-64
size_family,6x6,6,6,1,ft,discrete,discrete_uniform_0_100,"{""low"": 0, ""high"": 100, ""fixed_support"": true}",0,-166.14433860628534,332.2886772125707,332.2886772125707,chi2_uniform_0_100_bins10,294.54545454545456,3.744763756916522e-58
size_family,6x6,6,6,1,ft,continuous_exploratory,lognorm,"[11.803064275830508, 0.9999999999999998, 0.067836495147008]",3,-43.07913946823311,92.15827893646622,96.90883575183454,KS_continuous,0.5017134455812584,6.574959348088973e-09
size_family,6x6,6,6,1,ft,continuous_exploratory,uniform,"[1.0, 9.0]",2,-79.10008478410388,162.20016956820777,165.36720744512,KS_continuous,0.13888888888888895,0.45065901211572934
size_family,6x6,6,6,1,ft,continuous_exploratory,weibull_min,"[2.0619429803233205, -0.09843385644483285, 6.2861276149714085]",3,-87.36413779966118,180.72827559932236,185.4788324146907,KS_continuous,0.12029140858632492,0.6313425550823083
size_family,6x6,6,6,1,ft,continuous_exploratory,norm,"[5.472222222222222, 2.8331971644838814]",2,-88.57239650222436,181.14479300444873,184.31183088136095,KS_continuous,0.149520317519095,0.360580421290027
size_family,6x6,6,6,1,ft,continuous_exploratory,gamma,"[30.577372896880462, -10.074596082733976, 0.5075052507677298]",3,-88.30544947255875,182.6108989451175,187.36145576048582,KS_continuous,0.12801556591643692,0.5537377695066907
size_family,6x6,6,6,1,ft,continuous_exploratory,expon,"[1.0, 4.472222222222222]",2,-89.92387535502071,183.84775071004142,187.01478858695364,KS_continuous,0.24947605382024507,0.01845294144839249
