file,benchmark_family,size_family,jobs,machines,position,machine,count,relative_frequency
abz5,abz,10x10,10,10,0,0,1,0.1
abz5,abz,10x10,10,10,0,1,1,0.1
abz5,abz,10x10,10,10,0,2,0,0.0
abz5,abz,10x10,10,10,0,3,2,0.2
abz5,abz,10x10,10,10,0,4,2,0.2
abz5,abz,10x10,10,10,0,5,1,0.1
abz5,abz,10x10,10,10,0,6,0,0.0
abz5,abz,10x10,10,10,0,7,2,0.2
abz5,abz,10x10,10,10,0,8,0,0.0
abz5,abz,10x10,10,10,0,9,1,0.1
abz5,abz,10x10,10,10,1,0,1,0.1
abz5,abz,10x10,10,10,1,1,1,0.1
abz5,abz,10x10,10,10,1,2,1,0.1
abz5,abz,10x10,10,10,1,3,1,0.1
abz5,abz,10x10,10,10,1,4,2,0.2
abz5,abz,10x10,10,10,1,5,0,0.0
abz5,abz,10x10,10,10,1,6,2,0.2
abz5,abz,10x10,10,10,1,7,0,0.0
abz5,abz,10x10,10,10,1,8,2,0.2
abz5,abz,10x10,10,10,1,9,0,0.0
abz5,abz,10x10,10,10,2,0,1,0.1
abz5,abz,10x10,10,10,2,1,2,0.2
abz5,abz,10x10,10,10,2,2,0,0.0
abz5,abz,10x10,10,10,2,3,2,0.2
abz5,abz,10x10,10,10,2,4,1,0.1
abz5,abz,10x10,10,10,2,5,1,0.1
abz5,abz,10x10,10,10,2,6,2,0.2
abz5,abz,10x10,10,10,2,7,0,0.0
abz5,abz,10x10,10,10,2,8,0,0.0
abz5,abz,10x10,10,10,2,9,1,0.1
abz5,abz,10x10,10,10,3,0,0,0.0
abz5,abz,10x10,10,10,3,1,1,0.1
abz5,abz,10x10,10,10,3,2,1,0.1
abz5,abz,10x10,10,10,3,3,1,0.1
abz5,abz,10x10,10,10,3,4,2,0.2
abz5,abz,10x10,10,10,3,5,1,0.1
abz5,abz,10x10,10,10,3,6,1,0.1
abz5,abz,10x10,10,10,3,7,1,0.1
abz5,abz,10x10,10,10,3,8,2,0.2
abz5,abz,10x10,10,10,3,9,0,0.0
abz5,abz,10x10,10,10,4,0,2,0.2
abz5,abz,10x10,10,10,4,1,3,0.3
abz5,abz,10x10,10,10,4,2,1,0.1
abz5,abz,10x10,10,10,4,3,1,0.1
abz5,abz,10x10,10,10,4,4,0,0.0
abz5,abz,10x10,10,10,4,5,0,0.0
abz5,abz,10x10,10,10,4,6,1,0.1
abz5,abz,10x10,10,10,4,7,1,0.1
abz5,abz,10x10,10,10,4,8,1,0.1
abz5,abz,10x10,10,10,4,9,0,0.0
abz5,abz,10x10,10,10,5,0,0,0.0
abz5,abz,10x10,10,10,5,1,0,0.0
abz5,abz,10x10,10,10,5,2,4,0.4
abz5,abz,10x10,10,10,5,3,0,0.0
abz5,abz,10x10,10,10,5,4,0,0.0
abz5,abz,10x10,10,10,5,5,2,0.2
abz5,abz,10x10,10,10,5,6,1,0.1
abz5,abz,10x10,10,10,5,7,0,0.0
abz5,abz,10x10,10,10,5,8,2,0.2
abz5,abz,10x10,10,10,5,9,1,0.1
abz5,abz,10x10,10,10,6,0,1,0.1
abz5,abz,10x10,10,10,6,1,0,0.0
abz5,abz,10x10,10,10,6,2,1,0.1
abz5,abz,10x10,10,10,6,3,0,0.0
abz5,abz,10x10,10,10,6,4,1,0.1
abz5,abz,10x10,10,10,6,5,1,0.1
abz5,abz,10x10,10,10,6,6,2,0.2
abz5,abz,10x10,10,10,6,7,3,0.3
abz5,abz,10x10,10,10,6,8,0,0.0
abz5,abz,10x10,10,10,6,9,1,0.1
abz5,abz,10x10,10,10,7,0,2,0.2
abz5,abz,10x10,10,10,7,1,1,0.1
