size_family,jobs,machines,n_files,benchmark_families,n,min,q25,median,q75,max,mean,std,cv,skewness,kurtosis_excess,unique_values,best_discrete,best_discrete_params,best_discrete_aic,best_discrete_gof_pvalue,best_continuous_exploratory,best_continuous_aic,uniform_1_99_pvalue_bins10,uniform_1_99_chi2_bins10
6x6,6,6,1,ft,36,1.0,3.0,5.0,8.0,10.0,5.472222222222222,2.8733863656579857,0.5250858333182106,0.16045890877066105,-1.1283751214939537,9,discrete_uniform_minmax,"{""low"": 1, ""high"": 10}",169.7861266955713,0.34156529600304,lognorm,92.15827893646622,1.2196379961839127e-63,320.40000000000003
10x5,10,5,5,la,250,5.0,25.25,51.0,76.0,99.0,50.66,27.404313265290348,0.5409457809966512,0.07223776781679148,-1.2192414293477274,88,discrete_uniform_minmax,"{""low"": 5, ""high"": 99}",2280.9384458002705,0.7197240028581489,uniform,2275.6473911350017,0.3363943922567158,10.176400000000001
10x10,10,10,18,"abz,ft,la,orb",1800,0.0,28.0,53.0,77.0,99.0,52.575,27.69377005653823,0.5267478850506558,-0.02876724736554278,-1.2341702533774805,97,discrete_uniform_0_99,"{""low"": 0, ""high"": 99, ""fixed_support"": true}",16578.61266955713,5.704368606813108e-10,uniform,16546.43146048452,,
15x5,15,5,5,la,375,5.0,30.5,54.0,75.5,99.0,52.92,26.919944696449377,0.5086913207945838,-0.09388995763705099,-1.1295308314860797,94,discrete_uniform_minmax,"{""low"": 5, ""high"": 99}",3419.407668700406,0.602734204261866,uniform,3411.4710867025024,0.3003768803414755,10.651200000000001
15x10,15,10,5,la,750,5.0,28.0,51.5,75.0,99.0,51.516,27.36850606382369,0.5312622498606975,-0.011298914660938962,-1.189172968415881,95,discrete_uniform_minmax,"{""low"": 5, ""high"": 99}",6834.815337400812,0.7731760429154331,uniform,6818.942173405006,0.19063986632897018,12.42026666666667
15x15,15,15,15,"la,ta",3375,1.0,27.0,51.0,75.0,99.0,51.09837037037037,28.196287497500137,0.5518040456697204,-0.027422112088923124,-1.1985302092783225,99,discrete_uniform_1_99,"{""low"": 1, ""high"": 99, ""fixed_support"": true}",31017.05898840848,0.13757572916202515,uniform,30952.530481026355,0.13757572916202515,13.592533333333336
20x5,20,5,6,"ft,la",600,2.0,29.0,52.0,76.25,99.0,51.855,27.13634605337549,0.5233120442266993,-0.023933133460099013,-1.1878044970836956,96,discrete_uniform_minmax,"{""low"": 2, ""high"": 99}",5505.960974404687,0.33406150928769224,uniform,5493.653174204059,0.12771273408824185,13.851333333333333
20x10,20,10,10,"la,swv",2000,1.0,28.0,52.0,75.0,100.0,51.305,27.768732889045037,0.5412480828193166,-0.027972886860516025,-1.1566427820283693,100,discrete_uniform_1_100,"{""low"": 1, ""high"": 100, ""fixed_support"": true}",18420.680743952365,0.11138885593207007,uniform,18384.47940053836,,
20x15,20,15,18,"abz,swv,ta",5400,1.0,22.0,40.0,70.0,100.0,45.94851851851852,27.943920530242515,0.6081571600394547,0.2887458300367608,-1.1423707466253847,100,discrete_uniform_1_100,"{""low"": 1, ""high"": 100, ""fixed_support"": true}",49735.838008671395,2.1369052985130363e-81,uniform,49631.29438145357,,
20x20,20,20,14,"ta,yn",5600,1.0,23.0,40.0,67.0,99.0,44.75017857142857,26.909801842904795,0.6013339544545586,0.39426111780296036,-0.9699626911743771,99,discrete_uniform_1_99,"{""low"": 1, ""high"": 99, ""fixed_support"": true}",51465.34232150741,1.156277796880751e-116,uniform,51355.635761110396,1.156277796880751e-116,568.5764642857141
30x10,30,10,5,la,1500,5.0,28.0,51.0,76.0,99.0,51.70333333333333,27.39989948674042,0.529944545549747,0.008176122175873594,-1.2006802199077837,95,discrete_uniform_minmax,"{""low"": 5, ""high"": 99}",13665.630674801623,0.9215278818567507,uniform,13633.88434681001,0.004054298675159967,24.16073333333333
30x15,30,15,10,ta,4500,1.0,26.0,52.0,75.0,99.0,50.746,28.39551209887208,0.559561583156743,-0.04958953139597679,-1.1752209596733316,99,discrete_uniform_1_99,"{""low"": 1, ""high"": 99, ""fixed_support"": true}",41356.078651211305,0.25869959207654747,uniform,41268.70730803515,0.25869959207654747,11.254
30x20,30,20,10,ta,6000,1.0,26.0,51.0,75.0,99.0,50.667833333333334,28.343912836292866,0.5594064512256534,-0.037153773637764065,-1.1865199134960085,99,discrete_uniform_1_99,"{""low"": 1, ""high"": 99, ""fixed_support"": true}",55141.43820161508,0.4736787255470153,uniform,55023.60974404686,0.4736787255470153,8.613600000000002
50x10,50,10,10,swv,5000,1.0,25.0,49.0,75.0,100.0,50.2932,28.83939624741099,0.5734253586451248,0.03635381054232627,-1.192728407465469,100,discrete_uniform_1_100,"{""low"": 1, ""high"": 100, ""fixed_support"": true}",46051.701859880915,0.17938747715538778,uniform,45955.19850134589,,
50x15,50,15,10,ta,7500,1.0,26.0,50.0,75.0,99.0,50.1904,28.512437211097232,0.568085474734157,-0.012522375356646118,-1.192731578422744,99,discrete_uniform_1_99,"{""low"": 1, ""high"": 99, ""fixed_support"": true}",68926.79775201884,0.9865250354658351,uniform,68778.51218005858,0.9865250354658351,2.2662
50x20,50,20,10,ta,10000,1.0,25.0,50.0,74.25,99.0,50.0939,28.545993942531002,0.5698497011119319,-0.00646677143667112,-1.1950474959390063,99,discrete_uniform_1_99,"{""low"": 1, ""high"": 99, ""fixed_support"": true}",91902.3970026918,0.8808849528362268,uniform,91703.34957341144,0.8808849528362268,4.4302600000000005
100x20,100,20,10,ta,20000,1.0,25.0,50.0,74.0,99.0,49.7632,28.489150695402756,0.5724943471360917,0.0036114704119786286,-1.1921743921511703,99,discrete_uniform_1_99,"{""low"": 1, ""high"": 99, ""fixed_support"": true}",183804.7940053836,0.41396972760285045,uniform,183402.69914682288,0.41396972760285045,9.256190000000009
