family,from_machine,to_machine,count,adjacent_arcs_total,total_jobs,frequency_over_all_adjacent_arcs,frequency_per_job
abz,0,1,8,1020,80,0.00784313725490196,0.1
abz,0,2,7,1020,80,0.006862745098039216,0.0875
abz,0,3,8,1020,80,0.00784313725490196,0.1
abz,0,4,5,1020,80,0.004901960784313725,0.0625
abz,0,5,3,1020,80,0.0029411764705882353,0.0375
abz,0,6,5,1020,80,0.004901960784313725,0.0625
abz,0,7,8,1020,80,0.00784313725490196,0.1
abz,0,8,5,1020,80,0.004901960784313725,0.0625
abz,0,9,5,1020,80,0.004901960784313725,0.0625
abz,0,10,4,1020,80,0.00392156862745098,0.05
abz,0,11,3,1020,80,0.0029411764705882353,0.0375
abz,0,12,1,1020,80,0.000980392156862745,0.0125
abz,0,13,7,1020,80,0.006862745098039216,0.0875
abz,0,14,2,1020,80,0.00196078431372549,0.025
abz,1,0,5,1020,80,0.004901960784313725,0.0625
abz,1,2,6,1020,80,0.0058823529411764705,0.075
abz,1,3,3,1020,80,0.0029411764705882353,0.0375
abz,1,4,10,1020,80,0.00980392156862745,0.125
abz,1,5,8,1020,80,0.00784313725490196,0.1
abz,1,6,5,1020,80,0.004901960784313725,0.0625
abz,1,7,10,1020,80,0.00980392156862745,0.125
abz,1,8,5,1020,80,0.004901960784313725,0.0625
abz,1,9,0,1020,80,0.0,0.0
abz,1,10,3,1020,80,0.0029411764705882353,0.0375
abz,1,11,6,1020,80,0.0058823529411764705,0.075
abz,1,12,4,1020,80,0.00392156862745098,0.05
abz,1,13,2,1020,80,0.00196078431372549,0.025
abz,1,14,6,1020,80,0.0058823529411764705,0.075
abz,2,0,7,1020,80,0.006862745098039216,0.0875
abz,2,1,7,1020,80,0.006862745098039216,0.0875
abz,2,3,8,1020,80,0.00784313725490196,0.1
abz,2,4,7,1020,80,0.006862745098039216,0.0875
abz,2,5,6,1020,80,0.0058823529411764705,0.075
abz,2,6,3,1020,80,0.0029411764705882353,0.0375
abz,2,7,5,1020,80,0.004901960784313725,0.0625
abz,2,8,4,1020,80,0.00392156862745098,0.05
abz,2,9,4,1020,80,0.00392156862745098,0.05
abz,2,10,5,1020,80,0.004901960784313725,0.0625
abz,2,11,3,1020,80,0.0029411764705882353,0.0375
abz,2,12,9,1020,80,0.008823529411764706,0.1125
abz,2,13,4,1020,80,0.00392156862745098,0.05
abz,2,14,1,1020,80,0.000980392156862745,0.0125
abz,3,0,6,1020,80,0.0058823529411764705,0.075
abz,3,1,4,1020,80,0.00392156862745098,0.05
abz,3,2,5,1020,80,0.004901960784313725,0.0625
abz,3,4,4,1020,80,0.00392156862745098,0.05
abz,3,5,5,1020,80,0.004901960784313725,0.0625
abz,3,6,8,1020,80,0.00784313725490196,0.1
abz,3,7,3,1020,80,0.0029411764705882353,0.0375
abz,3,8,4,1020,80,0.00392156862745098,0.05
abz,3,9,9,1020,80,0.008823529411764706,0.1125
abz,3,10,7,1020,80,0.006862745098039216,0.0875
abz,3,11,3,1020,80,0.0029411764705882353,0.0375
abz,3,12,8,1020,80,0.00784313725490196,0.1
abz,3,13,8,1020,80,0.00784313725490196,0.1
abz,3,14,2,1020,80,0.00196078431372549,0.025
abz,4,0,10,1020,80,0.00980392156862745,0.125
abz,4,1,5,1020,80,0.004901960784313725,0.0625
abz,4,2,10,1020,80,0.00980392156862745,0.125
abz,4,3,6,1020,80,0.0058823529411764705,0.075
abz,4,5,5,1020,80,0.004901960784313725,0.0625
abz,4,6,8,1020,80,0.00784313725490196,0.1
abz,4,7,2,1020,80,0.00196078431372549,0.025
abz,4,8,7,1020,80,0.006862745098039216,0.0875
abz,4,9,11,1020,80,0.010784313725490196,0.1375
abz,4,10,3,1020,80,0.0029411764705882353,0.0375
abz,4,11,3,1020,80,0.0029411764705882353,0.0375
abz,4,12,3,1020,80,0.0029411764705882353,0.0375
abz,4,13,2,1020,80,0.00196078431372549,0.025
abz,4,14,2,1020,80,0.00196078431372549,0.025
abz,5,0,3,1020,80,0.0029411764705882353,0.0375
abz,5,1,4,1020,80,0.00392156862745098,0.05
abz,5,2,7,1020,80,0.006862745098039216,0.0875
abz,5,3,9,1020,80,0.008823529411764706,0.1125
abz,5,4,7,1020,80,0.006862745098039216,0.0875
abz,5,6,8,1020,80,0.00784313725490196,0.1
abz,5,7,7,1020,80,0.006862745098039216,0.0875
abz,5,8,9,1020,80,0.008823529411764706,0.1125
abz,5,9,4,1020,80,0.00392156862745098,0.05
abz,5,10,4,1020,80,0.00392156862745098,0.05
abz,5,11,5,1020,80,0.004901960784313725,0.0625
abz,5,12,4,1020,80,0.00392156862745098,0.05
abz,5,13,3,1020,80,0.0029411764705882353,0.0375
abz,5,14,3,1020,80,0.0029411764705882353,0.0375
abz,6,0,3,1020,80,0.0029411764705882353,0.0375
abz,6,1,3,1020,80,0.0029411764705882353,0.0375
abz,6,2,7,1020,80,0.006862745098039216,0.0875
abz,6,3,5,1020,80,0.004901960784313725,0.0625
abz,6,4,6,1020,80,0.0058823529411764705,0.075
abz,6,5,13,1020,80,0.012745098039215686,0.1625
abz,6,7,5,1020,80,0.004901960784313725,0.0625
abz,6,8,10,1020,80,0.00980392156862745,0.125
abz,6,9,6,1020,80,0.0058823529411764705,0.075
abz,6,10,2,1020,80,0.00196078431372549,0.025
abz,6,11,2,1020,80,0.00196078431372549,0.025
abz,6,12,8,1020,80,0.00784313725490196,0.1
abz,6,13,0,1020,80,0.0,0.0
abz,6,14,3,1020,80,0.0029411764705882353,0.0375
abz,7,0,9,1020,80,0.008823529411764706,0.1125
abz,7,1,9,1020,80,0.008823529411764706,0.1125
abz,7,2,4,1020,80,0.00392156862745098,0.05
abz,7,3,5,1020,80,0.004901960784313725,0.0625
abz,7,4,7,1020,80,0.006862745098039216,0.0875
abz,7,5,3,1020,80,0.0029411764705882353,0.0375
abz,7,6,4,1020,80,0.00392156862745098,0.05
abz,7,8,5,1020,80,0.004901960784313725,0.0625
abz,7,9,8,1020,80,0.00784313725490196,0.1
abz,7,10,5,1020,80,0.004901960784313725,0.0625
abz,7,11,5,1020,80,0.004901960784313725,0.0625
abz,7,12,3,1020,80,0.0029411764705882353,0.0375
abz,7,13,2,1020,80,0.00196078431372549,0.025
abz,7,14,4,1020,80,0.00392156862745098,0.05
abz,8,0,7,1020,80,0.006862745098039216,0.0875
abz,8,1,2,1020,80,0.00196078431372549,0.025
abz,8,2,5,1020,80,0.004901960784313725,0.0625
abz,8,3,7,1020,80,0.006862745098039216,0.0875
abz,8,4,6,1020,80,0.0058823529411764705,0.075
abz,8,5,6,1020,80,0.0058823529411764705,0.075
abz,8,6,7,1020,80,0.006862745098039216,0.0875
abz,8,7,4,1020,80,0.00392156862745098,0.05
abz,8,9,9,1020,80,0.008823529411764706,0.1125
abz,8,10,1,1020,80,0.000980392156862745,0.0125
abz,8,11,5,1020,80,0.004901960784313725,0.0625
abz,8,12,4,1020,80,0.00392156862745098,0.05
abz,8,13,3,1020,80,0.0029411764705882353,0.0375
abz,8,14,7,1020,80,0.006862745098039216,0.0875
abz,9,0,5,1020,80,0.004901960784313725,0.0625
abz,9,1,5,1020,80,0.004901960784313725,0.0625
abz,9,2,6,1020,80,0.0058823529411764705,0.075
abz,9,3,7,1020,80,0.006862745098039216,0.0875
abz,9,4,4,1020,80,0.00392156862745098,0.05
abz,9,5,3,1020,80,0.0029411764705882353,0.0375
abz,9,6,8,1020,80,0.00784313725490196,0.1
abz,9,7,6,1020,80,0.0058823529411764705,0.075
abz,9,8,6,1020,80,0.0058823529411764705,0.075
abz,9,10,3,1020,80,0.0029411764705882353,0.0375
abz,9,11,1,1020,80,0.000980392156862745,0.0125
abz,9,12,3,1020,80,0.0029411764705882353,0.0375
abz,9,13,6,1020,80,0.0058823529411764705,0.075
abz,9,14,9,1020,80,0.008823529411764706,0.1125
abz,10,0,7,1020,80,0.006862745098039216,0.0875
abz,10,1,3,1020,80,0.0029411764705882353,0.0375
abz,10,2,4,1020,80,0.00392156862745098,0.05
abz,10,3,4,1020,80,0.00392156862745098,0.05
abz,10,4,2,1020,80,0.00196078431372549,0.025
abz,10,5,4,1020,80,0.00392156862745098,0.05
abz,10,6,3,1020,80,0.0029411764705882353,0.0375
abz,10,7,8,1020,80,0.00784313725490196,0.1
abz,10,8,3,1020,80,0.0029411764705882353,0.0375
abz,10,9,2,1020,80,0.00196078431372549,0.025
abz,10,11,4,1020,80,0.00392156862745098,0.05
abz,10,12,3,1020,80,0.0029411764705882353,0.0375
abz,10,13,1,1020,80,0.000980392156862745,0.0125
abz,10,14,6,1020,80,0.0058823529411764705,0.075
abz,11,0,1,1020,80,0.000980392156862745,0.0125
abz,11,1,5,1020,80,0.004901960784313725,0.0625
abz,11,2,6,1020,80,0.0058823529411764705,0.075
abz,11,3,3,1020,80,0.0029411764705882353,0.0375
abz,11,4,3,1020,80,0.0029411764705882353,0.0375
abz,11,5,4,1020,80,0.00392156862745098,0.05
abz,11,6,5,1020,80,0.004901960784313725,0.0625
