family,position,machine,count,jobs,total_jobs,frequency
abz,0,0,5,80,80,0.0625
abz,0,1,6,80,80,0.075
abz,0,2,5,80,80,0.0625
abz,0,3,5,80,80,0.0625
abz,0,4,5,80,80,0.0625
abz,0,5,8,80,80,0.1
abz,0,6,6,80,80,0.075
abz,0,7,5,80,80,0.0625
abz,0,8,8,80,80,0.1
abz,0,9,7,80,80,0.0875
abz,0,10,2,60,80,0.025
abz,0,11,5,60,80,0.0625
abz,0,12,4,60,80,0.05
abz,0,13,4,60,80,0.05
abz,0,14,5,60,80,0.0625
abz,1,0,6,80,80,0.075
abz,1,1,3,80,80,0.0375
abz,1,2,4,80,80,0.05
abz,1,3,12,80,80,0.15
abz,1,4,5,80,80,0.0625
abz,1,5,8,80,80,0.1
abz,1,6,6,80,80,0.075
abz,1,7,3,80,80,0.0375
abz,1,8,7,80,80,0.0875
abz,1,9,4,80,80,0.05
abz,1,10,6,60,80,0.075
abz,1,11,4,60,80,0.05
abz,1,12,5,60,80,0.0625
abz,1,13,3,60,80,0.0375
abz,1,14,4,60,80,0.05
abz,2,0,7,80,80,0.0875
abz,2,1,6,80,80,0.075
abz,2,2,5,80,80,0.0625
abz,2,3,6,80,80,0.075
abz,2,4,3,80,80,0.0375
abz,2,5,11,80,80,0.1375
abz,2,6,6,80,80,0.075
abz,2,7,5,80,80,0.0625
abz,2,8,5,80,80,0.0625
abz,2,9,5,80,80,0.0625
abz,2,10,2,60,80,0.025
abz,2,11,4,60,80,0.05
abz,2,12,6,60,80,0.075
abz,2,13,3,60,80,0.0375
abz,2,14,6,60,80,0.075
abz,3,0,0,80,80,0.0
abz,3,1,5,80,80,0.0625
abz,3,2,7,80,80,0.0875
abz,3,3,8,80,80,0.1
abz,3,4,5,80,80,0.0625
abz,3,5,3,80,80,0.0375
abz,3,6,8,80,80,0.1
abz,3,7,4,80,80,0.05
abz,3,8,13,80,80,0.1625
abz,3,9,7,80,80,0.0875
abz,3,10,2,60,80,0.025
abz,3,11,4,60,80,0.05
abz,3,12,7,60,80,0.0875
abz,3,13,4,60,80,0.05
abz,3,14,3,60,80,0.0375
abz,4,0,6,80,80,0.075
abz,4,1,8,80,80,0.1
abz,4,2,3,80,80,0.0375
abz,4,3,4,80,80,0.05
abz,4,4,11,80,80,0.1375
abz,4,5,8,80,80,0.1
abz,4,6,5,80,80,0.0625
abz,4,7,8,80,80,0.1
abz,4,8,5,80,80,0.0625
abz,4,9,6,80,80,0.075
abz,4,10,7,60,80,0.0875
abz,4,11,0,60,80,0.0
abz,4,12,2,60,80,0.025
abz,4,13,5,60,80,0.0625
abz,4,14,2,60,80,0.025
abz,5,0,7,80,80,0.0875
abz,5,1,5,80,80,0.0625
abz,5,2,5,80,80,0.0625
abz,5,3,5,80,80,0.0625
abz,5,4,7,80,80,0.0875
abz,5,5,8,80,80,0.1
abz,5,6,12,80,80,0.15
abz,5,7,5,80,80,0.0625
abz,5,8,6,80,80,0.075
abz,5,9,5,80,80,0.0625
abz,5,10,2,60,80,0.025
abz,5,11,3,60,80,0.0375
abz,5,12,3,60,80,0.0375
abz,5,13,3,60,80,0.0375
abz,5,14,4,60,80,0.05
abz,6,0,7,80,80,0.0875
abz,6,1,2,80,80,0.025
abz,6,2,7,80,80,0.0875
abz,6,3,2,80,80,0.025
abz,6,4,5,80,80,0.0625
abz,6,5,7,80,80,0.0875
abz,6,6,7,80,80,0.0875
abz,6,7,7,80,80,0.0875
abz,6,8,9,80,80,0.1125
abz,6,9,6,80,80,0.075
abz,6,10,2,60,80,0.025
abz,6,11,4,60,80,0.05
abz,6,12,3,60,80,0.0375
abz,6,13,5,60,80,0.0625
abz,6,14,7,60,80,0.0875
abz,7,0,8,80,80,0.1
abz,7,1,4,80,80,0.05
abz,7,2,5,80,80,0.0625
abz,7,3,9,80,80,0.1125
abz,7,4,11,80,80,0.1375
abz,7,5,8,80,80,0.1
abz,7,6,4,80,80,0.05
abz,7,7,6,80,80,0.075
abz,7,8,4,80,80,0.05
abz,7,9,4,80,80,0.05
abz,7,10,4,60,80,0.05
abz,7,11,2,60,80,0.025
abz,7,12,2,60,80,0.025
abz,7,13,7,60,80,0.0875
abz,7,14,2,60,80,0.025
abz,8,0,10,80,80,0.125
abz,8,1,6,80,80,0.075
abz,8,2,5,80,80,0.0625
abz,8,3,9,80,80,0.1125
abz,8,4,2,80,80,0.025
abz,8,5,5,80,80,0.0625
abz,8,6,3,80,80,0.0375
abz,8,7,7,80,80,0.0875
abz,8,8,5,80,80,0.0625
abz,8,9,8,80,80,0.1
abz,8,10,6,60,80,0.075
abz,8,11,4,60,80,0.05
abz,8,12,3,60,80,0.0375
abz,8,13,4,60,80,0.05
abz,8,14,3,60,80,0.0375
abz,9,0,3,80,80,0.0375
abz,9,1,6,80,80,0.075
abz,9,2,11,80,80,0.1375
abz,9,3,8,80,80,0.1
abz,9,4,1,80,80,0.0125
abz,9,5,4,80,80,0.05
abz,9,6,6,80,80,0.075
abz,9,7,9,80,80,0.1125
abz,9,8,3,80,80,0.0375
abz,9,9,9,80,80,0.1125
abz,9,10,4,60,80,0.05
abz,9,11,6,60,80,0.075
abz,9,12,4,60,80,0.05
abz,9,13,5,60,80,0.0625
abz,9,14,1,60,80,0.0125
abz,10,0,2,60,80,0.025
abz,10,1,6,60,80,0.075
abz,10,2,6,60,80,0.075
abz,10,3,1,60,80,0.0125
abz,10,4,9,60,80,0.1125
abz,10,5,1,60,80,0.0125
abz,10,6,4,60,80,0.05
abz,10,7,6,60,80,0.075
abz,10,8,1,60,80,0.0125
abz,10,9,2,60,80,0.025
abz,10,10,7,60,80,0.0875
abz,10,11,5,60,80,0.0625
abz,10,12,3,60,80,0.0375
abz,10,13,1,60,80,0.0125
abz,10,14,6,60,80,0.075
abz,11,0,2,60,80,0.025
abz,11,1,10,60,80,0.125
abz,11,2,5,60,80,0.0625
abz,11,3,5,60,80,0.0625
abz,11,4,5,60,80,0.0625
abz,11,5,1,60,80,0.0125
abz,11,6,1,60,80,0.0125
abz,11,7,2,60,80,0.025
abz,11,8,2,60,80,0.025
abz,11,9,3,60,80,0.0375
abz,11,10,5,60,80,0.0625
abz,11,11,7,60,80,0.0875
abz,11,12,3,60,80,0.0375
abz,11,13,3,60,80,0.0375
abz,11,14,6,60,80,0.075
abz,12,0,5,60,80,0.0625
abz,12,1,6,60,80,0.075
abz,12,2,3,60,80,0.0375
abz,12,3,5,60,80,0.0625
abz,12,4,2,60,80,0.025
abz,12,5,5,60,80,0.0625
abz,12,6,4,60,80,0.05
abz,12,7,3,60,80,0.0375
abz,12,8,2,60,80,0.025
abz,12,9,3,60,80,0.0375
abz,12,10,2,60,80,0.025
abz,12,11,6,60,80,0.075
abz,12,12,3,60,80,0.0375
abz,12,13,5,60,80,0.0625
abz,12,14,6,60,80,0.075
abz,13,0,4,60,80,0.05
abz,13,1,3,60,80,0.0375
abz,13,2,5,60,80,0.0625
abz,13,3,0,60,80,0.0
abz,13,4,6,60,80,0.075
abz,13,5,1,60,80,0.0125
abz,13,6,3,60,80,0.0375
abz,13,7,5,60,80,0.0625
abz,13,8,4,60,80,0.05
abz,13,9,7,60,80,0.0875
abz,13,10,3,60,80,0.0375
abz,13,11,4,60,80,0.05
abz,13,12,7,60,80,0.0875
abz,13,13,5,60,80,0.0625
abz,13,14,3,60,80,0.0375
abz,14,0,8,60,80,0.1
abz,14,1,4,60,80,0.05
abz,14,2,4,60,80,0.05
abz,14,3,1,60,80,0.0125
abz,14,4,3,60,80,0.0375
abz,14,5,2,60,80,0.025
abz,14,6,5,60,80,0.0625
abz,14,7,5,60,80,0.0625
