family_size,family,size,position,machine,count,jobs,total_jobs,frequency
abz_10x10,abz,10x10,0,0,2,20,20,0.1
abz_10x10,abz,10x10,0,1,2,20,20,0.1
abz_10x10,abz,10x10,0,2,0,20,20,0.0
abz_10x10,abz,10x10,0,3,3,20,20,0.15
abz_10x10,abz,10x10,0,4,4,20,20,0.2
abz_10x10,abz,10x10,0,5,3,20,20,0.15
abz_10x10,abz,10x10,0,6,0,20,20,0.0
abz_10x10,abz,10x10,0,7,3,20,20,0.15
abz_10x10,abz,10x10,0,8,1,20,20,0.05
abz_10x10,abz,10x10,0,9,2,20,20,0.1
abz_10x10,abz,10x10,1,0,1,20,20,0.05
abz_10x10,abz,10x10,1,1,1,20,20,0.05
abz_10x10,abz,10x10,1,2,3,20,20,0.15
abz_10x10,abz,10x10,1,3,2,20,20,0.1
abz_10x10,abz,10x10,1,4,2,20,20,0.1
abz_10x10,abz,10x10,1,5,0,20,20,0.0
abz_10x10,abz,10x10,1,6,4,20,20,0.2
abz_10x10,abz,10x10,1,7,1,20,20,0.05
abz_10x10,abz,10x10,1,8,4,20,20,0.2
abz_10x10,abz,10x10,1,9,2,20,20,0.1
abz_10x10,abz,10x10,2,0,1,20,20,0.05
abz_10x10,abz,10x10,2,1,2,20,20,0.1
abz_10x10,abz,10x10,2,2,0,20,20,0.0
abz_10x10,abz,10x10,2,3,2,20,20,0.1
abz_10x10,abz,10x10,2,4,1,20,20,0.05
abz_10x10,abz,10x10,2,5,6,20,20,0.3
abz_10x10,abz,10x10,2,6,3,20,20,0.15
abz_10x10,abz,10x10,2,7,3,20,20,0.15
abz_10x10,abz,10x10,2,8,1,20,20,0.05
abz_10x10,abz,10x10,2,9,1,20,20,0.05
abz_10x10,abz,10x10,3,0,0,20,20,0.0
abz_10x10,abz,10x10,3,1,1,20,20,0.05
abz_10x10,abz,10x10,3,2,4,20,20,0.2
abz_10x10,abz,10x10,3,3,3,20,20,0.15
abz_10x10,abz,10x10,3,4,2,20,20,0.1
abz_10x10,abz,10x10,3,5,1,20,20,0.05
abz_10x10,abz,10x10,3,6,2,20,20,0.1
abz_10x10,abz,10x10,3,7,1,20,20,0.05
abz_10x10,abz,10x10,3,8,4,20,20,0.2
abz_10x10,abz,10x10,3,9,2,20,20,0.1
abz_10x10,abz,10x10,4,0,2,20,20,0.1
abz_10x10,abz,10x10,4,1,5,20,20,0.25
abz_10x10,abz,10x10,4,2,1,20,20,0.05
abz_10x10,abz,10x10,4,3,2,20,20,0.1
abz_10x10,abz,10x10,4,4,3,20,20,0.15
abz_10x10,abz,10x10,4,5,0,20,20,0.0
abz_10x10,abz,10x10,4,6,1,20,20,0.05
abz_10x10,abz,10x10,4,7,2,20,20,0.1
abz_10x10,abz,10x10,4,8,1,20,20,0.05
abz_10x10,abz,10x10,4,9,3,20,20,0.15
abz_10x10,abz,10x10,5,0,4,20,20,0.2
abz_10x10,abz,10x10,5,1,1,20,20,0.05
abz_10x10,abz,10x10,5,2,5,20,20,0.25
abz_10x10,abz,10x10,5,3,0,20,20,0.0
abz_10x10,abz,10x10,5,4,1,20,20,0.05
abz_10x10,abz,10x10,5,5,3,20,20,0.15
abz_10x10,abz,10x10,5,6,3,20,20,0.15
abz_10x10,abz,10x10,5,7,0,20,20,0.0
abz_10x10,abz,10x10,5,8,2,20,20,0.1
abz_10x10,abz,10x10,5,9,1,20,20,0.05
abz_10x10,abz,10x10,6,0,2,20,20,0.1
abz_10x10,abz,10x10,6,1,1,20,20,0.05
abz_10x10,abz,10x10,6,2,3,20,20,0.15
abz_10x10,abz,10x10,6,3,1,20,20,0.05
abz_10x10,abz,10x10,6,4,3,20,20,0.15
abz_10x10,abz,10x10,6,5,1,20,20,0.05
abz_10x10,abz,10x10,6,6,3,20,20,0.15
abz_10x10,abz,10x10,6,7,4,20,20,0.2
abz_10x10,abz,10x10,6,8,1,20,20,0.05
abz_10x10,abz,10x10,6,9,1,20,20,0.05
abz_10x10,abz,10x10,7,0,3,20,20,0.15
abz_10x10,abz,10x10,7,1,4,20,20,0.2
abz_10x10,abz,10x10,7,2,0,20,20,0.0
abz_10x10,abz,10x10,7,3,2,20,20,0.1
abz_10x10,abz,10x10,7,4,3,20,20,0.15
abz_10x10,abz,10x10,7,5,4,20,20,0.2
abz_10x10,abz,10x10,7,6,0,20,20,0.0
abz_10x10,abz,10x10,7,7,1,20,20,0.05
abz_10x10,abz,10x10,7,8,2,20,20,0.1
abz_10x10,abz,10x10,7,9,1,20,20,0.05
abz_10x10,abz,10x10,8,0,4,20,20,0.2
abz_10x10,abz,10x10,8,1,0,20,20,0.0
abz_10x10,abz,10x10,8,2,1,20,20,0.05
abz_10x10,abz,10x10,8,3,2,20,20,0.1
abz_10x10,abz,10x10,8,4,1,20,20,0.05
abz_10x10,abz,10x10,8,5,1,20,20,0.05
abz_10x10,abz,10x10,8,6,2,20,20,0.1
abz_10x10,abz,10x10,8,7,3,20,20,0.15
abz_10x10,abz,10x10,8,8,3,20,20,0.15
abz_10x10,abz,10x10,8,9,3,20,20,0.15
abz_10x10,abz,10x10,9,0,1,20,20,0.05
abz_10x10,abz,10x10,9,1,3,20,20,0.15
abz_10x10,abz,10x10,9,2,3,20,20,0.15
abz_10x10,abz,10x10,9,3,3,20,20,0.15
abz_10x10,abz,10x10,9,4,0,20,20,0.0
abz_10x10,abz,10x10,9,5,1,20,20,0.05
abz_10x10,abz,10x10,9,6,2,20,20,0.1
abz_10x10,abz,10x10,9,7,2,20,20,0.1
abz_10x10,abz,10x10,9,8,1,20,20,0.05
abz_10x10,abz,10x10,9,9,4,20,20,0.2
abz_20x15,abz,20x15,0,0,3,60,60,0.05
abz_20x15,abz,20x15,0,1,4,60,60,0.06666666666666667
abz_20x15,abz,20x15,0,2,5,60,60,0.08333333333333333
abz_20x15,abz,20x15,0,3,2,60,60,0.03333333333333333
abz_20x15,abz,20x15,0,4,1,60,60,0.016666666666666666
abz_20x15,abz,20x15,0,5,5,60,60,0.08333333333333333
abz_20x15,abz,20x15,0,6,6,60,60,0.1
abz_20x15,abz,20x15,0,7,2,60,60,0.03333333333333333
abz_20x15,abz,20x15,0,8,7,60,60,0.11666666666666667
abz_20x15,abz,20x15,0,9,5,60,60,0.08333333333333333
abz_20x15,abz,20x15,0,10,2,60,60,0.03333333333333333
abz_20x15,abz,20x15,0,11,5,60,60,0.08333333333333333
