family,machine_a,machine_b,count_a_before_b,count_b_before_a,total_comparisons,p_a_before_b,bias_from_0_5,dominant_direction,dominant_probability
abz,0,1,41,39,80,0.5125,0.012499999999999956,0->1,0.5125
abz,0,2,42,38,80,0.525,0.025000000000000022,0->2,0.525
abz,0,3,31,49,80,0.3875,0.11249999999999999,3->0,0.6125
abz,0,4,34,46,80,0.425,0.07500000000000001,4->0,0.575
abz,0,5,31,49,80,0.3875,0.11249999999999999,5->0,0.6125
abz,0,6,34,46,80,0.425,0.07500000000000001,6->0,0.575
abz,0,7,41,39,80,0.5125,0.012499999999999956,0->7,0.5125
abz,0,8,35,45,80,0.4375,0.0625,8->0,0.5625
abz,0,9,35,45,80,0.4375,0.0625,9->0,0.5625
abz,0,10,31,29,60,0.5166666666666667,0.01666666666666672,0->10,0.5166666666666667
abz,0,11,31,29,60,0.5166666666666667,0.01666666666666672,0->11,0.5166666666666667
abz,0,12,29,31,60,0.48333333333333334,0.016666666666666663,12->0,0.5166666666666666
abz,0,13,29,31,60,0.48333333333333334,0.016666666666666663,13->0,0.5166666666666666
abz,0,14,26,34,60,0.43333333333333335,0.06666666666666665,14->0,0.5666666666666667
abz,1,2,37,43,80,0.4625,0.03749999999999998,2->1,0.5375
abz,1,3,30,50,80,0.375,0.125,3->1,0.625
abz,1,4,40,40,80,0.5,0.0,1->4,0.5
abz,1,5,32,48,80,0.4,0.09999999999999998,5->1,0.6
abz,1,6,34,46,80,0.425,0.07500000000000001,6->1,0.575
abz,1,7,41,39,80,0.5125,0.012499999999999956,1->7,0.5125
abz,1,8,35,45,80,0.4375,0.0625,8->1,0.5625
abz,1,9,35,45,80,0.4375,0.0625,9->1,0.5625
abz,1,10,30,30,60,0.5,0.0,1->10,0.5
abz,1,11,29,31,60,0.48333333333333334,0.016666666666666663,11->1,0.5166666666666666
abz,1,12,24,36,60,0.4,0.09999999999999998,12->1,0.6
abz,1,13,23,37,60,0.38333333333333336,0.11666666666666664,13->1,0.6166666666666667
abz,1,14,25,35,60,0.4166666666666667,0.08333333333333331,14->1,0.5833333333333333
abz,2,3,32,48,80,0.4,0.09999999999999998,3->2,0.6
abz,2,4,36,44,80,0.45,0.04999999999999999,4->2,0.55
abz,2,5,28,52,80,0.35,0.15000000000000002,5->2,0.65
abz,2,6,32,48,80,0.4,0.09999999999999998,6->2,0.6
abz,2,7,40,40,80,0.5,0.0,2->7,0.5
abz,2,8,34,46,80,0.425,0.07500000000000001,8->2,0.575
abz,2,9,40,40,80,0.5,0.0,2->9,0.5
abz,2,10,28,32,60,0.4666666666666667,0.033333333333333326,10->2,0.5333333333333333
abz,2,11,26,34,60,0.43333333333333335,0.06666666666666665,11->2,0.5666666666666667
abz,2,12,32,28,60,0.5333333333333333,0.033333333333333326,2->12,0.5333333333333333
abz,2,13,25,35,60,0.4166666666666667,0.08333333333333331,13->2,0.5833333333333333
abz,2,14,26,34,60,0.43333333333333335,0.06666666666666665,14->2,0.5666666666666667
abz,3,4,45,35,80,0.5625,0.0625,3->4,0.5625
abz,3,5,36,44,80,0.45,0.04999999999999999,5->3,0.55
abz,3,6,44,36,80,0.55,0.050000000000000044,3->6,0.55
abz,3,7,45,35,80,0.5625,0.0625,3->7,0.5625
abz,3,8,37,43,80,0.4625,0.03749999999999998,8->3,0.5375
abz,3,9,45,35,80,0.5625,0.0625,3->9,0.5625
abz,3,10,37,23,60,0.6166666666666667,0.1166666666666667,3->10,0.6166666666666667
abz,3,11,35,25,60,0.5833333333333334,0.08333333333333337,3->11,0.5833333333333334
abz,3,12,38,22,60,0.6333333333333333,0.1333333333333333,3->12,0.6333333333333333
abz,3,13,36,24,60,0.6,0.09999999999999998,3->13,0.6
abz,3,14,28,32,60,0.4666666666666667,0.033333333333333326,14->3,0.5333333333333333
abz,4,5,31,49,80,0.3875,0.11249999999999999,5->4,0.6125
abz,4,6,39,41,80,0.4875,0.012500000000000011,6->4,0.5125
abz,4,7,37,43,80,0.4625,0.03749999999999998,7->4,0.5375
abz,4,8,34,46,80,0.425,0.07500000000000001,8->4,0.575
abz,4,9,43,37,80,0.5375,0.03749999999999998,4->9,0.5375
abz,4,10,34,26,60,0.5666666666666667,0.06666666666666665,4->10,0.5666666666666667
abz,4,11,30,30,60,0.5,0.0,4->11,0.5
abz,4,12,24,36,60,0.4,0.09999999999999998,12->4,0.6
abz,4,13,30,30,60,0.5,0.0,4->13,0.5
abz,4,14,27,33,60,0.45,0.04999999999999999,14->4,0.55
abz,5,6,44,36,80,0.55,0.050000000000000044,5->6,0.55
abz,5,7,52,28,80,0.65,0.15000000000000002,5->7,0.65
abz,5,8,45,35,80,0.5625,0.0625,5->8,0.5625
abz,5,9,50,30,80,0.625,0.125,5->9,0.625
abz,5,10,39,21,60,0.65,0.15000000000000002,5->10,0.65
abz,5,11,37,23,60,0.6166666666666667,0.1166666666666667,5->11,0.6166666666666667
abz,5,12,32,28,60,0.5333333333333333,0.033333333333333326,5->12,0.5333333333333333
abz,5,13,37,23,60,0.6166666666666667,0.1166666666666667,5->13,0.6166666666666667
abz,5,14,35,25,60,0.5833333333333334,0.08333333333333337,5->14,0.5833333333333334
abz,6,7,49,31,80,0.6125,0.11250000000000004,6->7,0.6125
abz,6,8,37,43,80,0.4625,0.03749999999999998,8->6,0.5375
abz,6,9,42,38,80,0.525,0.025000000000000022,6->9,0.525
abz,6,10,36,24,60,0.6,0.09999999999999998,6->10,0.6
abz,6,11,33,27,60,0.55,0.050000000000000044,6->11,0.55
abz,6,12,36,24,60,0.6,0.09999999999999998,6->12,0.6
abz,6,13,29,31,60,0.48333333333333334,0.016666666666666663,13->6,0.5166666666666666
abz,6,14,27,33,60,0.45,0.04999999999999999,14->6,0.55
abz,7,8,34,46,80,0.425,0.07500000000000001,8->7,0.575
abz,7,9,40,40,80,0.5,0.0,7->9,0.5
abz,7,10,27,33,60,0.45,0.04999999999999999,10->7,0.55
abz,7,11,29,31,60,0.48333333333333334,0.016666666666666663,11->7,0.5166666666666666
abz,7,12,26,34,60,0.43333333333333335,0.06666666666666665,12->7,0.5666666666666667
abz,7,13,27,33,60,0.45,0.04999999999999999,13->7,0.55
abz,7,14,26,34,60,0.43333333333333335,0.06666666666666665,14->7,0.5666666666666667
abz,8,9,52,28,80,0.65,0.15000000000000002,8->9,0.65
abz,8,10,34,26,60,0.5666666666666667,0.06666666666666665,8->10,0.5666666666666667
abz,8,11,36,24,60,0.6,0.09999999999999998,8->11,0.6
abz,8,12,34,26,60,0.5666666666666667,0.06666666666666665,8->12,0.5666666666666667
abz,8,13,33,27,60,0.55,0.050000000000000044,8->13,0.55
abz,8,14,35,25,60,0.5833333333333334,0.08333333333333337,8->14,0.5833333333333334
abz,9,10,31,29,60,0.5166666666666667,0.01666666666666672,9->10,0.5166666666666667
abz,9,11,33,27,60,0.55,0.050000000000000044,9->11,0.55
abz,9,12,30,30,60,0.5,0.0,9->12,0.5
abz,9,13,29,31,60,0.48333333333333334,0.016666666666666663,13->9,0.5166666666666666
abz,9,14,30,30,60,0.5,0.0,9->14,0.5
abz,10,11,30,30,60,0.5,0.0,10->11,0.5
abz,10,12,28,32,60,0.4666666666666667,0.033333333333333326,12->10,0.5333333333333333
abz,10,13,27,33,60,0.45,0.04999999999999999,13->10,0.55
abz,10,14,32,28,60,0.5333333333333333,0.033333333333333326,10->14,0.5333333333333333
abz,11,12,23,37,60,0.38333333333333336,0.11666666666666664,12->11,0.6166666666666667
abz,11,13,32,28,60,0.5333333333333333,0.033333333333333326,11->13,0.5333333333333333
