family_size,family,size,machine_a,machine_b,count_a_before_b,count_b_before_a,total_comparisons,p_a_before_b,bias_from_0_5,dominant_direction,dominant_probability
abz_10x10,abz,10x10,0,1,11,9,20,0.55,0.050000000000000044,0->1,0.55
abz_10x10,abz,10x10,0,2,8,12,20,0.4,0.09999999999999998,2->0,0.6
abz_10x10,abz,10x10,0,3,8,12,20,0.4,0.09999999999999998,3->0,0.6
abz_10x10,abz,10x10,0,4,7,13,20,0.35,0.15000000000000002,4->0,0.65
abz_10x10,abz,10x10,0,5,8,12,20,0.4,0.09999999999999998,5->0,0.6
abz_10x10,abz,10x10,0,6,8,12,20,0.4,0.09999999999999998,6->0,0.6
abz_10x10,abz,10x10,0,7,9,11,20,0.45,0.04999999999999999,7->0,0.55
abz_10x10,abz,10x10,0,8,8,12,20,0.4,0.09999999999999998,8->0,0.6
abz_10x10,abz,10x10,0,9,8,12,20,0.4,0.09999999999999998,9->0,0.6
abz_10x10,abz,10x10,1,2,9,11,20,0.45,0.04999999999999999,2->1,0.55
abz_10x10,abz,10x10,1,3,8,12,20,0.4,0.09999999999999998,3->1,0.6
abz_10x10,abz,10x10,1,4,10,10,20,0.5,0.0,1->4,0.5
abz_10x10,abz,10x10,1,5,10,10,20,0.5,0.0,1->5,0.5
abz_10x10,abz,10x10,1,6,10,10,20,0.5,0.0,1->6,0.5
abz_10x10,abz,10x10,1,7,11,9,20,0.55,0.050000000000000044,1->7,0.55
abz_10x10,abz,10x10,1,8,9,11,20,0.45,0.04999999999999999,8->1,0.55
abz_10x10,abz,10x10,1,9,10,10,20,0.5,0.0,1->9,0.5
abz_10x10,abz,10x10,2,3,8,12,20,0.4,0.09999999999999998,3->2,0.6
abz_10x10,abz,10x10,2,4,7,13,20,0.35,0.15000000000000002,4->2,0.65
abz_10x10,abz,10x10,2,5,7,13,20,0.35,0.15000000000000002,5->2,0.65
abz_10x10,abz,10x10,2,6,7,13,20,0.35,0.15000000000000002,6->2,0.65
abz_10x10,abz,10x10,2,7,10,10,20,0.5,0.0,2->7,0.5
abz_10x10,abz,10x10,2,8,9,11,20,0.45,0.04999999999999999,8->2,0.55
abz_10x10,abz,10x10,2,9,12,8,20,0.6,0.09999999999999998,2->9,0.6
abz_10x10,abz,10x10,3,4,9,11,20,0.45,0.04999999999999999,4->3,0.55
abz_10x10,abz,10x10,3,5,10,10,20,0.5,0.0,3->5,0.5
abz_10x10,abz,10x10,3,6,11,9,20,0.55,0.050000000000000044,3->6,0.55
abz_10x10,abz,10x10,3,7,8,12,20,0.4,0.09999999999999998,7->3,0.6
abz_10x10,abz,10x10,3,8,10,10,20,0.5,0.0,3->8,0.5
abz_10x10,abz,10x10,3,9,10,10,20,0.5,0.0,3->9,0.5
abz_10x10,abz,10x10,4,5,12,8,20,0.6,0.09999999999999998,4->5,0.6
abz_10x10,abz,10x10,4,6,13,7,20,0.65,0.15000000000000002,4->6,0.65
abz_10x10,abz,10x10,4,7,9,11,20,0.45,0.04999999999999999,7->4,0.55
abz_10x10,abz,10x10,4,8,13,7,20,0.65,0.15000000000000002,4->8,0.65
abz_10x10,abz,10x10,4,9,12,8,20,0.6,0.09999999999999998,4->9,0.6
abz_10x10,abz,10x10,5,6,10,10,20,0.5,0.0,5->6,0.5
abz_10x10,abz,10x10,5,7,12,8,20,0.6,0.09999999999999998,5->7,0.6
