file,family,size,num_jobs,num_mchs,machine_a,machine_b,count_a_before_b,count_b_before_a,p_a_before_b,bias_from_0_5,dominant_direction,dominant_probability,family_size
abz5,abz,10x10,10,10,0,1,5,5,0.5,0.0,0->1,0.5,abz_10x10
abz5,abz,10x10,10,10,0,2,5,5,0.5,0.0,0->2,0.5,abz_10x10
abz5,abz,10x10,10,10,0,3,3,7,0.3,0.2,3->0,0.7,abz_10x10
abz5,abz,10x10,10,10,0,4,3,7,0.3,0.2,4->0,0.7,abz_10x10
abz5,abz,10x10,10,10,0,5,5,5,0.5,0.0,0->5,0.5,abz_10x10
abz5,abz,10x10,10,10,0,6,5,5,0.5,0.0,0->6,0.5,abz_10x10
abz5,abz,10x10,10,10,0,7,5,5,0.5,0.0,0->7,0.5,abz_10x10
abz5,abz,10x10,10,10,0,8,5,5,0.5,0.0,0->8,0.5,abz_10x10
abz5,abz,10x10,10,10,0,9,6,4,0.6,0.09999999999999998,0->9,0.6,abz_10x10
abz5,abz,10x10,10,10,1,2,6,4,0.6,0.09999999999999998,1->2,0.6,abz_10x10
abz5,abz,10x10,10,10,1,3,5,5,0.5,0.0,1->3,0.5,abz_10x10
abz5,abz,10x10,10,10,1,4,6,4,0.6,0.09999999999999998,1->4,0.6,abz_10x10
abz5,abz,10x10,10,10,1,5,7,3,0.7,0.19999999999999996,1->5,0.7,abz_10x10
abz5,abz,10x10,10,10,1,6,5,5,0.5,0.0,1->6,0.5,abz_10x10
abz5,abz,10x10,10,10,1,7,6,4,0.6,0.09999999999999998,1->7,0.6,abz_10x10
abz5,abz,10x10,10,10,1,8,6,4,0.6,0.09999999999999998,1->8,0.6,abz_10x10
abz5,abz,10x10,10,10,1,9,8,2,0.8,0.30000000000000004,1->9,0.8,abz_10x10
abz5,abz,10x10,10,10,2,3,4,6,0.4,0.09999999999999998,3->2,0.6,abz_10x10
abz5,abz,10x10,10,10,2,4,2,8,0.2,0.3,4->2,0.8,abz_10x10
abz5,abz,10x10,10,10,2,5,5,5,0.5,0.0,2->5,0.5,abz_10x10
abz5,abz,10x10,10,10,2,6,3,7,0.3,0.2,6->2,0.7,abz_10x10
abz5,abz,10x10,10,10,2,7,5,5,0.5,0.0,2->7,0.5,abz_10x10
abz5,abz,10x10,10,10,2,8,4,6,0.4,0.09999999999999998,8->2,0.6,abz_10x10
abz5,abz,10x10,10,10,2,9,7,3,0.7,0.19999999999999996,2->9,0.7,abz_10x10
abz5,abz,10x10,10,10,3,4,4,6,0.4,0.09999999999999998,4->3,0.6,abz_10x10
abz5,abz,10x10,10,10,3,5,6,4,0.6,0.09999999999999998,3->5,0.6,abz_10x10
abz5,abz,10x10,10,10,3,6,5,5,0.5,0.0,3->6,0.5,abz_10x10
abz5,abz,10x10,10,10,3,7,5,5,0.5,0.0,3->7,0.5,abz_10x10
abz5,abz,10x10,10,10,3,8,7,3,0.7,0.19999999999999996,3->8,0.7,abz_10x10
abz5,abz,10x10,10,10,3,9,7,3,0.7,0.19999999999999996,3->9,0.7,abz_10x10
abz5,abz,10x10,10,10,4,5,8,2,0.8,0.30000000000000004,4->5,0.8,abz_10x10
abz5,abz,10x10,10,10,4,6,6,4,0.6,0.09999999999999998,4->6,0.6,abz_10x10
abz5,abz,10x10,10,10,4,7,5,5,0.5,0.0,4->7,0.5,abz_10x10
abz5,abz,10x10,10,10,4,8,8,2,0.8,0.30000000000000004,4->8,0.8,abz_10x10
