family_size,n_files,total_jobs,min_machines,max_machines,mean_route_diversity_ratio,mean_top_route_share,mean_position_entropy_norm,min_position_entropy_norm,mean_abs_pairwise_bias,max_abs_pairwise_bias,mean_deterministic_pair_ratio,mean_adjacent_edge_density,mean_transitive_edge_density,mean_bidirectional_pair_ratio
abz_10x10,2,20,10,10,1.0,0.1,0.7615787827591747,0.5730713133096571,0.11888888888888888,0.30000000000000004,0.0,0.6444444444444444,1.0,1.0
abz_20x15,3,60,15,15,1.0,0.05000000000000001,0.8362431606256097,0.747298121609074,0.09174603174603176,0.30000000000000004,0.0,0.7476190476190476,1.0,1.0
ft_10x10,1,10,10,10,1.0,0.1,0.6645828120902177,0.44717262228329563,0.2955555555555555,0.5,0.26666666666666666,0.6,0.8666666666666667,0.7333333333333333
ft_20x5,1,20,5,5,0.7,0.1,0.7479931737407057,0.5323852435808433,0.29,0.5,0.1,0.9,0.95,0.9
ft_6x6,1,6,6,6,1.0,0.16666666666666666,0.6613987523402037,0.3868528072345416,0.22222222222222224,0.5,0.06666666666666667,0.6,0.9666666666666667,0.9333333333333333
la_10x10,5,50,10,10,1.0,0.1,0.768518873951388,0.637170578139598,0.12977777777777774,0.36000000000000004,0.0,0.6666666666666667,1.0,1.0
la_10x5,5,50,5,5,0.9400000000000001,0.16,0.8340511927607116,0.6307549614907629,0.126,0.26,0.0,0.89,1.0,1.0
la_15x10,5,75,10,10,1.0,0.06666666666666667,0.8425435920359643,0.7249330770873893,0.0988148148148148,0.3,0.0,0.7911111111111111,1.0,1.0
la_15x15,5,75,15,15,1.0,0.06666666666666667,0.7966280900907142,0.7125119362109776,0.10977777777777775,0.34,0.0,0.6371428571428572,1.0,1.0
la_15x5,5,75,5,5,0.96,0.09333333333333334,0.9223202313489743,0.850242150599532,0.09999999999999998,0.1933333333333333,0.0,0.95,1.0,1.0
la_20x10,5,100,10,10,1.0,0.05,0.8890767658344542,0.8173702477372389,0.08777777777777777,0.26,0.0,0.8977777777777778,1.0,1.0
la_20x5,5,100,5,5,0.93,0.09,0.9440217295180942,0.8876065262927806,0.10200000000000001,0.21000000000000002,0.0,1.0,1.0,1.0
la_30x10,5,150,10,10,1.0,0.03333333333333333,0.9252254384189659,0.8644032974953128,0.06325925925925924,0.18666666666666662,0.0,0.9822222222222223,1.0,1.0
orb_10x10,10,100,10,10,0.96,0.14,0.6129658517624796,0.3442972736935328,0.24177777777777779,0.42000000000000004,0.20888888888888885,0.5577777777777777,0.8955555555555555,0.7911111111111111
swv_20x10,5,100,10,10,0.99,0.06000000000000001,0.6549695881374393,0.5965886208290833,0.31422222222222224,0.5,0.5555555555555556,0.6022222222222222,0.7222222222222222,0.4444444444444445
swv_20x15,5,100,15,15,1.0,0.05,0.6848835942516989,0.624130209499185,0.30352380952380953,0.5,0.5333333333333333,0.5238095238095238,0.7333333333333333,0.4666666666666667
swv_50x10,10,500,10,10,1.0,0.02,0.8199547426358587,0.7932196911285192,0.17773333333333335,0.326,0.2777777777777778,0.8377777777777778,0.861111111111111,0.7222222222222222
ta_100x20,10,1000,20,20,1.0,0.01,0.9647843895259507,0.9383198244715303,0.04590000000000001,0.166,0.0,0.9942105263157895,1.0,1.0
ta_15x15,10,150,15,15,1.0,0.06666666666666667,0.7948948549519701,0.7063084146219061,0.10647619047619046,0.31333333333333335,0.0,0.6423809523809524,1.0,1.0
ta_20x15,10,200,15,15,1.0,0.05,0.8501411252984878,0.7632440108477077,0.09685714285714286,0.32,0.0,0.7514285714285714,1.0,1.0
ta_20x20,10,200,20,20,1.0,0.05,0.8112817908369602,0.7227670473108925,0.08897368421052632,0.3,0.0,0.6410526315789473,1.0,1.0
ta_30x15,10,300,15,15,1.0,0.03333333333333333,0.9027790301718177,0.8267101097950726,0.07295238095238095,0.2533333333333333,0.0,0.8699999999999999,1.0,1.0
ta_30x20,10,300,20,20,1.0,0.03333333333333333,0.8736418108777994,0.8108229708906194,0.07756140350877191,0.2733333333333333,0.0,0.7860526315789473,1.0,1.0
ta_50x15,10,500,15,15,1.0,0.02,0.942588867582503,0.9043277515697842,0.06038095238095238,0.202,0.0,0.97,1.0,1.0
ta_50x20,10,500,20,20,1.0,0.02,0.9299538942612232,0.889433161418137,0.056242105263157906,0.196,0.0,0.9242105263157894,1.0,1.0
yn_20x20,4,80,20,20,1.0,0.05,0.8061047329175627,0.6682321756577188,0.09532894736842107,0.325,0.0,0.6421052631578947,1.0,1.0
