file,family,num_jobs,num_mchs,size,unique_routes,route_diversity_ratio,top_route_count,top_route_share,mean_position_entropy_norm,min_position_entropy_norm,mean_abs_pairwise_bias,max_abs_pairwise_bias,deterministic_pair_ratio,adjacent_edge_density,transitive_edge_density,bidirectional_pair_ratio,one_direction_pair_ratio,family_size
abz5,abz,10,10,10x10,10,1.0,1,0.1,0.7884822895034008,0.6387640052032224,0.11777777777777777,0.30000000000000004,0.0,0.6333333333333333,1.0,1.0,0.0,abz_10x10
abz6,abz,10,10,10x10,10,1.0,1,0.1,0.7346752760149486,0.5073786214160918,0.11999999999999997,0.3,0.0,0.6555555555555556,1.0,1.0,0.0,abz_10x10
abz7,abz,20,15,20x15,20,1.0,1,0.05,0.8430595532052455,0.7591605775403628,0.08523809523809525,0.30000000000000004,0.0,0.7571428571428571,1.0,1.0,0.0,abz_20x15
abz8,abz,20,15,20x15,20,1.0,1,0.05,0.8402331042720969,0.7126341656223261,0.10285714285714287,0.3,0.0,0.7380952380952381,1.0,1.0,0.0,abz_20x15
abz9,abz,20,15,20x15,20,1.0,1,0.05,0.8254368243994867,0.7700996216645329,0.08714285714285715,0.30000000000000004,0.0,0.7476190476190476,1.0,1.0,0.0,abz_20x15
ft06,ft,6,6,6x6,6,1.0,1,0.16666666666666666,0.6613987523402037,0.3868528072345416,0.22222222222222224,0.5,0.06666666666666667,0.6,0.9666666666666667,0.9333333333333333,0.06666666666666667,ft_6x6
ft10,ft,10,10,10x10,10,1.0,1,0.1,0.6645828120902177,0.44717262228329563,0.2955555555555555,0.5,0.26666666666666666,0.6,0.8666666666666667,0.7333333333333333,0.26666666666666666,ft_10x10
ft20,ft,20,5,20x5,14,0.7,2,0.1,0.7479931737407057,0.5323852435808433,0.29,0.5,0.1,0.9,0.95,0.9,0.1,ft_20x5
la01,la,10,5,10x5,9,0.9,2,0.2,0.860986517860274,0.639759388112919,0.11000000000000001,0.2,0.0,0.95,1.0,1.0,0.0,la_10x5
la02,la,10,5,10x5,10,1.0,1,0.1,0.860986517860274,0.7258946997275975,0.16,0.30000000000000004,0.0,1.0,1.0,1.0,0.0,la_10x5
la03,la,10,5,10x5,9,0.9,2,0.2,0.7511218968993719,0.5579250481919704,0.18,0.30000000000000004,0.0,0.75,1.0,1.0,0.0,la_10x5
la04,la,10,5,10x5,10,1.0,1,0.1,0.8330346402376902,0.639759388112919,0.06999999999999998,0.19999999999999996,0.0,0.9,1.0,1.0,0.0,la_10x5
la05,la,10,5,10x5,9,0.9,2,0.2,0.8641263909459473,0.5904362833084089,0.11000000000000001,0.3,0.0,0.85,1.0,1.0,0.0,la_10x5
la06,la,15,5,15x5,14,0.9333333333333333,2,0.13333333333333333,0.9525653046063421,0.925633916873193,0.07333333333333332,0.16666666666666663,0.0,0.95,1.0,1.0,0.0,la_15x5
la07,la,15,5,15x5,13,0.8666666666666667,2,0.13333333333333333,0.8798956868582384,0.8136541491827751,0.13999999999999999,0.23333333333333334,0.0,0.95,1.0,1.0,0.0,la_15x5
la08,la,15,5,15x5,15,1.0,1,0.06666666666666667,0.9112944830362958,0.7879112632247941,0.12666666666666665,0.23333333333333334,0.0,0.95,1.0,1.0,0.0,la_15x5
la09,la,15,5,15x5,15,1.0,1,0.06666666666666667,0.9303019281643085,0.8670089610455387,0.07999999999999999,0.16666666666666663,0.0,0.9,1.0,1.0,0.0,la_15x5
la10,la,15,5,15x5,15,1.0,1,0.06666666666666667,0.9375437540796868,0.8570024626713595,0.07999999999999999,0.16666666666666669,0.0,1.0,1.0,1.0,0.0,la_15x5
la11,la,20,5,20x5,18,0.9,2,0.1,0.9327157934942877,0.8057745623451052,0.13000000000000003,0.30000000000000004,0.0,1.0,1.0,1.0,0.0,la_20x5
la12,la,20,5,20x5,18,0.9,2,0.1,0.9484841697003571,0.8976090708271023,0.07500000000000001,0.15000000000000002,0.0,1.0,1.0,1.0,0.0,la_20x5
la13,la,20,5,20x5,20,1.0,1,0.05,0.9381894515700822,0.8976090708271022,0.11000000000000001,0.19999999999999996,0.0,1.0,1.0,1.0,0.0,la_20x5
la14,la,20,5,20x5,19,0.95,2,0.1,0.9721445172598708,0.948181600415076,0.05,0.09999999999999998,0.0,1.0,1.0,1.0,0.0,la_20x5
la15,la,20,5,20x5,18,0.9,2,0.1,0.9285747155658729,0.8888583270495175,0.14500000000000002,0.30000000000000004,0.0,1.0,1.0,1.0,0.0,la_20x5
la16,la,10,10,10x10,10,1.0,1,0.1,0.7575825764051906,0.6387640052032224,0.13777777777777775,0.4,0.0,0.6444444444444445,1.0,1.0,0.0,la_10x10
la17,la,10,10,10x10,10,1.0,1,0.1,0.8019992136131784,0.6762456261857126,0.1222222222222222,0.4,0.0,0.7,1.0,1.0,0.0,la_10x10
la18,la,10,10,10x10,10,1.0,1,0.1,0.7839374138733395,0.7364516253185087,0.1444444444444444,0.30000000000000004,0.0,0.6777777777777778,1.0,1.0,0.0,la_10x10
la19,la,10,10,10x10,10,1.0,1,0.1,0.7640992648299408,0.5785580060704263,0.10444444444444442,0.30000000000000004,0.0,0.6222222222222222,1.0,1.0,0.0,la_10x10
la20,la,10,10,10x10,10,1.0,1,0.1,0.7349759010352903,0.55583362792012,0.13999999999999999,0.4,0.0,0.6888888888888889,1.0,1.0,0.0,la_10x10
la21,la,15,10,15x10,15,1.0,1,0.06666666666666667,0.8217938180544049,0.7272650084008166,0.1133333333333333,0.3666666666666667,0.0,0.7777777777777778,1.0,1.0,0.0,la_15x10
