size,n_files,total_jobs,min_machines,max_machines,mean_route_diversity_ratio,mean_top_route_share,mean_position_entropy_norm,min_position_entropy_norm,mean_abs_pairwise_bias,max_abs_pairwise_bias,mean_deterministic_pair_ratio,mean_adjacent_edge_density,mean_transitive_edge_density,mean_bidirectional_pair_ratio
100x20,10,1000,20,20,1.0,0.01,0.9647843895259507,0.9383198244715303,0.04590000000000001,0.166,0.0,0.9942105263157895,1.0,1.0
10x10,18,180,10,10,0.9777777777777779,0.12222222222222223,0.6755551813883502,0.456785604251996,0.19999999999999998,0.3944444444444445,0.13086419753086417,0.6000000000000001,0.9345679012345679,0.8691358024691358
10x5,5,50,5,5,0.9400000000000001,0.16,0.8340511927607116,0.6307549614907629,0.126,0.26,0.0,0.89,1.0,1.0
15x10,5,75,10,10,1.0,0.06666666666666667,0.8425435920359643,0.7249330770873893,0.0988148148148148,0.3,0.0,0.7911111111111111,1.0,1.0
15x15,15,225,15,15,1.0,0.06666666666666667,0.7954725999982182,0.7083762551515966,0.10757671957671956,0.32222222222222224,0.0,0.6406349206349206,1.0,1.0
15x5,5,75,5,5,0.96,0.09333333333333334,0.9223202313489743,0.850242150599532,0.09999999999999998,0.1933333333333333,0.0,0.95,1.0,1.0
20x10,10,200,10,10,0.9949999999999999,0.05500000000000001,0.7720231769859468,0.7069794342831611,0.201,0.38,0.2777777777777778,0.75,0.861111111111111,0.7222222222222222
20x15,18,360,15,15,1.0,0.05,0.801919928117789,0.7219436400444568,0.15341269841269842,0.36666666666666664,0.14814814814814814,0.6875661375661376,0.925925925925926,0.8518518518518519
20x20,14,280,20,20,1.0,0.05,0.809802631431418,0.7071856554099858,0.09078947368421053,0.3071428571428571,0.0,0.6413533834586467,1.0,1.0
20x5,6,120,5,5,0.8916666666666666,0.09166666666666667,0.9113503035551961,0.8284029791741244,0.13333333333333333,0.25833333333333336,0.016666666666666666,0.9833333333333334,0.9916666666666667,0.9833333333333334
30x10,5,150,10,10,1.0,0.03333333333333333,0.9252254384189659,0.8644032974953128,0.06325925925925924,0.18666666666666662,0.0,0.9822222222222223,1.0,1.0
30x15,10,300,15,15,1.0,0.03333333333333333,0.9027790301718177,0.8267101097950726,0.07295238095238095,0.2533333333333333,0.0,0.8699999999999999,1.0,1.0
30x20,10,300,20,20,1.0,0.03333333333333333,0.8736418108777994,0.8108229708906194,0.07756140350877191,0.2733333333333333,0.0,0.7860526315789473,1.0,1.0
50x10,10,500,10,10,1.0,0.02,0.8199547426358587,0.7932196911285192,0.17773333333333335,0.326,0.2777777777777778,0.8377777777777778,0.861111111111111,0.7222222222222222
50x15,10,500,15,15,1.0,0.02,0.942588867582503,0.9043277515697842,0.06038095238095238,0.202,0.0,0.97,1.0,1.0
50x20,10,500,20,20,1.0,0.02,0.9299538942612232,0.889433161418137,0.056242105263157906,0.196,0.0,0.9242105263157894,1.0,1.0
6x6,1,6,6,6,1.0,0.16666666666666666,0.6613987523402037,0.3868528072345416,0.22222222222222224,0.5,0.06666666666666667,0.6,0.9666666666666667,0.9333333333333333
