instance_id,n_jobs,n_machines,node_x_cols,node_x_col0_min,node_x_col0_max,node_x_col0_mean,node_x_col0_median,node_x_col0_std,node_x_col0_range,node_x_col0_q1,node_x_col0_q3,node_x_col0_gini,node_x_col1_min,node_x_col1_max,node_x_col1_mean,node_x_col1_median,node_x_col1_std,node_x_col1_range,node_x_col1_q1,node_x_col1_q3,node_x_col1_gini,node_x_overall_mean,node_x_overall_std,num_conjunctive_edges,num_disjunctive_edges,num_nodes_total,num_edges_total,disj_graph_density,deg_d_min,deg_d_max,deg_d_mean,deg_d_median,deg_d_std,deg_d_range,deg_d_q1,deg_d_q3,deg_d_gini,clustering_min,clustering_max,clustering_mean,clustering_median,clustering_std,clustering_range,clustering_q1,clustering_q3,clustering_gini,conj_graph_density,deg_c_min,deg_c_max,deg_c_mean,deg_c_median,deg_c_std,deg_c_range,deg_c_q1,deg_c_q3,deg_c_gini,betweenness_min,betweenness_max,betweenness_mean,betweenness_median,betweenness_std,betweenness_range,betweenness_q1,betweenness_q3,betweenness_gini,speed,rddd,makespan_min,makespan_range,operation_cost_mean,operation_cost_std,makespan_lb_job_sum,makespan_lb_machine_sum,makespan_lb_meanload,num_op_nodes,size_jobs_log,size_machs_log,size_ops_log,status,quality_tag,is_optimal,timelimit_hit,objective,objective_bound,gap_abs,gap_rel,makespan,energy,mk_plus_en_eq_objective,n_jobs_inferred,n_machines_inferred,start_time_len,start_time_flat_len,start_time_min,start_time_max,start_time_mean,start_time_std,start_time_gini,start_time_num_zero,start_time_zero_ratio,speeds_len,speeds_flat_len,speeds_unique,speeds_mean,speeds_all_one,solveTime,flatTime,totalTime,maxTime,method,nSolutions,failures,propagations,paths,flatBoolVars,flatIntVars,flatBoolConstraints,flatIntConstraints,evaluatedHalfReifiedConstraints,boolVariables_runtime,parsed_makespan,parsed_energy,parsed_objective,parsed_obj_matches_objective,checker_len,objective_from_stats,complexity_supervised_0_1
10-10-0.pt,10.0,10.0,2.0,0.0,98.0,50.69607843137255,51.0,27.043461467621174,98.0,26.25,71.0,0.30683752905532735,-1.0,9.0,4.392156862745098,4.0,2.9444426309178833,10.0,2.0,7.0,0.3790849673202614,27.544116973876953,30.100208282470703,110.0,900.0,102.0,1010.0,0.08736167734420501,0.0,9.0,8.823529411764707,9.0,1.2478354962115543,9.0,9.0,9.0,0.019607843137254832,0.0,1.0,0.9803921568627451,1.0,0.1386483884679505,1.0,1.0,1.0,0.019607843137254832,0.021355076684139003,2.0,10.0,2.156862745098039,2.0,1.1091871077436042,8.0,2.0,2.0,0.071301247771836,0.04229702970297031,0.44554455445544555,0.06262861580275676,0.05180198019801981,0.05533894512342877,0.4032475247524753,0.04546534653465347,0.06130693069306931,0.21713285438167795,1.0,0.0,619.0,4552.0,52.238765716552734,26.293363571166992,619.0,690.0,517.1,100.0,2.3978952727983707,2.3978952727983707,4.61512051684126,OPTIMAL_SOLUTION,optimal,True,False,6983.0,6983.0,0.0,0.0,861.0,6122.0,True,10.0,10.0,10,100,0.0,833.0,391.01,240.52935351012775,0.3543451574128538,6,0.06,10,100,1,1.0,True,702.678,76.782,610.0,60320.0,minimize,120.0,0.0,0.0,0.0,900.0,202.0,450.0,1452.0,900.0,450.0,861.0,6122.0,6983.0,True,0,6983.0,0.036204900170458014
10-11-0.pt,10.0,11.0,2.0,0.0,98.0,52.223214285714285,54.0,26.812413776560852,98.0,28.0,72.0,0.29560455999804613,-1.0,10.0,4.892857142857143,5.0,3.2330799746447627,11.0,2.0,8.0,0.375,28.558034896850586,30.40920639038086,120.0,990.0,112.0,1110.0,0.07963320463320463,0.0,9.0,8.839285714285714,9.0,1.1918890425689457,9.0,9.0,9.0,0.017857142857142794,0.0,1.0,0.9821428571428571,1.0,0.132432115840994,1.0,1.0,1.0,0.017857142857142794,0.019305019305019305,2.0,10.0,2.142857142857143,2.0,1.059456926727952,8.0,2.0,2.0,0.06547619047619047,0.04260442260442261,0.44594594594594594,0.06267696267696268,0.0543980343980344,0.052937381155492055,0.40334152334152334,0.04391482391482392,0.06357084357084358,0.2075322008586895,1.0,0.0,759.0,5090.0,53.69327163696289,26.05493927001953,759.0,665.0,531.7272727272727,110.0,2.3978952727983707,2.4849066497880004,4.709530201312334,OPTIMAL_SOLUTION,optimal,True,False,7532.0,7532.0,0.0,0.0,899.0,6633.0,True,10.0,11.0,10,110,0.0,843.0,421.3818181818182,254.27965928081417,0.3477488467693852,7,0.0636363636363636,10,110,1,1.0,True,216.448,81.65400000000001,288.0,63316.0,minimize,69.0,18.0,29574.0,0.0,990.0,222.0,495.0,1652.0,990.0,495.0,899.0,6633.0,7532.0,True,0,7532.0,0.08607400279497147
10-12-0.pt,10.0,12.0,2.0,0.0,98.0,52.36065573770492,53.5,26.4649677423343,98.0,30.25,72.0,0.2909348471006088,-1.0,11.0,5.39344262295082,5.0,3.5217296817935795,12.0,2.0,8.0,0.3715846994535521,28.87704849243164,30.131019592285156,130.0,1080.0,122.0,1210.0,0.07316081831730117,0.0,9.0,8.852459016393443,9.0,1.1428475447825168,9.0,9.0,9.0,0.016393442622950838,0.0,1.0,0.9836065573770492,1.0,0.12698306053139075,1.0,1.0,1.0,0.016393442622950838,0.01761278959490584,2.0,10.0,2.1311475409836067,2.0,1.015864484251126,8.0,2.0,2.0,0.060529634300126256,0.04347107438016529,0.44628099173553715,0.06271959535744931,0.05669421487603306,0.05084118685518293,0.40280991735537186,0.045674931129476584,0.06550964187327823,0.199407909647201,1.0,0.0,809.0,5579.0,53.74258804321289,25.750003814697266,809.0,631.0,532.3333333333334,120.0,2.3978952727983707,2.5649493574615367,4.795790545596741,OPTIMAL_SOLUTION,optimal,True,False,8155.0,8155.0,0.0,0.0,929.0,7226.0,True,10.0,12.0,10,120,0.0,859.0,418.03333333333336,250.79094658477783,0.3455286659756,7,0.0583333333333333,10,120,1,1.0,True,293.27599999999995,88.976,418.0,66312.0,minimize,108.0,0.0,11807.0,0.0,1080.0,242.0,540.0,1862.0,1080.0,540.0,929.0,7226.0,8155.0,True,0,8155.0,0.05641871346611814
10-13-0.pt,10.0,13.0,2.0,0.0,98.0,52.54545454545455,53.5,25.94351779737049,98.0,31.75,71.25,0.28403411275383594,-1.0,12.0,5.893939393939394,6.0,3.810387667698011,13.0,3.0,9.0,0.36868686868686873,29.219696044921875,29.79737663269043,140.0,1170.0,132.0,1310.0,0.06766134628730049,0.0,9.0,8.863636363636363,9.0,1.0993987838588932,9.0,9.0,9.0,0.015151515151515138,0.0,1.0,0.9848484848484849,1.0,0.1221554204287659,1.0,1.0,1.0,0.015151515151515138,0.016192458940550544,2.0,10.0,2.121212121212121,2.0,0.9772433634301272,8.0,2.0,2.0,0.05627705627705626,0.043699354081033474,0.44656488549618323,0.06275734443673375,0.05215502055196712,0.04899138545510393,0.40286553141514975,0.04745742806811509,0.0671873165002936,0.19250144130350533,1.0,0.0,803.0,6133.0,53.865318298339844,25.263883590698242,803.0,675.0,533.5384615384615,130.0,2.3978952727983707,2.6390573296152584,4.875197323201151,OPTIMAL_SOLUTION,optimal,True,False,8773.0,8773.0,0.0,0.0,964.0,7809.0,True,10.0,13.0,10,130,0.0,944.0,448.7,282.79758050319583,0.3635350249174802,6,0.0461538461538461,10,130,1,1.0,True,298.942,92.267,420.0,69308.0,minimize,96.0,0.0,25400.0,0.0,1170.0,262.0,585.0,2082.0,1170.0,585.0,964.0,7809.0,8773.0,True,0,8773.0,0.05895822151144401
10-14-0.pt,10.0,14.0,2.0,0.0,99.0,53.32394366197183,56.5,26.29881090220745,99.0,31.25,72.0,0.2837920284517459,-1.0,13.0,6.394366197183099,6.0,4.099051327001478,14.0,3.0,10.0,0.3661971830985915,29.859155654907227,30.080078125,150.0,1260.0,142.0,1410.0,0.06293077614623914,0.0,9.0,8.873239436619718,9.0,1.0605549632122084,9.0,9.0,9.0,0.014084507042253502,0.0,1.0,0.9859154929577465,1.0,0.11783944035691205,1.0,1.0,1.0,0.014084507042253502,0.014983518130056937,2.0,10.0,2.112676056338028,2.0,0.9427155228552964,8.0,2.0,2.0,0.05258215962441315,0.04433637284701115,0.44680851063829785,0.06279092997702528,0.05406281661600809,0.04734376760487424,0.4024721377912867,0.04595744680851064,0.06865248226950353,0.18651777031901884,1.0,0.0,953.0,6619.0,54.59233474731445,25.665815353393555,953.0,699.0,540.8571428571429,140.0,2.3978952727983707,2.70805020110221,4.948759890378168,OPTIMAL_SOLUTION,optimal,True,False,9417.0,9417.0,0.0,0.0,1060.0,8357.0,True,10.0,14.0,10,140,0.0,1036.0,475.62142857142857,294.9974205179511,0.3576010117805064,6,0.0428571428571428,10,140,1,1.0,True,273.018,98.955,409.0,72304.0,minimize,91.0,0.0,55180.0,0.0,1260.0,282.0,630.0,2312.0,1260.0,630.0,1060.0,8357.0,9417.0,True,0,9417.0,0.06479072705694999
10-15-0.pt,10.0,15.0,2.0,0.0,99.0,54.26315789473684,60.5,26.277050433817436,99.0,32.0,74.0,0.27858906784419823,-1.0,14.0,6.894736842105263,7.0,4.387718947508702,15.0,3.0,11.0,0.3640350877192984,30.578947067260742,30.262344360351562,160.0,1350.0,152.0,1510.0,0.05881840362495643,0.0,9.0,8.881578947368421,9.0,1.025556399218414,9.0,9.0,9.0,0.013157894736842035,0.0,1.0,0.9868421052631579,1.0,0.11395071102426826,1.0,1.0,1.0,0.013157894736842035,0.013942140118508192,2.0,10.0,2.1052631578947367,2.0,0.9116056881941461,8.0,2.0,2.0,0.049342105263157965,0.044512141280353204,0.4470198675496689,0.06282095968397816,0.05581456953642383,0.04586445936288087,0.4025077262693157,0.04733774834437085,0.06994260485651213,0.18131467006706692,1.0,0.0,1019.0,7229.0,55.500606536865234,25.6740665435791,1019.0,717.0,549.8666666666667,150.0,2.3978952727983707,2.772588722239781,5.017279836814924,OPTIMAL_SOLUTION,optimal,True,False,10033.0,10033.0,0.0,0.0,1159.0,8874.0,True,10.0,15.0,10,150,0.0,1110.0,533.6,310.45660995808527,0.3352970181575878,8,0.0533333333333333,10,150,1,1.0,True,435.763,106.14,529.0,75300.0,minimize,83.0,0.0,68456.0,0.0,1350.0,302.0,675.0,2552.0,1350.0,703.0,1159.0,8874.0,10033.0,True,0,10033.0,0.07085715256186781
10-16-0.pt,10.0,16.0,2.0,0.0,99.0,53.641975308641975,56.5,26.460456703119505,99.0,30.25,74.0,0.28403017516941564,-1.0,15.0,7.395061728395062,7.0,4.676389375231943,16.0,3.0,11.0,0.36213991769547316,30.518518447875977,29.928354263305664,170.0,1440.0,162.0,1610.0,0.05521048999309869,0.0,9.0,8.88888888888889,9.0,0.9938079899999065,9.0,9.0,9.0,0.012345679012345734,0.0,1.0,0.9876543209876543,1.0,0.11042310999998962,1.0,1.0,1.0,0.012345679012345734,0.013035810137259412,2.0,10.0,2.0987654320987654,2.0,0.883384879999917,8.0,2.0,2.0,0.046477850399418985,0.04499999999999999,0.4472049689440994,0.06284794110881066,0.0574223602484472,0.0445270132109739,0.4022049689440994,0.04872670807453416,0.07108695652173913,0.1767257740903425,1.0,0.0,1001.0,7689.0,54.82441329956055,25.91790771484375,1001.0,789.0,543.125,160.0,2.3978952727983707,2.833213344056216,5.081404364984463,OPTIMAL_SOLUTION,optimal,True,False,10743.0,10743.0,0.0,0.0,1208.0,9535.0,True,10.0,16.0,10,160,0.0,1170.0,587.75,355.46812444999904,0.3489053860059548,9,0.05625,10,160,1,1.0,True,538.8530000000001,109.991,524.0,78296.0,minimize,94.0,0.0,25025.0,0.0,1440.0,322.0,720.0,2802.0,1440.0,720.0,1208.0,9535.0,10743.0,True,0,10743.0,0.0736901251698188
10-17-0.pt,10.0,17.0,2.0,0.0,99.0,54.04651162790697,59.0,26.27533416544267,99.0,31.0,74.0,0.27983278629468034,-1.0,16.0,7.895348837209302,8.0,4.965061815506528,17.0,4.0,12.0,0.36046511627906974,30.970930099487305,29.832948684692383,180.0,1530.0,172.0,1710.0,0.052019583843329255,0.0,9.0,8.895348837209303,9.0,0.9648360478562324,9.0,9.0,9.0,0.011627906976744207,0.0,1.0,0.9883720930232558,1.0,0.10720400531735916,1.0,1.0,1.0,0.011627906976744207,0.012239902080783354,2.0,10.0,2.0930232558139537,2.0,0.8576320425388733,8.0,2.0,2.0,0.043927648578811374,0.045139318885448906,0.4473684210526316,0.06287229702162382,0.05394564843481251,0.043310440242004075,0.40222910216718266,0.04734090127278981,0.06495356037151702,0.17266667317667306,1.0,0.0,1126.0,8170.0,55.191871643066406,25.745555877685547,1126.0,668.0,546.8235294117648,170.0,2.3978952727983707,2.8903717578961645,5.14166355650266,OPTIMAL_SOLUTION,optimal,True,False,11357.0,11357.0,0.0,0.0,1267.0,10090.0,True,10.0,17.0,10,170,0.0,1242.0,586.2470588235294,354.12300640853607,0.3482837874368305,7,0.0411764705882352,10,170,1,1.0,True,404.9380000000001,111.133,554.0,81292.0,minimize,88.0,22.0,82792.0,0.0,1530.0,342.0,765.0,3062.0,1530.0,765.0,1267.0,10090.0,11357.0,True,0,11357.0,0.10932852661010019
10-18-0.pt,10.0,18.0,2.0,0.0,99.0,53.6978021978022,56.5,26.027709148546165,99.0,31.0,73.75,0.2791189675974286,-1.0,17.0,8.395604395604396,8.0,5.253735710941333,18.0,4.0,13.0,0.35897435897435903,31.046703338623047,29.420978546142578,190.0,1620.0,182.0,1810.0,0.04917734199502155,0.0,9.0,8.901098901098901,9.0,0.9382582068631456,9.0,9.0,9.0,0.01098901098901095,0.0,1.0,0.989010989010989,1.0,0.10425091187368282,1.0,1.0,1.0,0.01098901098901095,0.011535425900066783,2.0,10.0,2.087912087912088,2.0,0.8340072949894626,8.0,2.0,2.0,0.04164256795835741,0.04552486187845303,0.44751381215469616,0.06289438002145185,0.05534683855125844,0.04219784381072939,0.40198895027624315,0.048471454880294654,0.06615101289134438,0.16903657511161208,1.0,0.0,1214.0,8559.0,54.80609130859375,25.526140213012695,1214.0,753.0,542.9444444444445,180.0,2.3978952727983707,2.9444389791664403,5.198497031265826,OPTIMAL_SOLUTION,optimal,True,False,12010.0,12010.0,0.0,0.0,1291.0,10719.0,True,10.0,18.0,10,180,0.0,1263.0,611.5444444444445,370.6240881153814,0.3496511564526972,4,0.0222222222222222,10,180,1,1.0,True,618.425,117.555,703.0,84288.0,minimize,122.0,0.0,9679.0,0.0,1620.0,362.0,810.0,3332.0,1620.0,810.0,1291.0,10719.0,12010.0,True,0,12010.0,0.07258527280981687
10-19-0.pt,10.0,19.0,2.0,0.0,99.0,52.828125,54.5,25.913651498474216,99.0,30.0,72.0,0.2825280776561834,-1.0,18.0,8.895833333333334,9.0,5.5424106643429285,19.0,4.0,14.0,0.35763888888888906,30.86197853088379,28.87264060974121,200.0,1710.0,192.0,1910.0,0.04662958115183246,0.0,9.0,8.90625,9.0,0.9137619698258403,9.0,9.0,9.0,0.01041666666666674,0.0,1.0,0.9895833333333334,1.0,0.1015291077584267,1.0,1.0,1.0,0.01041666666666674,0.010907504363001745,2.0,10.0,2.0833333333333335,2.0,0.8122328620674135,8.0,2.0,2.0,0.039583333333333304,0.0456379167814825,0.4476439790575916,0.06291448516579407,0.05666023697988426,0.041175448920558806,0.40200606227610913,0.04740148801322678,0.06724166437034995,0.16578232596053244,1.0,0.0,1227.0,8916.0,53.88853454589844,25.467735290527344,1227.0,657.0,533.8421052631579,190.0,2.3978952727983707,2.995732273553991,5.25227342804663,OPTIMAL_SOLUTION,optimal,True,False,12822.0,12822.0,0.0,0.0,1405.0,11417.0,True,10.0,19.0,10,190,0.0,1337.0,626.4736842105264,380.9910992773084,0.3508173525471243,7,0.0368421052631578,10,190,1,1.0,True,633.8979999999999,126.34600000000002,716.0,87284.0,minimize,84.0,0.0,102000.0,0.0,1710.0,382.0,855.0,3612.0,1710.0,855.0,1405.0,11417.0,12822.0,True,0,12822.0,0.08418759131225045
