,n_jobs,n_machines,seed,num_nodes,node_x_cols,node_x_col0_min,node_x_col0_max,node_x_col0_mean,node_x_col0_median,node_x_col0_std,node_x_col0_range,node_x_col0_q1,node_x_col0_q3,node_x_col0_gini,node_x_col1_min,node_x_col1_max,node_x_col1_mean,node_x_col1_median,node_x_col1_std,node_x_col1_range,node_x_col1_q1,node_x_col1_q3,node_x_col1_gini,node_x_overall_mean,node_x_overall_std,num_conjunctive_edges,num_disjunctive_edges,num_nodes_total,num_edges_total,disj_graph_density,deg_d_min,deg_d_max,deg_d_mean,deg_d_median,deg_d_std,deg_d_range,deg_d_q1,deg_d_q3,deg_d_gini,clustering_min,clustering_max,clustering_mean,clustering_median,clustering_std,clustering_range,clustering_q1,clustering_q3,clustering_gini,conj_graph_density,deg_c_min,deg_c_max,deg_c_mean,deg_c_median,deg_c_std,deg_c_range,deg_c_q1,deg_c_q3,deg_c_gini,betweenness_min,betweenness_max,betweenness_mean,betweenness_median,betweenness_std,betweenness_range,betweenness_q1,betweenness_q3,betweenness_gini,speed,rddd,makespan_min,makespan_range,energy_sum_min,energy_sum_range,operation_cost_mean,operation_cost_std,makespan_lb_job_sum,makespan_lb_machine_sum,makespan_lb_meanload,energy_min_mean,energy_avg_mean,energy_max_mean,num_op_nodes,sup_pred_complexity,complexity_supervised_0_1,n_jobs_shap,n_machines_shap,node_x_col0_max_shap,node_x_col0_mean_shap,node_x_col0_median_shap,node_x_col0_std_shap,node_x_col0_range_shap,node_x_col0_q1_shap,node_x_col0_q3_shap,node_x_col0_gini_shap,node_x_col1_max_shap,node_x_col1_mean_shap,node_x_col1_median_shap,node_x_col1_std_shap,node_x_col1_range_shap,node_x_col1_q1_shap,node_x_col1_q3_shap,node_x_col1_gini_shap,node_x_overall_mean_shap,node_x_overall_std_shap,num_conjunctive_edges_shap,num_disjunctive_edges_shap,num_nodes_total_shap,num_edges_total_shap,disj_graph_density_shap,deg_d_max_shap,deg_d_mean_shap,deg_d_median_shap,deg_d_std_shap,deg_d_range_shap,deg_d_q1_shap,deg_d_q3_shap,deg_d_gini_shap,clustering_max_shap,clustering_mean_shap,clustering_median_shap,clustering_std_shap,clustering_range_shap,clustering_q1_shap,clustering_q3_shap,clustering_gini_shap,conj_graph_density_shap,deg_c_max_shap,deg_c_mean_shap,deg_c_std_shap,deg_c_range_shap,deg_c_q3_shap,deg_c_gini_shap,betweenness_min_shap,betweenness_max_shap,betweenness_mean_shap,betweenness_median_shap,betweenness_std_shap,betweenness_range_shap,betweenness_q1_shap,betweenness_q3_shap,betweenness_gini_shap,makespan_min_shap,makespan_range_shap,operation_cost_mean_shap,operation_cost_std_shap,makespan_lb_job_sum_shap,makespan_lb_machine_sum_shap,makespan_lb_meanload_shap,num_op_nodes_shap
abz5.pt,10,10,0,102,2,0.0,99.0,76.20588235294117,78.5,17.829991386674987,99.0,66.0,91.5,0.12351831250961731,-1.0,9.0,4.392156862745098,4.0,2.9444426309178833,10.0,2.0,7.0,0.3790849673202614,40.29901885986328,38.112884521484375,110,900,102,1010,0.08736167734420501,0.0,9.0,8.823529411764707,9.0,1.2478354962115543,9.0,9.0,9.0,0.019607843137254832,0.0,1.0,0.9803921568627451,1.0,0.1386483884679505,1.0,1.0,1.0,0.019607843137254832,0.021355076684139003,2.0,10.0,2.156862745098039,2.0,1.1091871077436042,8.0,2.0,2.0,0.071301247771836,0.04229702970297031,0.44554455445544555,0.06262861580275676,0.05180198019801981,0.05533894512342877,0.4032475247524753,0.04546534653465347,0.06130693069306931,0.21713285438167795,1,0,859,6914,7773,0,77.7300033569336,14.345629692077637,859.0,868.0,777.3,77.73,77.73,77.73,100,0.0883228390008394,0.0883228390008394,-0.010573415056018817,-0.0006686519650081434,0.0001418312438062508,0.0024682582544678804,0.0001459887389830025,-1.7005434834634097e-05,5.6984345667766995e-05,0.000627763511805578,0.0018690990595614822,0.0009419253609263332,-0.00025293272521822736,-0.001345683704326493,-0.0001640252385374609,-0.0008707224595231875,-0.0004493570628765623,-0.0001550860795763243,-0.00029694864796529156,-0.0018021239894979114,0.001337459197690594,0.0008083778459934249,-0.007859429173933855,-0.008909381117169872,-0.005358573035496245,-0.009067983497744967,-0.0005045859022019817,-0.012891414170598796,-0.023793364020080393,-0.010169802525534328,0.00041488433477609315,-0.008514958826482618,-0.011144185780232685,-0.013343463331416503,-0.006072042456164207,-1.0573214808198104e-06,-0.006125666404017534,-1.6704315095431694e-06,-0.00433332342210238,-8.465181422047672e-08,-1.2794135567197563e-08,1.0943147751737927e-06,-0.005350341681254682,-0.00394306275917737,-0.011561663702038016,0.0001924125962647246,-0.00019789504380996503,-0.010640455668909041,-5.128926667535754e-09,-0.0003992147456397571,-0.011118611575352062,-0.0076129665661117,-0.03354484735993323,-0.015183028511160136,-0.0025581013000276387,-0.029577373668554608,-0.011266908763990977,-0.007861113033582183,-7.703167358130843e-05,-0.000797162145257481,-0.00784615382867756,0.0012229522006453677,-0.0005419402347286938,-0.0006924699594649601,-4.3726540103271075e-06,-0.015407034561632232,-0.005917832510342045
abz6.pt,10,10,0,102,2,0.0,98.0,58.294117647058826,59.0,24.362293363863415,98.0,38.0,80.0,0.23943596947692636,-1.0,9.0,4.392156862745098,4.0,2.9444426309178837,10.0,2.0,7.0,0.3790849673202614,31.343137741088867,32.05387496948242,110,900,102,1010,0.08736167734420501,0.0,9.0,8.823529411764707,9.0,1.2478354962115543,9.0,9.0,9.0,0.019607843137254832,0.0,1.0,0.9803921568627451,1.0,0.1386483884679505,1.0,1.0,1.0,0.019607843137254832,0.021355076684139003,2.0,10.0,2.156862745098039,2.0,1.1091871077436042,8.0,2.0,2.0,0.071301247771836,0.04229702970297031,0.44554455445544555,0.06262861580275676,0.05180198019801981,0.05533894512342877,0.4032475247524753,0.04546534653465347,0.06130693069306931,0.21713285438167795,1,0,742,5204,5946,0,59.459999084472656,23.15315055847168,742.0,688.0,594.6,59.46,59.46,59.46,100,0.05458499280387983,0.05458499280387983,-0.010750857516867206,-0.0006848935254073862,-0.00037537483235929676,0.0019864819924240245,4.4314424139507034e-05,0.00021049100814404014,-0.0002836823829943205,0.0002113762460818744,0.0014897423679367712,0.0007640770871129689,-0.0002834229054164819,-0.0014212621732017233,-5.981184938004805e-05,-0.0008274420255966923,-0.00048029187538650383,-0.00017328040465177356,-0.0003104265464307062,-0.0020374207904634103,0.0005947708354055366,0.0005726715377901871,-0.00794004546189299,-0.00900399326915761,-0.00550834618408344,-0.009200908414640751,-0.0005259450452540581,-0.013517399552873621,-0.024171877980976034,-0.010619056527034399,0.00017003501797013186,-0.008882029303837679,-0.011840725694704035,-0.014060183554173615,-0.006441007876131118,-1.6661227166336048e-06,-0.006332347915181079,-4.459679975923314e-06,-0.004245723720947477,-2.506401057885645e-07,-2.3445744793609403e-08,-2.101938424257607e-07,-0.005310762603438632,-0.003942846101516696,-0.012110335884476693,0.00019909412326820364,-0.000216280236455562,-0.01095534723262567,-5.065702840393549e-09,-0.0003156130116266168,-0.010285441232636135,-0.007909755533678718,-0.03449050238882628,-0.015338713487560392,-0.0023991939506575587,-0.0301733639488,-0.01065758054937565,-0.007519878394957522,-0.00015801175175920675,-0.000881713104874942,-0.007944718353946558,0.0008111246740150572,-0.0003428697100556341,-0.0009109148205077382,-0.004529239387760355,-0.034659092855572754,-0.006312985789304366
abz7.pt,20,15,0,302,2,0.0,40.0,24.39072847682119,24.0,8.353508609670435,40.0,18.0,31.0,0.19611226091600398,-1.0,14.0,6.947019867549669,7.0,4.354776747754595,15.0,3.0,11.0,0.35982339955849896,15.66887378692627,10.974668502807617,320,5700,302,6020,0.06270489098149655,0.0,19.0,18.874172185430464,19.0,1.541069705724516,19.0,19.0,19.0,0.0066225165562914245,0.0,1.0,0.9933774834437086,1.0,0.0811089318802377,1.0,1.0,1.0,0.0066225165562914245,0.007040549162834701,2.0,20.0,2.119205298013245,2.0,1.4599607738442781,18.0,2.0,2.0,0.0558774834437088,0.022016611295681065,0.47342192691029905,0.03239862709291325,0.02839534883720931,0.03660736516294184,0.451405315614618,0.023611295681063127,0.03636877076411961,0.20196955274908324,1,0,410,6956,7366,0,24.553333282470703,8.139644622802734,410.0,556.0,491.06666666666666,24.553333333333335,24.553333333333335,24.553333333333335,300,0.36688202526596964,0.36688202526596964,0.003842278264059147,0.0001637430894595412,-9.42080361138837e-05,0.00025716598635036386,0.0006266521290610109,0.0009512986463349948,-0.00013278003146911896,3.0244858361838493e-05,-0.0007942007214782567,0.0017589327921144148,5.642837541466743e-05,-9.642774871751715e-05,-0.00016001504268062014,-0.00018950971495501636,0.00028189762046442975,-0.0001261906067194712,-0.00021666351998233182,-0.0011334054614365009,-0.0022490463379583295,0.000833579994723154,-0.008026142748505338,-0.01200972311675301,-0.006470510245219736,-0.0121663681849615,0.00019166977925466326,0.005449983124412691,0.009370978302874061,0.004402203177748778,5.2137988139013626e-05,0.0037297244623667094,0.00429856997142214,0.00491096317176118,-0.008219800147166173,-1.4076285607182644e-07,-0.006900604224059716,-1.0347070532720315e-07,-0.005528376310384304,-3.03163673193576e-09,5.937853600914147e-09,-8.617570999416865e-08,-0.008035772513361478,-0.005632797468705402,0.005054969617247821,0.00039828646405576666,-0.0004395695516328352,0.0041719504938050505,-1.2089346365406243e-09,-9.880449132359736e-05,0.005203919834071428,0.0023928324865465814,0.01320539057444875,0.006288396136888718,-0.004707765762890611,0.012238179166472206,0.004817914460510524,0.002137015742167078,-0.00033088833225851117,-0.0010593150522170205,-0.012692151539637585,0.0006216324282229404,0.000394900417197393,-0.001049922556323183,-0.0038430662714291136,-0.026621684755674047,-0.007106121381118805
abz8.pt,20,15,0,302,2,0.0,40.0,25.119205298013245,25.0,9.038129057050051,40.0,17.0,33.0,0.20669305430184237,-1.0,14.0,6.947019867549669,7.0,4.354776747754595,15.0,3.0,11.0,0.35982339955849896,16.033113479614258,11.52748966217041,320,5700,302,6020,0.06270489098149655,0.0,19.0,18.874172185430464,19.0,1.541069705724516,19.0,19.0,19.0,0.0066225165562914245,0.0,1.0,0.9933774834437086,1.0,0.0811089318802377,1.0,1.0,1.0,0.0066225165562914245,0.007040549162834701,2.0,20.0,2.119205298013245,2.0,1.4599607738442781,18.0,2.0,2.0,0.0558774834437088,0.022016611295681065,0.47342192691029905,0.03239862709291325,0.02839534883720931,0.03660736516294184,0.451405315614618,0.023611295681063127,0.03636877076411961,0.20196955274908324,1,0,443,7143,7586,0,25.286666870117188,8.831637382507324,443.0,566.0,505.73333333333335,25.286666666666665,25.286666666666665,25.286666666666665,300,0.364429670193731,0.364429670193731,0.0037825730965781634,0.0001673703296879121,-9.466042719402183e-05,0.00033972666240624687,0.0006427949923249795,0.00099662622873144,-0.00013113187276388258,4.151520939694916e-05,-0.0008353145145294716,0.0017712737904680444,4.92284797606135e-05,-1.7221877472071674e-05,-0.00016619346884207714,-0.00014020194082647105,0.0002806133662014245,-0.0001254855752544365,-0.0002167665111026809,-0.0010983807579493178,-0.0023875085454216024,0.000801637094661685,-0.008047805111983582,-0.012080072401740761,-0.006512729023467973,-0.012203867995865578,0.00026587620953625024,0.005411327875698016,0.009199914848080516,0.004378457779589412,1.8764430403821848e-05,0.0037888077742392005,0.0042899487024071915,0.004926564345383471,-0.00835272377994799,-1.4076285607182644e-07,-0.006939099281860435,-1.036674028557236e-07,-0.005627859488634128,-3.0361539981143166e-09,6.003265766949452e-09,-8.617570999416865e-08,-0.008152773987907092,-0.005658947258597158,0.005084101257253444,0.00038111396161932397,-0.0004503508593703658,0.004109576973466191,-1.194482318616395e-09,-6.733723273309245e-05,0.005208952710435955,0.002366626316323201,0.013141526127802599,0.006238313045054035,-0.004769839483642634,0.012278242777497365,0.004777813748058596,0.002139211880520382,-0.0002825338799104083,-0.0016399030624999087,-0.012872966453036117,0.000630043352022817,0.0003132954591824846,-0.0017148568177873709,-0.003879456753934158,-0.026538553118291508,-0.0072676446122898804
abz9.pt,20,15,0,302,2,0.0,40.0,24.642384105960264,25.0,8.993628628392589,40.0,17.0,32.0,0.20963263809664512,-1.0,14.0,6.947019867549669,7.0,4.354776747754595,15.0,3.0,11.0,0.35982339955849896,15.79470157623291,11.3228178024292,320,5700,302,6020,0.06270489098149655,0.0,19.0,18.874172185430464,19.0,1.541069705724516,19.0,19.0,19.0,0.0066225165562914245,0.0,1.0,0.9933774834437086,1.0,0.0811089318802377,1.0,1.0,1.0,0.0066225165562914245,0.007040549162834701,2.0,20.0,2.119205298013245,2.0,1.4599607738442781,18.0,2.0,2.0,0.0558774834437088,0.022016611295681065,0.47342192691029905,0.03239862709291325,0.02839534883720931,0.03660736516294184,0.451405315614618,0.023611295681063127,0.03636877076411961,0.20196955274908324,1,0,467,6975,7442,0,24.80666732788086,8.794843673706055,467.0,563.0,496.1333333333333,24.80666666666667,24.80666666666667,24.80666666666667,300,0.3646877356174566,0.3646877356174566,0.0037831009426682488,0.0001671530822225843,-9.46750863364081e-05,0.0003396905549856627,0.0006369921195169012,0.0009964511300646053,-0.00013264412764772964,4.160940756702702e-05,-0.0008352845412157633,0.0017730246131655088,4.918877298805907e-05,-2.0463931814798963e-05,-0.00016645019377311762,-0.00014076060745009283,0.0002807461817947982,-0.00012624131405082208,-0.0002167718618095665,-0.0010983217235713359,-0.0023857461489527904,0.0008016752886969543,-0.008046552422074351,-0.01207936334896404,-0.006514203203008128,-0.012203986001938262,0.00026597021383420986,0.005460376760469762,0.009200556302665454,0.004394580306277621,1.8907952863022786e-05,0.0037879417152474606,0.004294785692880771,0.004931834097170795,-0.008352438547381786,-1.409209416898076e-07,-0.006934992417638789,-1.036674028557236e-07,-0.00562611064546617,-3.4312126165257954e-09,6.003265766949452e-09,-8.630936987284389e-08,-0.00815274837686882,-0.005659026289280721,0.005084160886467146,0.0003752637829370052,-0.0004497959735953444,0.004110607172298849,-1.2089346365406243e-09,-6.936830450005747e-05,0.005212302424600336,0.0023651765970428905,0.013142283768985099,0.00629620830031313,-0.004766765288459507,0.012287397102710292,0.004777975211402577,0.0021391321914772496,-0.00028145889426967383,-0.0016400839968612308,-0.012796453124558387,0.0006289307744476302,0.00031348732174871013,-0.0017138700551250824,-0.0038333745810025703,-0.02654508303087821,-0.007266757776099184
ft06.pt,6,6,0,38,2,0.0,10.0,5.184210526315789,5.0,3.016230334268734,10.0,3.0,8.0,0.33141864814320066,-1.0,5.0,2.3157894736842106,2.0,1.8368345649068578,6.0,1.0,4.0,0.42105263157894735,3.75,2.87971568107605,42,180,38,222,0.12802275960170698,0.0,5.0,4.7368421052631575,5.0,1.1164843913471805,5.0,5.0,5.0,0.05263157894736836,0.0,1.0,0.9473684210526315,1.0,0.22329687826943603,1.0,1.0,1.0,0.05263157894736836,0.059743954480796585,2.0,6.0,2.210526315789474,2.0,0.8931875130777441,4.0,2.0,2.0,0.09022556390977443,0.06556556556556557,0.40540540540540543,0.09862494073020388,0.07757757757757758,0.07376452551254298,0.33983983983983984,0.06556556556556557,0.10160160160160159,0.23658906882591135,1,0,47,150,197,0,5.472222328186035,2.8331971168518066,47.0,43.0,32.833333333333336,5.472222222222222,5.472222222222222,5.472222222222222,36,0.017005099082572778,0.017005099082572778,-0.01169906331894435,-0.0006477181849043684,-0.0006077418515313674,-0.000310796624856347,-8.753575051905153e-06,0.00028493093479014327,-0.0005093230917791112,-8.450746302206778e-06,-0.0006995111811349422,-0.000835314959482192,-0.00046754930943561894,-0.0013752316153549055,-0.00010921374891866797,-0.0006640725907332491,-0.0004389869113691501,-0.0003258282411690226,-0.0003182815863425858,-0.0017967800163139044,-0.0007441910050901136,0.0003801439115197941,-0.008298509561767623,-0.009828989943112336,-0.006311443870870226,-0.010849060830264672,-0.000414617627331048,-0.01542788024344159,-0.027806444489862227,-0.011925282674592655,-3.990927217795719e-05,-0.01023878280387828,-0.013134268956005167,-0.01567435240179283,-0.007297625437207555,7.793937100555389e-06,-0.006370543279070041,1.8970529391224226e-06,-0.003634806207795776,1.3098577724306947e-06,3.3121707136606728e-06,1.2803760840560865e-05,-0.004842095670363064,-0.005303015817531578,-0.013814473313657958,-8.656579277893572e-05,-0.0007317143211112201,-0.012157565023268212,-1.0797188886983669e-07,-0.0003734525510984315,-0.01048706042041959,-0.010301013286007278,-0.035792491928279525,-0.01466507123171115,-0.002135763688580918,-0.031587202297371254,-0.010312986618376646,-0.006827115631199151,0.00025601930109899325,-0.0005026708907211595,-0.009821763866471132,3.0284210276078935e-05,5.77140966066143e-05,-0.0007733715412280624,-0.006229412453269926,-0.036060887791063326,-0.00728632818393894
ft10.pt,10,10,0,102,2,0.0,99.0,50.088235294117645,48.0,27.796565925991107,99.0,28.25,74.0,0.3196953473109738,-1.0,9.0,4.392156862745098,4.0,2.9444426309178833,10.0,2.0,7.0,0.3790849673202614,27.240196228027344,30.210798263549805,110,900,102,1010,0.08736167734420501,0.0,9.0,8.823529411764707,9.0,1.2478354962115543,9.0,9.0,9.0,0.019607843137254832,0.0,1.0,0.9803921568627451,1.0,0.1386483884679505,1.0,1.0,1.0,0.019607843137254832,0.021355076684139003,2.0,10.0,2.156862745098039,2.0,1.1091871077436042,8.0,2.0,2.0,0.071301247771836,0.04229702970297031,0.44554455445544555,0.06262861580275676,0.05180198019801981,0.05533894512342877,0.4032475247524753,0.04546534653465347,0.06130693069306931,0.21713285438167795,1,0,655,4454,5109,0,51.09000015258789,27.146305084228516,655.0,631.0,510.9,51.09,51.09,51.09,100,0.04713527967608509,0.04713527967608509,-0.010797774123399651,-0.0006461520161456511,0.0004110152567699563,-0.0003808503391088877,2.3910470376960496e-05,0.0002566822918967642,0.0003040298088756816,-0.00010798964835976191,-0.0007748215735135081,-0.0007928430108298408,-0.000318826529458287,-0.0013772748491953733,-6.951008088505761e-05,-0.0008880404756794806,-0.0003920646532824753,-0.00015630566231956535,-0.00023861340620503804,-0.0019883342546119062,-0.0011039377993629707,-0.00017220987076928506,-0.008038869252993885,-0.008766090197829998,-0.0057338268850198205,-0.00918261555647465,-0.0005184771541065041,-0.01348836124700639,-0.024028693233840583,-0.01050873843128102,0.00017324600473187998,-0.00906988175748585,-0.011876948838191086,-0.014234998530776958,-0.0064420263531994055,-2.128433714910615e-06,-0.006418234087721487,-7.908635228161274e-07,-0.004313493298424421,-2.3616653702771508e-08,-5.195820928201799e-08,3.360812834821952e-07,-0.0054486027443789295,-0.003953559577412918,-0.012164863976708898,0.00010687071083727004,-0.00038312238966918826,-0.010726599266989427,-2.7542413302828793e-08,-0.0003943713293285127,-0.01029282125232851,-0.00813993019938273,-0.03353508601736069,-0.014674973137338836,-0.0024273038233871137,-0.029947712877068083,-0.010125172008401066,-0.0071620968113634735,-0.0001892262946133346,-0.0009484215828759245,-0.00862209738985991,7.130169868946424e-05,0.0005264924601009663,-0.0008805769280444453,-0.0054373660927033145,-0.03470384585964178,-0.0066313763137629675
ft20.pt,20,5,0,102,2,0.0,99.0,50.088235294117645,48.0,27.796565925991114,99.0,28.25,74.0,0.3196953473109738,-1.0,4.0,1.9411764705882353,2.0,1.460751414289347,5.0,1.0,3.0,0.41176470588235303,26.014705657958984,31.095439910888672,120,1900,102,2020,0.18443020772665503,0.0,19.0,18.627450980392158,19.0,2.63431938089106,19.0,19.0,19.0,0.019607843137254832,0.0,1.0,0.9803921568627451,1.0,0.1386483884679505,1.0,1.0,1.0,0.019607843137254832,0.023296447291788,2.0,20.0,2.3529411764705883,2.0,2.4956709924231086,18.0,2.0,2.0,0.1470588235294119,0.016643564356435648,0.4702970297029703,0.032527664531159,0.020207920792079212,0.06219096248835599,0.45365346534653467,0.020207920792079212,0.030900990099009904,0.35657485912896947,1,0,387,4722,5109,0,51.09000015258789,27.146305084228516,387.0,1119.0,1021.8,51.09,51.09,51.09,100,0.3895858794502471,0.3895858794502471,0.0035243466649429148,-0.00028258842437308036,0.00012165361375618018,-0.0003251621754324766,-0.00013745485394173353,0.00020995792998586884,9.059979096505997e-05,-0.00012423891222831948,-0.0013839042913735122,-0.0013819863024102672,0.00024584872160528904,-0.0009178891783925674,0.00021486217328584294,0.00037602257942941753,0.00023792419188083398,-6.894547002147202e-05,0.00019829284918600152,-0.001982952196587624,-0.0006504467013478403,0.00017238311102067865,-0.009716913329142419,-0.012345613057365262,-0.00728744505852204,-0.012313823648890958,0.0007187024445955684,0.004718544071051614,0.007848239106540242,0.00368160668352679,0.0002937135982816967,0.003088194771978339,0.003995904732062894,0.00455202504868377,-0.008591340726032074,-1.70573534465561e-07,-0.007859148927738662,-6.194752789855265e-08,-0.006368894340037384,-2.929740896620868e-08,8.525562304924717e-09,-7.578372871291043e-08,-0.0084774891720483,-0.005826110776834454,0.004257528374414227,0.0005941018903678802,0.0006384937505457895,0.003644925792568376,-4.649039172367254e-09,0.0003707992892825202,0.006319319319708801,-0.0008923792078850732,0.011011369176056695,0.006455052208673375,-0.004783089643741503,0.010329736079393408,0.004400919699338995,0.002763509368591826,0.0011382981068844154,-0.0008384289659391871,-0.01203960728870219,-0.0003153363477644382,0.0004312106600688459,-0.0008812545556985085,-0.0001783325456679878,0.012077385676495692,-0.008044828498263951
la01.pt,10,5,0,52,2,0.0,98.0,54.78846153846154,54.5,27.21802042938969,98.0,34.0,77.5,0.28530253530253535,-1.0,4.0,1.8846153846153846,2.0,1.5019710915205104,5.0,1.0,3.0,0.42307692307692313,28.336538314819336,32.72983932495117,60,450,52,510,0.16968325791855204,0.0,9.0,8.653846153846153,9.0,1.7307692307692304,9.0,9.0,9.0,0.03846153846153855,0.0,1.0,0.9615384615384616,1.0,0.19230769230769226,1.0,1.0,1.0,0.03846153846153855,0.04524886877828054,2.0,10.0,2.3076923076923075,2.0,1.538461538461538,8.0,2.0,2.0,0.1282051282051282,0.03458823529411764,0.4411764705882353,0.06229260935143287,0.04086274509803921,0.07647296220221146,0.40658823529411764,0.04086274509803921,0.05968627450980391,0.31588750232818064,1,0,413,2436,2849,0,56.97999954223633,25.40825843811035,413.0,666.0,569.8,56.98,56.98,56.98,50,0.03472201298684366,0.03472201298684366,-0.011441867976349057,-0.00030175720318312564,-0.0005405618386575609,0.0012560372808491907,0.00012829297249902604,0.0001506345104752665,-0.00041533980662158623,0.00024044033525000085,0.0013388124005820486,-0.0002649307129671229,-1.4690478603346786e-06,-0.0010915139225676342,-4.530591773045246e-06,-0.0002760193774685722,-0.0001814763727669697,-0.0001744854306230957,-4.829106547648342e-05,-0.0017581747897038535,-0.0012001384340049575,0.00031283899750299103,-0.008590565532295253,-0.009931632459319627,-0.00631737057655168,-0.010792030386534033,0.0001230640842611921,-0.014447941325621565,-0.02697086170988805,-0.01144558889218035,0.00025243929435117947,-0.009568924853492117,-0.012788939294722551,-0.015565722007911807,-0.007432356046799766,-6.402289249913579e-07,-0.006477474099459023,-7.621523055449996e-07,-0.003974010505567101,3.3171589524391663e-07,9.140188062235857e-08,1.1383850122984669e-07,-0.005212534248719314,-0.005032145950943922,-0.013451202995331854,0.00014046548951635024,0.00011592354132042536,-0.011453353525960172,-3.61118593855784e-08,-0.00021571719970285458,-0.01055713894127154,-0.009748854323996723,-0.0346735430499972,-0.012453999119664601,-0.002471364934116651,-0.03065834695926846,-0.0103400572569646,-0.007458732633037547,0.0002105719980877398,-0.0007121914032853244,-0.010240559977909878,0.0006442326305326052,-0.0002987553409286677,-0.0007665675534431852,-0.005029906390088045,-0.03517110691093912,-0.007121132332771595
la02.pt,10,5,0,52,2,0.0,99.0,50.82692307692308,49.0,28.30922733087228,99.0,26.5,76.0,0.32001076864868017,-1.0,4.0,1.8846153846153846,2.0,1.5019710915205104,5.0,1.0,3.0,0.42307692307692313,26.355770111083984,31.633390426635742,60,450,52,510,0.16968325791855204,0.0,9.0,8.653846153846153,9.0,1.7307692307692304,9.0,9.0,9.0,0.03846153846153855,0.0,1.0,0.9615384615384616,1.0,0.19230769230769226,1.0,1.0,1.0,0.03846153846153855,0.04524886877828054,2.0,10.0,2.3076923076923075,2.0,1.538461538461538,8.0,2.0,2.0,0.1282051282051282,0.03458823529411764,0.4411764705882353,0.06229260935143287,0.04086274509803921,0.07647296220221146,0.40658823529411764,0.04086274509803921,0.05968627450980391,0.31588750232818064,1,0,394,2249,2643,0,52.86000061035156,26.944393157958984,394.0,635.0,528.6,52.86,52.86,52.86,50,0.03264437119639075,0.03264437119639075,-0.011604072851941566,-0.0002054667221389085,0.000488689837690098,-0.00039197443215237553,-3.0240576153742742e-05,1.8780742275037472e-05,0.00043195772911675787,-0.0001324689462848009,0.000302232706117195,-0.0010414477389189543,-6.350054889431887e-05,-0.001116768401811355,-6.0115521060341416e-05,-0.00026520902179522256,-0.00015964996112850308,-0.000257596009331991,-5.029963073375686e-06,-0.0018057532106892156,-0.0009739579378049764,0.00039591456428832915,-0.008683456645302517,-0.009751745756927,-0.006529244335276551,-0.010663529111141039,3.2450120357496514e-05,-0.014475870449925219,-0.027074472977295257,-0.01134479938698272,0.00012368715946504185,-0.009698436985843977,-0.012747556950926761,-0.015499222826585333,-0.007512969791536949,-2.7445617548857515e-07,-0.00645921034787005,-3.569240696360809e-07,-0.0039500300274107406,5.065224592471027e-07,1.3308162951185386e-07,-2.1962865311303475e-07,-0.005153986100471253,-0.005007196111059613,-0.01338213833328483,0.00010693878678500992,-2.090130507896786e-05,-0.011264568792471775,-3.4768829045151356e-08,-0.00022021674675388938,-0.010487161205090668,-0.009647652198179415,-0.03450333625762354,-0.011763438222659423,-0.002478293896430388,-0.030618724379511245,-0.010059728822862204,-0.007088274845919264,0.00012557446418104485,-0.0007219324562433999,-0.010338840951725596,-0.00015067616085532288,0.0005694438712639479,-0.0007314717933594689,-0.005940192770817488,-0.03545437430954498,-0.007294495812498421
