feature,easy_med,medium_med,hard_med,anova_p,spearman_r,increasing_order
start_time_std,472.7601872186617,720.8741205370468,951.7670141583637,2.449e-320,0.7751792477838539,True
start_time_max,1624.0,2505.5,3317.0,2.261440273553e-312,0.774236551249783,True
start_time_mean,787.8784722222222,1226.9503106725147,1623.8028293807643,2.541943718462386e-292,0.7727617275689951,True
maxTime,111252.0,162184.0,216112.0,0.0,0.7542655594123344,True
flatTime,194.423,601.7025,1719.66,0.0,0.670153509929864,True
start_time_flat_len,252.0,582.5,1250.0,0.0,0.6432103685672906,True
boolVariables_runtime,2169.0,7836.5,25873.5,2.767625626393066e-256,0.6187372173910696,True
totalTime,3219.0,47855.5,213422.5,0.0,0.6022702947369258,True
solveTime,3557.23,50869.7,210584.5,0.0,0.5959089179829006,True
start_time_len,16.0,28.0,39.0,7.0483690799972515e-168,0.5237445868769143,True
start_time_num_zero,8.0,12.0,18.0,2.6354900365067856e-181,0.5148952754718298,True
start_time_gini,0.3455754503967652,0.3400402771738201,0.3396834427693224,1.580675740397804e-18,-0.23267894739317005,False
start_time_zero_ratio,0.03125,0.0208333333333333,0.0152789568006036,5.70082636090706e-38,-0.7249772007290564,False
start_time_min,0.0,0.0,0.0,,,False
