exact_class_id,n_instances,signed_diff_m0,signed_diff_m1,signed_diff_m2,signed_diff_m3,abs_diff_m0,abs_diff_m1,abs_diff_m2,abs_diff_m3,mean_perm_matrix_json,std_perm_matrix_json
0,24,-5.217391304347826,0.5797101449275363,2.028985507246377,2.608695652173913,5.217391304347826,5.217391304347826,5.217391304347826,5.217391304347826,"[[1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5]]","[[1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895]]"
1,192,-4.033595113438046,-0.4341186736474695,2.026614310645724,2.4410994764397906,4.467713787085515,4.467713787085515,4.467713787085515,4.467713787085515,"[[1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5]]","[[1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895]]"
2,96,-5.052631578947368,1.0350877192982457,1.4912280701754386,2.526315789473684,5.052631578947368,3.6491228070175437,3.6491228070175437,5.052631578947368,"[[1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5]]","[[1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895]]"
3,192,-3.901614310645724,0.4788394415357766,1.1212914485165795,2.3014834205933683,4.467713787085515,3.630017452006981,3.630017452006981,4.467713787085515,"[[1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5]]","[[1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895]]"
4,192,-3.9103403141361257,0.4744764397905759,1.1343804537521816,2.3014834205933683,4.467713787085515,3.630017452006981,3.630017452006981,4.467713787085515,"[[1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5]]","[[1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895]]"
5,192,-3.7718150087260036,0.8922338568935427,0.7002617801047121,2.1793193717277486,4.467713787085515,4.467713787085515,4.467713787085515,4.467713787085515,"[[1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5]]","[[1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895]]"
6,96,-3.0,-1.4912280701754386,2.175438596491228,2.3157894736842106,3.6491228070175437,3.6491228070175437,3.6491228070175437,3.6491228070175437,"[[1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5]]","[[1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895]]"
7,192,-2.641797556719023,-0.20506108202443282,1.8302792321116927,1.0165794066317626,3.630017452006981,3.630017452006981,3.630017452006981,3.630017452006981,"[[1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5]]","[[1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895]]"
8,96,-2.745614035087719,-0.10526315789473684,0.7719298245614035,2.0789473684210527,3.6491228070175437,3.6491228070175437,3.6491228070175437,3.6491228070175437,"[[1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5]]","[[1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895]]"
9,192,-2.506544502617801,0.2399650959860384,1.37543630017452,0.8911431064572426,3.630017452006981,4.467713787085515,4.467713787085515,3.630017452006981,"[[1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5], [1.5, 1.5, 1.5, 1.5]]","[[1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895], [1.118033988749895, 1.118033988749895, 1.118033988749895, 1.118033988749895]]"
