perm_idx,exact_class_id
0,0
1,1
2,1
3,2
4,2
5,3
6,1
7,1
8,4
9,5
10,4
11,5
12,1
13,4
14,1
15,4
16,5
17,5
18,2
19,5
20,4
21,2
22,6
23,5
24,2
25,4
26,5
27,6
28,2
29,5
30,3
31,5
32,5
33,5
34,5
35,3
36,1
37,1
38,4
39,5
40,4
41,5
42,1
43,0
44,2
45,3
46,1
47,2
48,4
49,2
50,2
51,5
52,5
53,6
54,5
55,3
56,5
57,3
58,5
59,5
60,4
61,1
62,5
63,5
64,1
65,4
66,5
67,2
68,6
69,5
70,4
71,2
72,1
73,4
74,1
75,4
76,5
77,5
78,4
79,2
80,2
81,5
82,5
83,6
84,1
85,2
86,0
87,1
88,3
89,2
90,4
91,5
92,1
93,1
94,5
95,4
96,5
97,5
98,3
99,5
100,3
101,5
102,5
103,6
104,2
105,4
106,5
107,2
108,2
109,5
110,4
111,2
112,6
113,5
114,5
115,3
116,5
117,3
118,5
119,5
120,4
121,5
122,1
123,1
124,5
125,4
126,2
127,3
128,1
129,0
130,2
131,1
132,6
133,5
134,5
135,2
136,2
137,4
138,5
139,5
140,4
141,1
142,4
143,1
144,2
145,4
146,5
147,6
148,2
149,5
150,4
151,1
152,5
153,5
154,1
155,4
156,5
157,5
158,3
159,5
160,3
161,5
162,6
163,5
164,5
165,2
166,2
167,4
168,2
169,1
170,3
171,2
172,0
173,1
174,5
175,4
176,5
177,4
178,1
179,1
180,3
181,5
182,5
183,5
184,5
185,3
186,5
187,2
188,6
189,5
190,4
191,2
192,5
193,6
194,2
195,4
196,5
197,2
198,5
199,5
200,4
201,1
202,4
203,1
204,5
205,4
206,5
207,4
208,1
209,1
210,3
211,2
212,2
213,1
214,1
215,0
