,n_jobs,n_machines,node_x_col0_min,node_x_col0_max,node_x_col0_mean,node_x_col0_median,node_x_col0_std,node_x_col0_range,node_x_col0_q1,node_x_col0_q3,node_x_col0_gini,node_x_col1_min,node_x_col1_max,node_x_col1_mean,node_x_col1_median,node_x_col1_std,node_x_col1_range,node_x_col1_q1,node_x_col1_q3,node_x_col1_gini,node_x_overall_mean,node_x_overall_std,num_conjunctive_edges,num_disjunctive_edges,num_nodes_total,num_edges_total,disj_graph_density,deg_d_min,deg_d_max,deg_d_mean,deg_d_median,deg_d_std,deg_d_range,deg_d_q1,deg_d_q3,deg_d_gini,clustering_min,clustering_max,clustering_mean,clustering_median,clustering_std,clustering_range,clustering_q1,clustering_q3,clustering_gini,conj_graph_density,deg_c_min,deg_c_max,deg_c_mean,deg_c_median,deg_c_std,deg_c_range,deg_c_q1,deg_c_q3,deg_c_gini,betweenness_min,betweenness_max,betweenness_mean,betweenness_median,betweenness_std,betweenness_range,betweenness_q1,betweenness_q3,betweenness_gini,makespan_min,makespan_range,operation_cost_mean,operation_cost_std,makespan_lb_job_sum,makespan_lb_machine_sum,makespan_lb_meanload,num_op_nodes,jsplib_tag,predict_tag,tag_match,jsplib_optimum,jsplib_LB,jsplib_UB,jsplib_path,jsplib_solveby,complexity_supervised_0_1,n_jobs_shap,n_machines_shap,node_x_col0_max_shap,node_x_col0_mean_shap,node_x_col0_median_shap,node_x_col0_std_shap,node_x_col0_range_shap,node_x_col0_q1_shap,node_x_col0_q3_shap,node_x_col0_gini_shap,node_x_col1_max_shap,node_x_col1_mean_shap,node_x_col1_median_shap,node_x_col1_std_shap,node_x_col1_range_shap,node_x_col1_q1_shap,node_x_col1_q3_shap,node_x_col1_gini_shap,node_x_overall_mean_shap,node_x_overall_std_shap,num_conjunctive_edges_shap,num_disjunctive_edges_shap,num_nodes_total_shap,num_edges_total_shap,disj_graph_density_shap,deg_d_max_shap,deg_d_mean_shap,deg_d_median_shap,deg_d_std_shap,deg_d_range_shap,deg_d_q1_shap,deg_d_q3_shap,deg_d_gini_shap,clustering_max_shap,clustering_mean_shap,clustering_median_shap,clustering_std_shap,clustering_range_shap,clustering_q1_shap,clustering_q3_shap,clustering_gini_shap,conj_graph_density_shap,deg_c_max_shap,deg_c_mean_shap,deg_c_std_shap,deg_c_range_shap,deg_c_q3_shap,deg_c_gini_shap,betweenness_min_shap,betweenness_max_shap,betweenness_mean_shap,betweenness_median_shap,betweenness_std_shap,betweenness_range_shap,betweenness_q1_shap,betweenness_q3_shap,betweenness_gini_shap,makespan_min_shap,makespan_range_shap,operation_cost_mean_shap,operation_cost_std_shap,makespan_lb_job_sum_shap,makespan_lb_machine_sum_shap,makespan_lb_meanload_shap,num_op_nodes_shap
ft06.pt,6,6,0.0,10.0,5.184210526315789,5.0,3.016230334268734,10.0,3.0,8.0,0.3314186481432006,-1.0,5.0,2.3157894736842106,2.0,1.8368345649068576,6.0,1.0,4.0,0.4210526315789473,3.75,2.87971568107605,42,180,38,222,0.1280227596017069,0.0,5.0,4.7368421052631575,5.0,1.1164843913471805,5.0,5.0,5.0,0.0526315789473683,0.0,1.0,0.9473684210526316,1.0,0.223296878269436,1.0,1.0,1.0,0.0526315789473683,0.0597439544807965,2.0,6.0,2.210526315789474,2.0,0.8931875130777441,4.0,2.0,2.0,0.0902255639097744,0.0655655655655655,0.4054054054054054,0.0986249407302038,0.0775775775775775,0.0737645255125429,0.3398398398398398,0.0655655655655655,0.1016016016016015,0.2365890688259113,47,150,5.472222328186035,2.833197116851806,47.0,43.0,32.833333333333336,36,easy,easy,True,55.0,55,55,instances/ft06,CPO in < 1 min,0.015717029631558,-0.011386819876253,-0.0005843983082301,-0.0005279963997292,-0.0004308266558598,0.0001055502824214,0.000303618812287,-0.0005414076914024,-9.304734991248604e-05,-0.0006501988829862,-0.0008789519472704,-0.000480857871313,-0.0009735584249177,-0.0001521677370796,-0.0005039574629019,-0.0006174395408036,-0.0003175018900393,-0.0004106504142434,-0.0015378273545164,-0.0009341151097415,0.0004239953726766,-0.0083932641131049,-0.0102157276920159,-0.0064920035696908,-0.0101506429599194,-0.0006720815055446,-0.0154801538587129,-0.0282604159993348,-0.0115080478402749,-0.0001859739352919,-0.0105070714462138,-0.013372127102994,-0.0160030172878095,-0.0066593574399655,3.247298767909646e-06,-0.0066521992461112,-9.101762924644634e-07,-0.0038516456970618,7.569966479572127e-07,-2.5468250764248586e-07,7.137304286359655e-07,-0.0049340831160489,-0.0057759036191822,-0.0135887438104323,-0.0002440348888752,-0.0007484944465909,-0.0117033004015208,-1.64866822160302e-06,-0.0002704644772369,-0.0108470223523996,-0.0104517531723433,-0.0352632412697336,-0.0146618763650752,-0.0018830244647634,-0.0314883177468815,-0.0101798483073959,-0.0072942494974525,2.018913047397304e-05,-0.0006270129094841,-0.0102784605124327,-9.3833721550982e-05,-5.517813009218243e-06,-0.0007542664490184,-0.0061566515051802,-0.0361522645929407,-0.0071907567114613
la02.pt,10,5,0.0,99.0,50.82692307692308,49.0,28.30922733087228,99.0,26.5,76.0,0.3200107686486801,-1.0,4.0,1.8846153846153848,2.0,1.5019710915205104,5.0,1.0,3.0,0.4230769230769231,26.355770111083984,31.633390426635746,60,450,52,510,0.169683257918552,0.0,9.0,8.653846153846153,9.0,1.7307692307692304,9.0,9.0,9.0,0.0384615384615385,0.0,1.0,0.9615384615384616,1.0,0.1923076923076922,1.0,1.0,1.0,0.0384615384615385,0.0452488687782805,2.0,10.0,2.3076923076923075,2.0,1.538461538461538,8.0,2.0,2.0,0.1282051282051282,0.0345882352941176,0.4411764705882353,0.0622926093514328,0.0408627450980392,0.0764729622022114,0.4065882352941176,0.0408627450980392,0.0596862745098039,0.3158875023281806,394,2249,52.86000061035156,26.944393157958984,394.0,635.0,528.6,50,easy,easy,True,655.0,655,655,instances/la02,CPO in < 1 min,0.0329241454321542,-0.0111084155305432,-0.0001631802014502,0.0004240148764782,-0.0004982400368778,1.1353235585391243e-05,-2.0273534278475093e-05,0.0005122985822489,-0.0001009453583991,0.0002489702463511,-0.001043306980097,-7.491953836321446e-05,-0.0007641764968761,-8.608264310024716e-05,-0.0001303987459462,-0.0002291438711458,-0.0002077428968113,-0.0001014037066912,-0.0016073161033649,-0.0011645772024607,0.0002853436602817,-0.0086391809298456,-0.0100086576592603,-0.0064696602493403,-0.0098063501594562,-0.0002400534981298,-0.0145388634982433,-0.0274570700529307,-0.0110095882043663,1.2742585832076986e-05,-0.0100450901542569,-0.0128752455205817,-0.0153756097588012,-0.0066924226381734,5.097894209518438e-07,-0.0068686712103862,-6.038611939183624e-07,-0.0042945620084779,1.8251521366599146e-07,1.3532035841367908e-07,-8.647468610286675e-07,-0.0053788025937937,-0.005663237974873,-0.0132211053523654,9.75476127927958e-05,0.0001142542876232,-0.0109419838179163,-2.268925307748602e-08,5.269719859298574e-05,-0.0107063716807879,-0.0093311271234826,-0.0340199076746738,-0.0126525855159718,-0.0020267894317592,-0.0301883163829286,-0.0103308038305634,-0.0075797385099703,2.628183653583996e-05,-0.0006199552398579,-0.0102472652350713,-0.0002907051355405,0.0008272022677796,-0.0009288421566772,-0.0063175307343198,-0.0355575915297683,-0.0069444352737915
la04.pt,10,5,0.0,98.0,48.21153846153846,52.5,32.83486452541516,98.0,14.75,77.0,0.3872771624067994,-1.0,4.0,1.8846153846153848,2.0,1.5019710915205104,5.0,1.0,3.0,0.4230769230769231,25.048076629638672,32.81368637084961,60,450,52,510,0.169683257918552,0.0,9.0,8.653846153846153,9.0,1.7307692307692304,9.0,9.0,9.0,0.0384615384615385,0.0,1.0,0.9615384615384616,1.0,0.1923076923076922,1.0,1.0,1.0,0.0384615384615385,0.0452488687782805,2.0,10.0,2.3076923076923075,2.0,1.538461538461538,8.0,2.0,2.0,0.1282051282051282,0.0345882352941176,0.4411764705882353,0.0622926093514328,0.0408627450980392,0.0764729622022114,0.4065882352941176,0.0408627450980392,0.0596862745098039,0.3158875023281806,369,2138,50.13999938964844,32.00875473022461,369.0,537.0,501.4,50,easy,easy,True,590.0,590,590,instances/la04,CPO in < 1 min,0.0312067319168323,-0.011185147611966,-0.0001420331862176,-0.0004465833124552,-0.0004415832774435,9.417318863164405e-06,-9.584090126430551e-05,-0.0005218532936984,-0.0001318883492163,0.0011295601591178,-0.001080808948951,-6.840134955705664e-05,-0.0008231527575694,-7.293094727796226e-05,-0.0001128049969395,-0.000228951857727,-0.0001899793734359,-0.0001147058677086,-0.0016191417792247,-0.00105017554959,-2.209571129014368e-05,-0.0084175937412194,-0.0099915847949582,-0.0063253825915647,-0.0097548126186446,-0.0002549053563034,-0.0145530866119986,-0.0274444860166284,-0.0111574820146834,6.925892385666777e-05,-0.0100122420245231,-0.0129709410915901,-0.0154687655501571,-0.0065653333944854,6.141557467230675e-07,-0.0067020940903925,-1.1205738366237875e-06,-0.0041946280197782,3.048745347473428e-07,1.1155639600994489e-07,-7.433432416935302e-07,-0.0052651278036137,-0.0056424143202413,-0.013306635208336,0.0001068379312327,9.072647632964822e-05,-0.0110208562285456,-1.909275414962995e-08,6.000345791359806e-05,-0.0108505521665758,-0.0094267926014971,-0.0344398307945781,-0.0125327625578741,-0.0021023865511525,-0.0303631682185215,-0.0102909365619265,-0.0076388114618115,1.2891638179623476e-05,-0.0006285139955535,-0.0102727560712658,-7.445672358606553e-05,0.0010053900497448,-0.0009539377410263,-0.006660014579972,-0.0357840455683733,-0.0067414317694744
la01.pt,10,5,0.0,98.0,54.78846153846154,54.5,27.21802042938969,98.0,34.0,77.5,0.2853025353025353,-1.0,4.0,1.8846153846153848,2.0,1.5019710915205104,5.0,1.0,3.0,0.4230769230769231,28.336538314819336,32.72983932495117,60,450,52,510,0.169683257918552,0.0,9.0,8.653846153846153,9.0,1.7307692307692304,9.0,9.0,9.0,0.0384615384615385,0.0,1.0,0.9615384615384616,1.0,0.1923076923076922,1.0,1.0,1.0,0.0384615384615385,0.0452488687782805,2.0,10.0,2.3076923076923075,2.0,1.538461538461538,8.0,2.0,2.0,0.1282051282051282,0.0345882352941176,0.4411764705882353,0.0622926093514328,0.0408627450980392,0.0764729622022114,0.4065882352941176,0.0408627450980392,0.0596862745098039,0.3158875023281806,413,2436,56.97999954223633,25.40825843811035,413.0,666.0,569.8,50,easy,easy,True,666.0,666,666,instances/la01,CPO in < 1 min,0.0347328751513457,-0.011075830074006,-3.0825531399184974e-05,-0.0004632641266542,0.0010143687982234,9.212005136564232e-05,0.0003147143998009,-0.0004711925031296,0.0002605196848758,0.001175896963341,-0.0001761137812973,-7.782456343926803e-05,-0.0007369437430821,-3.387589989738572e-05,-0.0001100258265832,-0.0002648995196021,-0.0001545604049116,-0.0001272241904011,-0.0014767175779117,-0.0015540297397426,-3.1181604715198155e-05,-0.0085586739712198,-0.0102217417565791,-0.0064452935926201,-0.009826211995895,-4.16639709559059e-05,-0.0144282966161836,-0.027321731313629,-0.0111084224615104,0.0001464981563771,-0.0098748980615147,-0.0127383022927572,-0.0155429994956382,-0.0066614486611451,3.0484034390231624e-07,-0.0067111896276893,-8.600311039024726e-07,-0.0044098845975455,1.785338670946354e-07,-1.694053240113851e-07,-8.54867725953252e-07,-0.0053382883521908,-0.005745037652991,-0.0132277513374087,0.0001475607849761,0.0001632681940243,-0.0109727941861024,-1.7811049033791035e-08,0.000121191042001,-0.0110083792076551,-0.0094404518877618,-0.0344100060638142,-0.0128664518954589,-0.0020487430763902,-0.0305908735558686,-0.0104625952905232,-0.0078304262046627,7.896008248357e-05,-0.0006480219908899,-0.0102646202777625,0.0006709621529164,-0.0003125029050541,-0.0009380203251418,-0.005205902446626,-0.0354798131860133,-0.006866165371212
la05.pt,10,5,0.0,97.0,43.90384615384615,39.5,26.167551556037296,97.0,23.75,61.25,0.3402658445365409,-1.0,4.0,1.8846153846153848,2.0,1.5019710915205104,5.0,1.0,3.0,0.4230769230769231,22.894229888916016,28.01610946655273,60,450,52,510,0.169683257918552,0.0,9.0,8.653846153846153,9.0,1.7307692307692304,9.0,9.0,9.0,0.0384615384615385,0.0,1.0,0.9615384615384616,1.0,0.1923076923076922,1.0,1.0,1.0,0.0384615384615385,0.0452488687782805,2.0,10.0,2.3076923076923075,2.0,1.538461538461538,8.0,2.0,2.0,0.1282051282051282,0.0345882352941176,0.4411764705882353,0.0622926093514328,0.0408627450980392,0.0764729622022114,0.4065882352941176,0.0408627450980392,0.0596862745098039,0.3158875023281806,380,1903,45.65999984741211,25.138504028320312,380.0,593.0,456.6,50,easy,easy,True,593.0,593,593,instances/la05,CPO in < 1 min,0.0336376939962295,-0.0108994616825513,-0.0001090622388027,-0.0004442152461465,-0.0004547808936362,8.697804576580874e-06,0.0001309588733065,-0.0004566347730047,-0.0001230355940365,-0.0006047912582192,-0.0009954590447043,-7.629848607837412e-05,-0.0006307159439633,-3.390194515759953e-05,-6.991847855241501e-05,-0.0002206092332607,-0.00020439939225,-9.474922441486227e-05,-0.0014246037875612,-0.000940947372008,0.0004321805065469,-0.0082517776012595,-0.0098465537303238,-0.0062190298551676,-0.0096350302806912,-0.000134638559914,-0.0144359077642365,-0.0272961302160792,-0.0111358434777363,6.096663666324593e-05,-0.0099390025679116,-0.0128630557551918,-0.0154551135699908,-0.0063340510561815,4.958304920975716e-07,-0.0065846806405084,-9.857927718044427e-07,-0.004123119670351,4.397846697246374e-07,-4.295026077949337e-08,-5.857950536060228e-07,-0.0051621184656812,-0.0056066892158404,-0.0132006870656721,0.0001034622836437,0.0001015701604183,-0.010963140900142,-2.3173699885105867e-08,7.738042284005047e-05,-0.0108315678616551,-0.0093995140158095,-0.0339059253159898,-0.0126066279002508,-0.0020051111741286,-0.0300663514003866,-0.01038324906446,-0.0076154210714838,3.942883308673604e-05,-0.0005882815496759,-0.0099432047622327,-0.0001345485482261,-0.0002716461859335,-0.0008953933783472,-0.0064116886180277,-0.0355699347568201,-0.0065979751347083
la03.pt,10,5,0.0,91.0,45.82692307692308,47.5,26.31519095784656,91.0,22.5,64.5,0.330183350011298,-1.0,4.0,1.8846153846153848,2.0,1.5019710915205104,5.0,1.0,3.0,0.4230769230769231,23.855770111083984,28.811527252197266,60,450,52,510,0.169683257918552,0.0,9.0,8.653846153846153,9.0,1.7307692307692304,9.0,9.0,9.0,0.0384615384615385,0.0,1.0,0.9615384615384616,1.0,0.1923076923076922,1.0,1.0,1.0,0.0384615384615385,0.0452488687782805,2.0,10.0,2.3076923076923075,2.0,1.538461538461538,8.0,2.0,2.0,0.1282051282051282,0.0345882352941176,0.4411764705882353,0.0622926093514328,0.0408627450980392,0.0764729622022114,0.4065882352941176,0.0408627450980392,0.0596862745098039,0.3158875023281806,349,2034,47.65999984741211,25.15600204467773,349.0,588.0,476.6,50,easy,easy,True,597.0,597,597,instances/la03,CPO in < 1 min,0.0336780565611141,-0.0108973626405495,-0.000115302096148,-0.0004432801524701,-0.0004492776951406,3.055270250156443e-06,0.0001958772984565,-0.0004692829476085,-0.0001140356145962,-0.0006004650748988,-0.0009972350423285,-8.053014642363361e-05,-0.0006520917724095,-3.143730110413751e-05,-8.978606567147283e-05,-0.0002129376741326,-0.0002026898941885,-0.0001025406544779,-0.0014350213036674,-0.0009256019252534,0.0003096823685917,-0.0082564052290856,-0.0098472470773754,-0.0062098960396757,-0.0096229153152679,-0.0001270386221982,-0.0144369207934221,-0.0272037771995741,-0.0111366336809137,5.12389939951661e-05,-0.0099253516330962,-0.0128136947363476,-0.0154462482843257,-0.0063569379596658,4.953317451039211e-07,-0.0065884251950024,-9.784490961163165e-07,-0.0041277609090419,5.939942007552021e-07,-4.81459383439885e-08,-5.18476559333168e-07,-0.0051627143651642,-0.0056100137865989,-0.0132050568988469,0.0001065391195246,9.635608156274213e-05,-0.0109615045553258,-2.3173699885105867e-08,8.062367255676282e-05,-0.010843552710394,-0.0093875895961813,-0.0339290494166112,-0.0125798134026711,-0.0020128859908148,-0.0300735459125722,-0.0103491306829161,-0.0076308896049273,4.257605779824933e-05,-0.0005903033814577,-0.0099698246500786,-0.000133338354334,-0.0002757191978917,-0.000903582192523,-0.0063545893837925,-0.0355656162351572,-0.0066309086850881
orb08.pt,10,10,0.0,97.0,44.70588235294117,43.5,28.31322985824413,97.0,19.25,64.5,0.3633685930512556,-1.0,9.0,4.392156862745098,4.0,2.944442630917884,10.0,2.0,7.0,0.3790849673202614,24.54901885986328,28.48602104187012,110,900,102,1010,0.087361677344205,0.0,9.0,8.823529411764707,9.0,1.2478354962115543,9.0,9.0,9.0,0.0196078431372548,0.0,1.0,0.9803921568627452,1.0,0.1386483884679505,1.0,1.0,1.0,0.0196078431372548,0.021355076684139,2.0,10.0,2.156862745098039,2.0,1.1091871077436042,8.0,2.0,2.0,0.071301247771836,0.0422970297029703,0.4455445544554455,0.0626286158027567,0.0518019801980198,0.0553389451234287,0.4032475247524753,0.0454653465346534,0.0613069306930693,0.2171328543816779,573,3987,45.59999847412109,27.8729248046875,573.0,585.0,456.0,100,easy,easy,True,899.0,899,899,instances/orb08,CPO in < 1 min,0.0480559116690105,-0.0103810069621899,-0.0004279735170359,-0.0003864829328639,-0.0002946843145755,0.0001097576585089,3.6544194081955633e-05,-0.0003341643687015,-0.0001198876925473,-0.0007059663310958,-0.0008227525126385,-0.0003640667993515,-0.0011936078814751,-0.0001010596277994,-0.0006722047582443,-0.0004443244780103,-9.101698596874844e-05,-0.0003959967603685,-0.0017895954569744,-0.0007655584134637,0.0006171165670909,-0.0074422846050752,-0.0090938304516756,-0.0054609435256452,-0.0089031159522732,-0.0008041435283622,-0.01389731761436,-0.0247775436182221,-0.0103003625752612,-0.0002421690231115,-0.0091091998435712,-0.0120677264463335,-0.0146599773130985,-0.0054889368145947,-2.039773917299094e-07,-0.006250685303205,-5.780070049305828e-06,-0.0041996958937657,8.296215177595193e-08,-1.443746968535112e-07,-1.5937810492516917e-06,-0.0053192441111458,-0.0044424347821727,-0.0124480244606986,-7.843133677883668e-05,-7.649833251173008e-05,-0.0106501346175837,-1.4898165217478345e-08,-0.0003176744483839,-0.0106037991393457,-0.0080242093590773,-0.0330195265094173,-0.0148324983462282,-0.0021259879158642,-0.0294030926999605,-0.0102737279341409,-0.0075978409861111,-0.0001825773201211,-0.0009184418403268,-0.008773067395595,-9.755940113155732e-05,0.0007214556422203,-0.0009973040376205,-0.0056462134232341,-0.0345342017971839,-0.0059508820543313
orb06.pt,10,10,0.0,99.0,55.03921568627451,54.5,27.35027747238087,99.0,36.5,79.25,0.2853300921366053,-1.0,9.0,4.392156862745098,4.0,2.944442630917884,10.0,2.0,7.0,0.3790849673202614,29.715686798095703,31.93172073364257,110,900,102,1010,0.087361677344205,0.0,9.0,8.823529411764707,9.0,1.2478354962115543,9.0,9.0,9.0,0.0196078431372548,0.0,1.0,0.9803921568627452,1.0,0.1386483884679505,1.0,1.0,1.0,0.0196078431372548,0.021355076684139,2.0,10.0,2.156862745098039,2.0,1.1091871077436042,8.0,2.0,2.0,0.071301247771836,0.0422970297029703,0.4455445544554455,0.0626286158027567,0.0518019801980198,0.0553389451234287,0.4032475247524753,0.0454653465346534,0.0613069306930693,0.2171328543816779,715,4899,56.13999938964844,26.48019027709961,715.0,659.0,561.4,100,easy,easy,True,1010.0,1010,1010,instances/orb06,CPO in < 1 min,0.0489450308283425,-0.0104088082716589,-0.0004465170660133,0.0003238562301394,0.0011663644602293,0.0001491853901814,0.0002463357777544,0.000338716647783,0.0003325956442307,0.0013038525319442,-0.0002873945394034,-0.000358645526787,-0.001306865680236,-9.100517516745515e-05,-0.0006146081607674,-0.0004763247818214,-8.157387379570684e-05,-0.0003877327911439,-0.0019274424688278,-0.0002302919552372,0.0003551418064539,-0.0080695862125188,-0.0096388841742649,-0.0060020341695807,-0.0092095481765659,-0.0006594909610618,-0.013725702027527,-0.0247624744380885,-0.0103538987019511,-0.0001450168066308,-0.0092871173536771,-0.0116489518649763,-0.0145040553876107,-0.0059168000670705,-2.9588859901236894e-07,-0.0065792337053173,-1.0736089099074323e-06,-0.0045875612297799,-1.0024851679799382e-08,-3.925518473645048e-08,-2.66265710990474e-06,-0.005677320416699,-0.0046678221805203,-0.0122654019098773,0.0001526776279322,-4.471732568381086e-05,-0.0106331416940716,-1.2785722034399778e-08,-0.0002810448411458,-0.0109364520813858,-0.0078331926323295,-0.0338571543185783,-0.0155377732316468,-0.0021975986545875,-0.0299675879118153,-0.0104543612499927,-0.0078585122921615,-8.66794752103109e-05,-0.0008845831819108,-0.0093374493344573,0.0007824948175457,0.0004219410138195,-0.0009629797752285,-0.0050439331500209,-0.034695519187566,-0.0065735927840588
orb10.pt,10,10,0.0,99.0,54.40196078431372,60.0,28.69763254699564,99.0,28.25,78.0,0.3025788076989673,-1.0,9.0,4.392156862745098,4.0,2.944442630917884,10.0,2.0,7.0,0.3790849673202614,29.39705848693848,32.27006530761719,110,900,102,1010,0.087361677344205,0.0,9.0,8.823529411764707,9.0,1.2478354962115543,9.0,9.0,9.0,0.0196078431372548,0.0,1.0,0.9803921568627452,1.0,0.1386483884679505,1.0,1.0,1.0,0.0196078431372548,0.021355076684139,2.0,10.0,2.156862745098039,2.0,1.1091871077436042,8.0,2.0,2.0,0.071301247771836,0.0422970297029703,0.4455445544554455,0.0626286158027567,0.0518019801980198,0.0553389451234287,0.4032475247524753,0.0454653465346534,0.0613069306930693,0.2171328543816779,681,4868,55.4900016784668,27.92221069335937,681.0,652.0,554.9,100,easy,easy,True,944.0,944,944,instances/orb10,CPO in < 1 min,0.0467662360069529,-0.0105192784082431,-0.000451930338644,0.0003483878454802,0.0010566276143388,-0.0001120805316983,9.790692579116848e-05,0.0003521449395,-7.64303837553907e-05,0.0012640358721636,-0.0009061674927089,-0.0003643181372176,-0.0013200946309459,-0.0001103333032241,-0.00062467579832,-0.0004833646388925,-0.0001028512529224,-0.0003513617621932,-0.0019219318939165,-0.0005247459244397,0.0003433156158491,-0.0079880151928231,-0.0097171077751993,-0.0058718955053924,-0.009143708619442,-0.0007206318623396,-0.0138280528727447,-0.0247321505194041,-0.0102414638949114,-0.0001562435026844,-0.0092723758451106,-0.0117768215719775,-0.0145436852047127,-0.0060091478331192,-3.401724688237055e-07,-0.0065834249612337,-2.0894803446922173e-06,-0.0044437273516472,-1.1413038653771637e-07,-6.889770210904214e-08,-2.828229674806134e-06,-0.0056730432787257,-0.0047263786063289,-0.0122954649924629,0.000122675209587,-5.47464293889542e-05,-0.0105485874626857,-1.3890115429559841e-08,-0.0002891222767567,-0.0108831714247131,-0.0079917919259885,-0.0338251305033334,-0.015388533364332,-0.0021517673077163,-0.0300878987215165,-0.0105415708370153,-0.0078382293575623,-0.0001267908302723,-0.0008931734980289,-0.0093540485145713,0.0008618038552129,0.0007479181194974,-0.0009806034800328,-0.0056349960553972,-0.0346400099690906,-0.0064803956411269
orb07.pt,10,10,0.0,59.0,23.59803921568628,21.5,11.82242784189836,59.0,15.0,29.0,0.2751166939563527,-1.0,9.0,4.392156862745098,4.0,2.944442630917884,10.0,2.0,7.0,0.3790849673202614,13.995098114013672,12.90101718902588,110,900,102,1010,0.087361677344205,0.0,9.0,8.823529411764707,9.0,1.2478354962115543,9.0,9.0,9.0,0.0196078431372548,0.0,1.0,0.9803921568627452,1.0,0.1386483884679505,1.0,1.0,1.0,0.0196078431372548,0.021355076684139,2.0,10.0,2.156862745098039,2.0,1.1091871077436042,8.0,2.0,2.0,0.071301247771836,0.0422970297029703,0.4455445544554455,0.0626286158027567,0.0518019801980198,0.0553389451234287,0.4032475247524753,0.0454653465346534,0.0613069306930693,0.2171328543816779,275,2132,24.06999969482422,11.454479217529297,275.0,286.0,240.7,100,easy,easy,True,397.0,397,397,instances/orb07,CPO in < 1 min,0.0485772770264743,-0.0102011840769032,-0.0004988506631166,-0.0003449641726221,-0.0003404934364475,0.0001174214992259,0.0003334645709049,-0.0002979826782795,-8.386579488444835e-05,-0.0007505055389851,0.0007573659558831,-0.0004125351283575,-0.0012032471847042,-0.0001143028150309,-0.0006976813920558,-0.0004676780466369,-0.0001148966696953,-0.000441402808344,-0.0018107428048205,-0.0007109351709344,0.0005594171584995,-0.0073302385337697,-0.0088928582639762,-0.0054061954071823,-0.0086465331021888,-0.0008095825327455,-0.0138875114251455,-0.0247311164396859,-0.0102165119667032,-0.000269152990759,-0.0090934905607921,-0.0118334545575302,-0.0146553690837048,-0.0053628846938968,-2.071384638438793e-07,-0.006165374973328,-5.947513240201576e-06,-0.0041505355962928,5.401521514005847e-07,-1.2125201496687096e-07,-5.66810948601252e-06,-0.0052115343752255,-0.0044146580013171,-0.012310371799466,-0.0001090042695126,-6.180374446663407e-05,-0.0107339481849891,-1.307136530775597e-08,-0.0003176912109828,-0.0108498962951071,-0.0078731748445903,-0.0332377569845838,-0.0150088555814563,-0.0020533092338349,-0.0297170900358242,-0.0104368777325478,-0.007605382267075,-0.0001743470352697,-0.0004712028438795,-0.0097545502140466,-8.857534604049716e-05,-0.000131451329839,-0.0007432513897632,-0.0061014773179987,-0.0346635703216491,-0.0060474626537683
