,n_jobs,n_machines,node_x_col0_min,node_x_col0_max,node_x_col0_mean,node_x_col0_median,node_x_col0_std,node_x_col0_range,node_x_col0_q1,node_x_col0_q3,node_x_col0_gini,node_x_col1_min,node_x_col1_max,node_x_col1_mean,node_x_col1_median,node_x_col1_std,node_x_col1_range,node_x_col1_q1,node_x_col1_q3,node_x_col1_gini,node_x_overall_mean,node_x_overall_std,num_conjunctive_edges,num_disjunctive_edges,num_nodes_total,num_edges_total,disj_graph_density,deg_d_min,deg_d_max,deg_d_mean,deg_d_median,deg_d_std,deg_d_range,deg_d_q1,deg_d_q3,deg_d_gini,clustering_min,clustering_max,clustering_mean,clustering_median,clustering_std,clustering_range,clustering_q1,clustering_q3,clustering_gini,conj_graph_density,deg_c_min,deg_c_max,deg_c_mean,deg_c_median,deg_c_std,deg_c_range,deg_c_q1,deg_c_q3,deg_c_gini,betweenness_min,betweenness_max,betweenness_mean,betweenness_median,betweenness_std,betweenness_range,betweenness_q1,betweenness_q3,betweenness_gini,makespan_min,makespan_range,operation_cost_mean,operation_cost_std,makespan_lb_job_sum,makespan_lb_machine_sum,makespan_lb_meanload,num_op_nodes,jsplib_tag,predict_tag,tag_match,jsplib_optimum,jsplib_LB,jsplib_UB,jsplib_path,jsplib_solveby,complexity_supervised_0_1,n_jobs_shap,n_machines_shap,node_x_col0_max_shap,node_x_col0_mean_shap,node_x_col0_median_shap,node_x_col0_std_shap,node_x_col0_range_shap,node_x_col0_q1_shap,node_x_col0_q3_shap,node_x_col0_gini_shap,node_x_col1_max_shap,node_x_col1_mean_shap,node_x_col1_median_shap,node_x_col1_std_shap,node_x_col1_range_shap,node_x_col1_q1_shap,node_x_col1_q3_shap,node_x_col1_gini_shap,node_x_overall_mean_shap,node_x_overall_std_shap,num_conjunctive_edges_shap,num_disjunctive_edges_shap,num_nodes_total_shap,num_edges_total_shap,disj_graph_density_shap,deg_d_max_shap,deg_d_mean_shap,deg_d_median_shap,deg_d_std_shap,deg_d_range_shap,deg_d_q1_shap,deg_d_q3_shap,deg_d_gini_shap,clustering_max_shap,clustering_mean_shap,clustering_median_shap,clustering_std_shap,clustering_range_shap,clustering_q1_shap,clustering_q3_shap,clustering_gini_shap,conj_graph_density_shap,deg_c_max_shap,deg_c_mean_shap,deg_c_std_shap,deg_c_range_shap,deg_c_q3_shap,deg_c_gini_shap,betweenness_min_shap,betweenness_max_shap,betweenness_mean_shap,betweenness_median_shap,betweenness_std_shap,betweenness_range_shap,betweenness_q1_shap,betweenness_q3_shap,betweenness_gini_shap,makespan_min_shap,makespan_range_shap,operation_cost_mean_shap,operation_cost_std_shap,makespan_lb_job_sum_shap,makespan_lb_machine_sum_shap,makespan_lb_meanload_shap,num_op_nodes_shap
la30.pt,20,10,0.0,99.0,52.87128712871287,55.0,28.13604269159577,99.0,30.0,78.75,0.3064374976823525,-1.0,9.0,4.445544554455446,4.0,2.9094426247356657,10.0,2.0,7.0,0.3729372937293729,28.658416748046875,31.405637741088867,220,3800,202,4020,0.0935914486971085,0.0,19.0,18.81188118811881,19.0,1.8811881188118813,19.0,19.0,19.0,0.0099009900990099,0.0,1.0,0.99009900990099,1.0,0.099009900990099,1.0,1.0,1.0,0.0099009900990099,0.0108369045859809,2.0,20.0,2.1782178217821784,2.0,1.7821782178217829,18.0,2.0,2.0,0.0810081008100809,0.0208233830845771,0.4726368159203979,0.0323900300477809,0.0261965174129353,0.0444982762410347,0.4518134328358208,0.0226144278606965,0.0315696517412935,0.242987959354068,726,9954,53.400001525878906,27.772647857666016,726.0,1355.0,1068.0,200,easy,easy,True,1355.0,1355,1355,instances/la30,CPO in < 1 min,0.30714258117005,0.0031921387757855,-0.0012876945609027,5.701197002639077e-05,-0.0005347139643253,0.000180742357688,0.0014045071027542,6.024272921611583e-05,-0.0003257588462602,0.0024406326285405,-0.0011421387636979,-0.0014054992565253,-0.0048533808900004,-0.0007317495291172,-0.0024914129603729,-0.0015303995505955,-0.0003054933102283,-0.0011198604874176,-0.005813602288124,-0.0047396372950926,-0.0002863658665163,-0.0129598297088703,-0.015410793475268,-0.010561441547405,-0.0143123646176676,-0.003242027054467,0.003889512502582,0.0073644501224192,0.0031171821809592,-0.0004746835132215,0.0027266025341944,0.0034504034081996,0.0041132976237683,-0.0097745593395306,-4.3454587305447054e-08,-0.0111511185902524,-1.1422480176187377e-07,-0.0095550036461165,-1.7822292093219006e-08,-8.394400751853915e-09,-1.373459762120285e-07,-0.0117486361181931,-0.0095447737585772,0.0037947315793957,-0.002416743268608,-0.0007126913176156,0.0027139539333367,-2.7292685360318204e-09,-0.0020143625334304,0.0040755751431853,0.0015628145272776,0.0090830802868107,0.0041654599160383,-0.0061273799559392,0.0090160028908218,0.0025214472748619,0.0018304615353591,-0.0022351362270406,-0.0029127885456185,-0.0160055964203184,-0.000181945711991,0.0027242905912988,-0.0033905407105566,0.0007485548651329,0.0102278919054514,-0.0108983059109976
la27.pt,20,10,0.0,99.0,53.62376237623762,53.5,26.71497947629349,99.0,33.0,77.0,0.2871570484227153,-1.0,9.0,4.445544554455446,4.0,2.909442624735666,10.0,2.0,7.0,0.3729372937293729,29.034652709960938,31.075742721557617,220,3800,202,4020,0.0935914486971085,0.0,19.0,18.81188118811881,19.0,1.8811881188118813,19.0,19.0,19.0,0.0099009900990099,0.0,1.0,0.99009900990099,1.0,0.099009900990099,1.0,1.0,1.0,0.0099009900990099,0.0108369045859809,2.0,20.0,2.1782178217821784,2.0,1.7821782178217829,18.0,2.0,2.0,0.0810081008100809,0.0208233830845771,0.4726368159203979,0.0323900300477809,0.0261965174129353,0.0444982762410347,0.4518134328358208,0.0226144278606965,0.0315696517412935,0.242987959354068,686,10146,54.15999984741211,26.301794052124023,686.0,1188.0,1083.2,200,easy,easy,True,1235.0,1235,1235,instances/la27,OptalCP in < 1 min,0.2997635868612006,0.0032208705486389,-0.0012932628537114,6.979540778718678e-05,-0.0011841471413599,0.001385320534074,-0.0004321062208705,6.07058825035001e-05,0.0005403784240732,0.0025256146714633,-0.0010801864872532,-0.0014876598089564,-0.0046662930882347,-0.000757472517584,-0.002513570838437,-0.0016049176810021,-0.0003395582350054,-0.0012573316024513,-0.0057683586552879,-0.0051410017099752,-0.0004292256725235,-0.0129396211284947,-0.0156788004914473,-0.010597373956787,-0.0143461884331992,-0.0030709974339646,0.0038361692982523,0.007262378976563,0.0031360709376065,-0.0005923570915064,0.0027084053171899,0.0032545622056495,0.0039765081031242,-0.0099721797870239,-4.879857473481713e-08,-0.0114019315238126,-1.0262761593064057e-07,-0.0095314759324123,-1.223048838606971e-08,-1.132470923896638e-08,-1.4136040831922481e-07,-0.0119065895025127,-0.00956704712252,0.0034373559284447,-0.0026492517597956,-0.0008953496759025,0.0027608450877624,-2.5300080757452648e-09,-0.0020534949594992,0.004200624864693,0.0016790350423832,0.0091216416759231,0.004127639939763,-0.0062243053375622,0.0088612072503434,0.0025026720473684,0.001670535859073,-0.0022460848637506,-0.0028171710071718,-0.0159265896228827,-0.0009028079300025,-0.0009724288432198,-0.0035267377816523,0.0010059334033701,0.0101419106759471,-0.0108287459483544
la28.pt,20,10,0.0,99.0,52.881188118811885,54.5,27.468537223562432,99.0,30.25,74.0,0.2994238480204507,-1.0,9.0,4.445544554455446,4.0,2.909442624735666,10.0,2.0,7.0,0.3729372937293729,28.663366317749023,31.112625122070312,220,3800,202,4020,0.0935914486971085,0.0,19.0,18.81188118811881,19.0,1.8811881188118813,19.0,19.0,19.0,0.0099009900990099,0.0,1.0,0.99009900990099,1.0,0.099009900990099,1.0,1.0,1.0,0.0099009900990099,0.0108369045859809,2.0,20.0,2.1782178217821784,2.0,1.7821782178217829,18.0,2.0,2.0,0.0810081008100809,0.0208233830845771,0.4726368159203979,0.0323900300477809,0.0261965174129353,0.0444982762410347,0.4518134328358208,0.0226144278606965,0.0315696517412935,0.242987959354068,756,9926,53.40999984741211,27.089147567749023,756.0,1216.0,1068.2,200,easy,easy,True,1216.0,1216,1216,instances/la28,CPO in < 1 min,0.3049382600239682,0.0030954110011805,-0.0013633039828932,6.679026486757444e-05,-0.0004708853540889,0.0005819825991491,0.0014622101566979,6.252279260997171e-05,-0.0003848850883564,-0.0013889461964842,-0.00108105789025,-0.0013524646306334,-0.0048630103595501,-0.0007559117177113,-0.0024909783302426,-0.0015278747292121,-0.000306898494193,-0.0011063928834155,-0.0058527651076737,-0.004823504461285,-0.0002009551234918,-0.0129426217714262,-0.0153307716009801,-0.0105691909544314,-0.014230692934297,-0.0031818749994767,0.0039216883030239,0.0073470883839668,0.0031856380172865,-0.0005972304642162,0.0026786773183748,0.0033919724553385,0.0040931209488937,-0.0094854970909747,-4.766382331671869e-08,-0.0110458071338614,-1.1098308601698357e-07,-0.0094948591632555,-1.6716536762245384e-08,-9.991614164123156e-09,-1.3778569822467586e-07,-0.0117115675851818,-0.0095679413408516,0.003776304131013,-0.0024959651230053,-0.0007915610075617,0.0027499391585039,-2.7292685360318204e-09,-0.0020113959008784,0.0040484246034191,0.0015245005201152,0.0090626777985457,0.0041989532280946,-0.0061356526331289,0.0089954844649358,0.0025006118728095,0.0018679357383332,-0.0022677793869689,-0.0026523012393969,-0.015755430346575,-0.0002046657346419,0.0027017897121867,-0.0034433569678727,0.000890987151983,0.0103295223273212,-0.0105899956233256
swv04.pt,20,10,0.0,100.0,50.693069306930695,51.0,29.34338948419114,100.0,27.5,76.0,0.3339176593440593,-1.0,9.0,4.445544554455446,4.0,2.9094426247356657,10.0,2.0,7.0,0.3729372937293729,27.569307327270508,31.13612174987793,220,3800,202,4020,0.0935914486971085,0.0,19.0,18.81188118811881,19.0,1.8811881188118813,19.0,19.0,19.0,0.0099009900990099,0.0,1.0,0.99009900990099,1.0,0.099009900990099,1.0,1.0,1.0,0.0099009900990099,0.0108369045859809,2.0,20.0,2.1782178217821784,2.0,1.7821782178217829,18.0,2.0,2.0,0.0810081008100809,0.0208233830845771,0.4726368159203979,0.0323900300477809,0.0261965174129353,0.0444982762410347,0.4518134328358208,0.0226144278606965,0.0315696517412935,0.242987959354068,642,9598,51.20000076293945,29.046342849731445,642.0,1161.0,1024.0,200,medium,easy,False,1464.0,1464,1464,instances/swv04,OptalCP in < 1h,0.3139558729320101,0.0031891709966606,-0.0012358688314066,6.157807302476448e-05,0.0002460621681576,0.0008012069848712,0.0007217758719001,6.071045549281297e-05,3.169876284638708e-05,0.0006212445526662,-0.0012386918520819,-0.0012790891363221,-0.0046463449982824,-0.000727353588203,-0.0023034233422842,-0.0014993587580038,-0.0003566666430076,-0.0011268274744929,-0.0056041606831397,-0.0031620197915049,-0.0001337916365568,-0.0127861540770591,-0.0149081569102482,-0.010101535516061,-0.0141166789915936,-0.0032187536571259,0.0038831392088945,0.0074618569300718,0.003193916767327,-0.0008158302020421,0.0028715777528208,0.0035431441035668,0.0041834195398432,-0.0094055322156934,-4.1385778362236267e-08,-0.0109271897145726,-1.15573431225008e-07,-0.0094133410698839,-1.6897319987032582e-08,-6.618564869682424e-09,-1.3485547754343697e-07,-0.0112860956269998,-0.0093161412689109,0.0037992786204288,-0.00234465817293,-0.0008707863761541,0.0028945819344344,-2.5260385613466115e-09,-0.0019690903215545,0.0043393992937033,0.0016783154599228,0.0094266787193783,0.0041610811843113,-0.0060857242155343,0.0092604545163396,0.0024237904390345,0.0018946498548052,-0.0023252189578108,-0.0026346768495333,-0.015612858828725,-0.0001400395542167,0.0022736624606102,-0.0032776225756319,0.0010780607890074,0.0105174844004123,-0.0106724135114792
swv01.pt,20,10,0.0,100.0,48.21287128712871,49.0,29.13793133101181,100.0,23.0,74.0,0.3484169497142753,-1.0,9.0,4.445544554455446,4.0,2.909442624735666,10.0,2.0,7.0,0.3729372937293729,26.32920837402344,30.12700843811035,220,3800,202,4020,0.0935914486971085,0.0,19.0,18.81188118811881,19.0,1.8811881188118813,19.0,19.0,19.0,0.0099009900990099,0.0,1.0,0.99009900990099,1.0,0.099009900990099,1.0,1.0,1.0,0.0099009900990099,0.0108369045859809,2.0,20.0,2.1782178217821784,2.0,1.7821782178217829,18.0,2.0,2.0,0.0810081008100809,0.0208233830845771,0.4726368159203979,0.0323900300477809,0.0261965174129353,0.0444982762410347,0.4518134328358208,0.0226144278606965,0.0315696517412935,0.242987959354068,727,9012,48.69499969482422,28.879613876342773,727.0,1219.0,973.9,200,easy,easy,True,1407.0,1407,1407,instances/swv01,OptalCP in < 1 min,0.3101435834266063,0.0032330579759539,-0.001223539706019,6.917508638863155e-05,0.0001080194580115,0.0008501292548353,0.0007247970438116,5.343654898915247e-05,1.4498795091823591e-05,-0.0013253305909518,-0.0012733139244788,-0.0012129362263758,-0.0046369082674083,-0.0008052832096709,-0.0023092096057849,-0.0015000815871356,-0.0003787798747577,-0.0012288042047323,-0.0055289964699512,-0.0027738028937959,-0.0004211268506596,-0.0129351799902244,-0.0149794810845329,-0.0103917046794971,-0.0141579706838926,-0.0032302306024043,0.0039773599230874,0.0074781285782933,0.0031720381217623,-0.0007260521055107,0.0027864090760135,0.0034745237324104,0.0040921857328135,-0.0093376007210428,-4.096518870905394e-08,-0.0107897992883748,-1.168684700081609e-07,-0.0092549915320696,-1.1147168449067655e-08,-7.798346574357781e-09,-1.2987592115932128e-07,-0.0114081066742857,-0.0093568511665699,0.0037862147248017,-0.002420348229319,-0.0008906702950792,0.0028735034956082,-2.509161720217059e-09,-0.0020801684082616,0.0042761481383897,0.0016244586009059,0.0091737674332336,0.0041927450916591,-0.006091945461312,0.0092364351407809,0.0022720540862078,0.0019293594678318,-0.0021434368597343,-0.0026498349844789,-0.0154168359430458,-0.00027024121372,0.0022867975634376,-0.0032661556520471,0.0009036509783975,0.0096144686020895,-0.0105240973699525
la26.pt,20,10,0.0,99.0,52.05445544554456,50.0,26.179161937559524,99.0,30.25,75.0,0.2898796156363139,-1.0,9.0,4.445544554455446,4.0,2.909442624735666,10.0,2.0,7.0,0.3729372937293729,28.25,30.225135803222656,220,3800,202,4020,0.0935914486971085,0.0,19.0,18.81188118811881,19.0,1.8811881188118813,19.0,19.0,19.0,0.0099009900990099,0.0,1.0,0.99009900990099,1.0,0.099009900990099,1.0,1.0,1.0,0.0099009900990099,0.0108369045859809,2.0,20.0,2.1782178217821784,2.0,1.7821782178217829,18.0,2.0,2.0,0.0810081008100809,0.0208233830845771,0.4726368159203979,0.0323900300477809,0.0261965174129353,0.0444982762410347,0.4518134328358208,0.0226144278606965,0.0315696517412935,0.242987959354068,717,9798,52.57500076293945,25.78438186645508,717.0,1218.0,1051.5,200,easy,easy,True,1218.0,1218,1218,instances/la26,CPO in < 1 min,0.3021996030600732,0.0031704742919898,-0.0013612467963305,6.98988788174071e-05,3.550762040663408e-05,0.001278368172772,-0.0001853310885174,6.678381253762886e-05,-0.0003135730700595,-0.001091067447003,-0.0012228993578483,-0.001303558724478,-0.0045758531850805,-0.0007534341887958,-0.0027611890409834,-0.0015085183692032,-0.0004241155502922,-0.0012830192080522,-0.0054703586337232,-0.0038353293697351,-0.000475998078384,-0.0127469267356115,-0.0148739501947829,-0.0106462465616455,-0.0140898629517299,-0.0033009445349864,0.0037606473873787,0.0072813752358129,0.0032492114869736,-0.0007198497957194,0.0027869181668297,0.0033288067107582,0.0040797204818098,-0.0096370783637933,-5.3570016211113097e-08,-0.0110999065760717,-1.092875618461794e-07,-0.0093434610942078,-2.6559693107554013e-08,-1.1799850287402845e-08,-1.369469400235911e-07,-0.0115760376611771,-0.0098885737339225,0.0035198247751595,-0.0025984567660096,-0.0010799939821619,0.0028147788821764,-2.5280230497702475e-09,-0.0022100529092231,0.0042296027290187,0.0015606628583443,0.0089517173690352,0.0041725794258806,-0.0061985695327362,0.0089971612570614,0.0024979107630566,0.0019497233762602,-0.0020710296107807,-0.0028188664880357,-0.0153887078071353,-0.000363871343916,-0.0004444152489498,-0.0034101674344287,0.0009026387925094,0.0104425405514101,-0.0107547941354641
swv03.pt,20,10,0.0,100.0,48.98514851485149,51.5,27.94593041854469,100.0,25.0,68.0,0.3286953606932195,-1.0,9.0,4.445544554455446,4.0,2.909442624735666,10.0,2.0,7.0,0.3729372937293729,26.715347290039062,29.843994140625,220,3800,202,4020,0.0935914486971085,0.0,19.0,18.81188118811881,19.0,1.8811881188118813,19.0,19.0,19.0,0.0099009900990099,0.0,1.0,0.99009900990099,1.0,0.099009900990099,1.0,1.0,1.0,0.0099009900990099,0.0108369045859809,2.0,20.0,2.1782178217821784,2.0,1.7821782178217829,18.0,2.0,2.0,0.0810081008100809,0.0208233830845771,0.4726368159203979,0.0323900300477809,0.0261965174129353,0.0444982762410347,0.4518134328358208,0.0226144278606965,0.0315696517412935,0.242987959354068,647,9248,49.47499847412109,27.65048599243164,647.0,1178.0,989.5,200,medium,easy,False,1398.0,1398,1398,instances/swv03,CPO in < 1h,0.3111314026830383,0.0032527033925538,-0.0012138098077329,6.957932835538606e-05,0.000128081628702,0.0009380151297073,0.0006914194082585,5.9469955861861663e-05,2.1059820732182868e-05,-0.0010693916697152,-0.001379021013374,-0.0012186886826379,-0.0044586488645795,-0.0008041038168945,-0.0024500066507889,-0.001487181638278,-0.0003788753947044,-0.00120719135877,-0.005541430923532,-0.0029312048620392,-2.7975087577082785e-05,-0.0128412352048692,-0.0151527251925893,-0.0102927177668565,-0.0142689721680216,-0.0031995691173433,0.0040746160893375,0.0074750059007392,0.0032064968164377,-0.0007994202603357,0.0028325707347244,0.0035101099223359,0.0040714997629057,-0.0092565282781455,-6.105863220355445e-08,-0.0108752059371366,-1.1025058266538161e-07,-0.0092177139356056,-7.060890436839589e-09,-6.885314704951048e-09,-1.3930286899477117e-07,-0.0115186397074862,-0.0093745413377984,0.0037390530560313,-0.00240576918134,-0.0007530205702774,0.0029539606914192,-2.9475077673629673e-09,-0.002095856685782,0.004249693668079,0.0015381971062808,0.0092790802359259,0.0039518963969568,-0.0060875677179967,0.0092624803426049,0.0023283195690526,0.0019381253344949,-0.002095159347403,-0.0024836720564297,-0.0152884176158087,-0.0002815811447949,0.0022500585055325,-0.0032457580237275,0.0009880067120678,0.0097606195300009,-0.0106171341270258
la29.pt,20,10,0.0,99.0,49.15346534653465,46.0,27.66420307103984,99.0,26.25,74.0,0.3244625953178457,-1.0,9.0,4.445544554455446,4.0,2.909442624735666,10.0,2.0,7.0,0.3729372937293729,26.79950523376465,29.77559471130371,220,3800,202,4020,0.0935914486971085,0.0,19.0,18.81188118811881,19.0,1.8811881188118813,19.0,19.0,19.0,0.0099009900990099,0.0,1.0,0.99009900990099,1.0,0.099009900990099,1.0,1.0,1.0,0.0099009900990099,0.0108369045859809,2.0,20.0,2.1782178217821784,2.0,1.7821782178217829,18.0,2.0,2.0,0.0810081008100809,0.0208233830845771,0.4726368159203979,0.0323900300477809,0.0261965174129353,0.0444982762410347,0.4518134328358208,0.0226144278606965,0.0315696517412935,0.242987959354068,723,9206,49.64500045776367,27.359806060791016,723.0,1105.0,992.9,200,medium,easy,False,1152.0,1152,1152,instances/la29,OptalCP in 5 min,0.3113922282473489,0.0032617987833094,-0.0012011356751827,6.945287340993488e-05,0.0001480038557852,0.000922697807365,0.0007482807909741,5.952035824025455e-05,2.9436590189080567e-05,-0.0013352680835304,-0.0012860642422194,-0.0011984736352678,-0.0043972189977594,-0.0007473376669574,-0.0024931332606758,-0.0015102859949156,-0.0003748983680599,-0.0012179394852966,-0.0054043252370972,-0.0028315160732536,8.164869240978951e-05,-0.0126599746242789,-0.0149533375118427,-0.0102976917581133,-0.0141365524977575,-0.0031990627749509,0.0041696180016151,0.0074980682878755,0.0032075966234626,-0.000618054282366,0.0028435539319433,0.0035215944738646,0.0040918905023753,-0.0091733700140748,-5.539621081832092e-08,-0.0107874967086203,-1.1186245156427229e-07,-0.0092769112851141,-9.856671839448031e-09,-7.17049355739043e-09,-1.3747083887836305e-07,-0.0114296194149598,-0.0092228758386535,0.0038121840655634,-0.0023654007269692,-0.0009766069539416,0.0028641949801327,-2.463635313410497e-09,-0.0019500886691799,0.004399148268766,0.0016252987891597,0.0092015948585124,0.0039941731432043,-0.0059712158972958,0.0092381186302149,0.0023584312026149,0.0019398872648123,-0.0020619856546256,-0.0025953696349841,-0.0152487325554774,-0.0002521406628381,0.0022670591516891,-0.0032508266853356,-0.0010332399868445,0.0101032108577008,-0.0104861057562332
swv05.pt,20,10,0.0,100.0,49.98514851485149,52.5,29.272782905582265,100.0,25.25,75.75,0.337172496094811,-1.0,9.0,4.445544554455446,4.0,2.9094426247356657,10.0,2.0,7.0,0.3729372937293729,27.215347290039062,30.840625762939453,220,3800,202,4020,0.0935914486971085,0.0,19.0,18.81188118811881,19.0,1.8811881188118813,19.0,19.0,19.0,0.0099009900990099,0.0,1.0,0.99009900990099,1.0,0.099009900990099,1.0,1.0,1.0,0.0099009900990099,0.0108369045859809,2.0,20.0,2.1782178217821784,2.0,1.7821782178217829,18.0,2.0,2.0,0.0810081008100809,0.0208233830845771,0.4726368159203979,0.0323900300477809,0.0261965174129353,0.0444982762410347,0.4518134328358208,0.0226144278606965,0.0315696517412935,0.242987959354068,720,9377,50.48500061035156,28.986717224121094,720.0,1235.0,1009.7,200,medium,easy,False,1424.0,1424,1424,instances/swv05,OptalCP in < 1h,0.3123618146077354,0.0032147610374043,-0.0012636502566798,6.322633360080968e-05,0.0001272427719309,0.0011269364112836,0.0007828815502654,6.0858568883247705e-05,4.7688233165544775e-05,-0.000696340659012,-0.0012855066106636,-0.001293824627616,-0.0048146433488362,-0.0007591145078603,-0.002354301762559,-0.0014986735302642,-0.0003465785482988,-0.001191121412082,-0.0056837849109137,-0.0033271764257387,0.0001578834671908,-0.0127154123399591,-0.0149034179141841,-0.0101633034521147,-0.0139806236515427,-0.0032392407856901,0.0039416005277414,0.0074599815539069,0.0031779101699714,-0.0008612404430189,0.002869023917047,0.0035355913295384,0.0041907119872446,-0.0093543141196726,-4.1225677176361664e-08,-0.0108176449028943,-1.139031293530755e-07,-0.0092822107521037,-1.3823272858699947e-08,-6.710696570841694e-09,-1.338984176284367e-07,-0.0113134782572338,-0.0092964232667029,0.0038178929172281,-0.002315602957848,-0.0009023799477153,0.0028684597245142,-2.509161720217059e-09,-0.0019817577947262,0.0042736200054621,0.0016700247006174,0.0092607333683077,0.0041547299552568,-0.0060893288238269,0.0091968323750382,0.00233647402445,0.0018015673799706,-0.0022447590484631,-0.0028245320608154,-0.0152345721240896,-0.0001426994447954,0.0022052503644044,-0.0034633444296913,0.0007013501634379,0.0105965723167945,-0.0105170216560874
swv02.pt,20,10,0.0,100.0,49.50990099009901,51.0,28.235789398571704,100.0,25.0,68.75,0.3276994082769942,-1.0,9.0,4.445544554455446,4.0,2.9094426247356657,10.0,2.0,7.0,0.3729372937293729,26.97772216796875,30.17551040649414,220,3800,202,4020,0.0935914486971085,0.0,19.0,18.81188118811881,19.0,1.8811881188118813,19.0,19.0,19.0,0.0099009900990099,0.0,1.0,0.99009900990099,1.0,0.099009900990099,1.0,1.0,1.0,0.0099009900990099,0.0108369045859809,2.0,20.0,2.1782178217821784,2.0,1.7821782178217829,18.0,2.0,2.0,0.0810081008100809,0.0208233830845771,0.4726368159203979,0.0323900300477809,0.0261965174129353,0.0444982762410347,0.4518134328358208,0.0226144278606965,0.0315696517412935,0.242987959354068,664,9337,50.005001068115234,27.936983108520508,664.0,1259.0,1000.1,200,easy,easy,True,1475.0,1475,1475,instances/swv02,OptalCP in < 1 min,0.3114408783093906,0.0032537764047556,-0.0012680888483307,6.965157894044017e-05,0.0001226230493384,0.0008278392743681,0.0007127945883603,5.938254531817299e-05,2.991680333022699e-05,-0.0010626087578973,-0.0013428616888981,-0.0012372086483204,-0.0044800155597599,-0.0008172680186141,-0.0023645819665898,-0.0015005715970065,-0.000331511313807,-0.0012268576646003,-0.0055467582547887,-0.0029032242723534,-0.00043061117726,-0.0128907713243861,-0.0150012605122008,-0.0100833963709711,-0.0141800966200662,-0.0033113580144941,0.0039924997746447,0.0074496524767326,0.0032135056805687,-0.0007822945171603,0.0028304136020067,0.003493154521193,0.0040772348401552,-0.0092894293941487,-4.88130665705477e-08,-0.0108745285759357,-1.1263819343724437e-07,-0.0091845725550641,-1.1276314400792458e-08,-7.539953045359441e-09,-1.4078823830927014e-07,-0.0114479183911715,-0.0093654661481292,0.0037167945625496,-0.0024530910210439,-0.000753166545524,0.0029480637073842,-2.974213869699452e-09,-0.0021225879784785,0.0043076649425157,0.001533592095328,0.0091819836348072,0.0040962506258077,-0.0060720625421171,0.0093385889833232,0.0023590532118796,0.0019236589757521,-0.0020959930877702,-0.0024451600141613,-0.0150929441110675,-0.0002661920885172,0.0022062406429315,-0.0032570815272952,0.0007045429504281,0.0101816386286034,-0.0105881229508579
