,n_jobs,n_machines,node_x_col0_min,node_x_col0_max,node_x_col0_mean,node_x_col0_median,node_x_col0_std,node_x_col0_range,node_x_col0_q1,node_x_col0_q3,node_x_col0_gini,node_x_col1_min,node_x_col1_max,node_x_col1_mean,node_x_col1_median,node_x_col1_std,node_x_col1_range,node_x_col1_q1,node_x_col1_q3,node_x_col1_gini,node_x_overall_mean,node_x_overall_std,num_conjunctive_edges,num_disjunctive_edges,num_nodes_total,num_edges_total,disj_graph_density,deg_d_min,deg_d_max,deg_d_mean,deg_d_median,deg_d_std,deg_d_range,deg_d_q1,deg_d_q3,deg_d_gini,clustering_min,clustering_max,clustering_mean,clustering_median,clustering_std,clustering_range,clustering_q1,clustering_q3,clustering_gini,conj_graph_density,deg_c_min,deg_c_max,deg_c_mean,deg_c_median,deg_c_std,deg_c_range,deg_c_q1,deg_c_q3,deg_c_gini,betweenness_min,betweenness_max,betweenness_mean,betweenness_median,betweenness_std,betweenness_range,betweenness_q1,betweenness_q3,betweenness_gini,makespan_min,makespan_range,operation_cost_mean,operation_cost_std,makespan_lb_job_sum,makespan_lb_machine_sum,makespan_lb_meanload,num_op_nodes,jsplib_tag,predict_tag,tag_match,jsplib_optimum,jsplib_LB,jsplib_UB,jsplib_path,jsplib_solveby,complexity_supervised_0_1,n_jobs_shap,n_machines_shap,node_x_col0_max_shap,node_x_col0_mean_shap,node_x_col0_median_shap,node_x_col0_std_shap,node_x_col0_range_shap,node_x_col0_q1_shap,node_x_col0_q3_shap,node_x_col0_gini_shap,node_x_col1_max_shap,node_x_col1_mean_shap,node_x_col1_median_shap,node_x_col1_std_shap,node_x_col1_range_shap,node_x_col1_q1_shap,node_x_col1_q3_shap,node_x_col1_gini_shap,node_x_overall_mean_shap,node_x_overall_std_shap,num_conjunctive_edges_shap,num_disjunctive_edges_shap,num_nodes_total_shap,num_edges_total_shap,disj_graph_density_shap,deg_d_max_shap,deg_d_mean_shap,deg_d_median_shap,deg_d_std_shap,deg_d_range_shap,deg_d_q1_shap,deg_d_q3_shap,deg_d_gini_shap,clustering_max_shap,clustering_mean_shap,clustering_median_shap,clustering_std_shap,clustering_range_shap,clustering_q1_shap,clustering_q3_shap,clustering_gini_shap,conj_graph_density_shap,deg_c_max_shap,deg_c_mean_shap,deg_c_std_shap,deg_c_range_shap,deg_c_q3_shap,deg_c_gini_shap,betweenness_min_shap,betweenness_max_shap,betweenness_mean_shap,betweenness_median_shap,betweenness_std_shap,betweenness_range_shap,betweenness_q1_shap,betweenness_q3_shap,betweenness_gini_shap,makespan_min_shap,makespan_range_shap,operation_cost_mean_shap,operation_cost_std_shap,makespan_lb_job_sum_shap,makespan_lb_machine_sum_shap,makespan_lb_meanload_shap,num_op_nodes_shap
ta77.pt,100,20,0.0,99.0,50.807192807192806,52.0,28.77293704691064,99.0,26.0,76.0,0.3268679097064011,-1.0,19.0,9.48951048951049,9.0,5.77293799092739,20.0,4.0,14.0,0.3506493506493506,30.148351669311523,29.2812557220459,2100,198000,2002,200100,0.0494258365322833,0.0,99.0,98.9010989010989,99.0,3.1275273562104844,99.0,99.0,99.0,0.0009990009990008,0.0,1.0,0.999000999000999,1.0,0.0315911854162675,1.0,1.0,1.0,0.0009990009990008,0.0010484268355332,2.0,100.0,2.097902097902098,2.0,3.095936170794217,98.0,2.0,2.0,0.0466200466200465,0.0045319890054972,0.4947526236881558,0.0066362972359973,0.0060012543728135,0.0155035781851352,0.4902206346826586,0.0048258420789605,0.0072746176911544,0.1950049602833012,1244,100472,50.858001708984375,28.74240493774414,1244.0,5436.0,5085.8,2000,easy,hard,False,5436.0,5436,5436,instances/ta77,OptalCP in < 1 min,0.7256249761890792,0.0059261455806702,6.029452892015883e-06,6.41434218552187e-05,-0.0030111437689241,-0.0004306123971875,-0.0001823982379817,8.982851487013975e-05,-0.0005408317069681,0.0006151509192626,-0.0037943753445906,-0.0006976558440855,-0.0006751604944573,0.0001130641327062,0.0002250754209158,-0.0003804609887087,0.0002187899444225,-0.0004279081160591,-3.2435133806119136e-05,-0.0011711183534784,0.000682462320919,0.0167082627669307,0.0232883117576856,0.0110253808666044,0.0214994926457327,-0.0002783119377014,0.0078877538248787,0.0155257174245266,0.0059176452152163,0.0015492810240214,0.0053265103918126,0.0069216670927941,0.0084302674980083,0.0113589260834427,-5.2911796686632064e-08,0.0116354787795966,-1.0451476178066757e-07,0.0092589110057777,-9.916950302831593e-09,-6.962435681396521e-09,-1.1046927189891577e-07,0.0134094111547767,0.0103431681955396,0.0073915353491879,9.674517891461626e-05,0.0016323867038924,0.0059717577473687,-2.519289385776369e-09,0.0002886253911286,0.0075592929123468,0.0061892785538219,0.0182509676409805,0.0093147519075667,0.0061042146971172,0.0167897502002897,0.0070286856412361,0.0051552330198266,0.000453616460918,-0.0002744510464966,0.0187723303465267,-0.0028445716719358,0.0005134563996128,-0.0003855356066788,0.0047311530660879,0.0191517204218572,0.0124495107609703
ta71.pt,100,20,0.0,99.0,50.39510489510489,51.0,28.37141693175141,99.0,26.0,75.0,0.3249364892078314,-1.0,19.0,9.48951048951049,9.0,5.77293799092739,20.0,4.0,14.0,0.3506493506493506,29.94230842590332,28.93871116638184,2100,198000,2002,200100,0.0494258365322833,0.0,99.0,98.9010989010989,99.0,3.1275273562104844,99.0,99.0,99.0,0.0009990009990008,0.0,1.0,0.999000999000999,1.0,0.0315911854162675,1.0,1.0,1.0,0.0009990009990008,0.0010484268355332,2.0,100.0,2.097902097902098,2.0,3.095936170794217,98.0,2.0,2.0,0.0466200466200465,0.0045319890054972,0.4947526236881558,0.0066362972359973,0.0060012543728135,0.0155035781851352,0.4902206346826586,0.0048258420789605,0.0072746176911544,0.1950049602833012,1341,99550,50.445499420166016,28.340784072875977,1341.0,5464.0,5044.55,2000,easy,hard,False,5464.0,5464,5464,instances/ta71,OptalCP in < 1 min,0.7244326111630428,0.005896740285811,1.3797140097217666e-05,6.419373035683806e-05,-0.0030309862664211,-0.0007576615041897,-0.0001624682331262,8.917115983792824e-05,-0.0005631445040094,-0.0017135837046228,-0.0038352376112203,-0.0008015518197656,-0.0007390713487671,0.0001097357745413,0.0002109171606105,-0.0003398625594083,0.0002149546086179,-0.000390042173681,-5.985294180511976e-05,-0.0014314576688004,0.0006191016186008,0.0166862395734825,0.0234686052478424,0.0111952209169334,0.0215910857087899,-0.0003975816619726,0.0079075814879085,0.0154324729296592,0.0059442187272112,0.0015534609058207,0.0053432921616287,0.0068980459773028,0.0084191284397335,0.011413292090721,-5.205052633116363e-08,0.0116411570697185,-1.1057547338524681e-07,0.0094392579865553,-1.0025997455555385e-08,-7.551716536733582e-09,-1.0299438702130964e-07,0.0133998869433211,0.010320274536676,0.0074010066077977,8.962036310097366e-05,0.0016276928881602,0.0059782614795827,-2.519289385776369e-09,0.0002656440027226,0.0075253790353757,0.0061720669472808,0.0181688530886125,0.0093442550901545,0.0060766528235318,0.0167542425018696,0.0070759877311214,0.0051459889171578,0.0004553595610407,0.000498923849239,0.0185045195403953,-0.0029278474584972,0.0005611033952323,0.0006892429463343,0.0047008889439401,0.0192666990263418,0.0125286791188149
ta74.pt,100,20,0.0,99.0,49.97452547452547,50.0,28.429555233749465,99.0,25.0,75.0,0.3283901327909764,-1.0,19.0,9.48951048951049,9.0,5.77293799092739,20.0,4.0,14.0,0.3506493506493506,29.732017517089844,28.81913185119629,2100,198000,2002,200100,0.0494258365322833,0.0,99.0,98.9010989010989,99.0,3.1275273562104844,99.0,99.0,99.0,0.0009990009990008,0.0,1.0,0.999000999000999,1.0,0.0315911854162675,1.0,1.0,1.0,0.0009990009990008,0.0010484268355332,2.0,100.0,2.097902097902098,2.0,3.095936170794217,98.0,2.0,2.0,0.0466200466200465,0.0045319890054972,0.4947526236881558,0.0066362972359973,0.0060012543728135,0.0155035781851352,0.4902206346826586,0.0048258420789605,0.0072746176911544,0.1950049602833012,1297,98752,50.02450180053711,28.39978790283203,1297.0,5339.0,5002.45,2000,easy,hard,False,5339.0,5339,5339,instances/ta74,OptalCP in < 1 min,0.7230624410764531,0.0058969358818751,2.5734179777624915e-06,6.407576177278119e-05,-0.0029960897327923,-0.0007496332583989,-0.0001247846059391,8.977688892462632e-05,-0.0005667576340788,-0.001715193949297,-0.0038252372688627,-0.0007374879246995,-0.0006957484620724,0.0001077875395925,0.0002223793778219,-0.0003490654408654,0.0002153381493716,-0.0004319091925883,-5.779834566108824e-05,-0.0014317098708523,0.000515984741501,0.0168117329988696,0.0234930498882491,0.0112143340136252,0.0216398850426248,-0.0004291717640364,0.0079035279603503,0.015435390670918,0.0059285068601334,0.0015531530141516,0.0053117129864622,0.0068962046107219,0.0083997760629651,0.0114587417142643,-5.30625590153311e-08,0.0116673994306203,-1.0778436008830877e-07,0.009298664702967,-1.034728315161776e-08,-7.586281068488255e-09,-1.1008164770231032e-07,0.0134932098467595,0.0104273785128703,0.0073999609038166,0.0001079140520487,0.0016430092081927,0.0059751350850821,-2.519289385776369e-09,0.0002802023713016,0.0074803517532259,0.0061438011246557,0.0180997469572047,0.0093507819679147,0.0060691214692049,0.0167514265012405,0.007021161132335,0.0051414391368475,0.0004493935180057,-0.0002619347003672,0.0187658610790797,-0.0028890712512321,0.0005647399103809,-0.000331379638469,0.0047365329212426,0.0191794435870689,0.0125678164467126
ta73.pt,100,20,0.0,99.0,50.260739260739264,50.0,28.45065038879431,99.0,26.0,75.0,0.3267251323143672,-1.0,19.0,9.48951048951049,9.0,5.77293799092739,20.0,4.0,14.0,0.3506493506493506,29.875123977661133,28.930200576782227,2100,198000,2002,200100,0.0494258365322833,0.0,99.0,98.9010989010989,99.0,3.1275273562104844,99.0,99.0,99.0,0.0009990009990008,0.0,1.0,0.999000999000999,1.0,0.0315911854162675,1.0,1.0,1.0,0.0009990009990008,0.0010484268355332,2.0,100.0,2.097902097902098,2.0,3.095936170794217,98.0,2.0,2.0,0.0466200466200465,0.0045319890054972,0.4947526236881558,0.0066362972359973,0.0060012543728135,0.0155035781851352,0.4902206346826586,0.0048258420789605,0.0072746176911544,0.1950049602833012,1306,99316,50.31100082397461,28.4204216003418,1306.0,5552.0,5031.1,2000,easy,hard,False,5568.0,5568,5568,instances/ta73,OptalCP in < 1 min,0.7230624410764531,0.0058970098802442,2.643064763290014e-06,6.41676370694266e-05,-0.002996474795642,-0.0007495974216506,-0.0001272440831799,8.976348948429523e-05,-0.0005626463610196,-0.0017146095440787,-0.0038310129238223,-0.0007360436540042,-0.0006990571304267,0.0001086410351321,0.0002212360433171,-0.0003482466499082,0.0002157948158898,-0.0004309958410506,-4.965556511890574e-05,-0.0014634368854288,0.0006114174725977,0.0167884522540465,0.0234983511626465,0.0112149027005468,0.0215961865720307,-0.0004250615222681,0.0079014636912814,0.0154379272764625,0.0059294667698679,0.0015543049331009,0.0053093591834661,0.0068976744074768,0.0084309402434836,0.0114670718055895,-5.293077968102768e-08,0.0116729554123555,-1.0776289369594565e-07,0.0093022550647029,-1.0350287106639429e-08,-7.427265986707138e-09,-1.1035859986460657e-07,0.0134953090733823,0.0104270370380287,0.0074023186186875,0.0001072586348633,0.0016417002620565,0.0059748775257006,-2.519289385776369e-09,0.0002743418919997,0.0074865375609221,0.0061517206286787,0.018093690726509,0.0093481035848776,0.0060669080207916,0.016746781615939,0.0070247412804702,0.0051389124844079,0.0004534668514093,-0.0002600120851556,0.0187428573747132,-0.0028964453361621,0.0005598386922377,-0.0003310743604595,0.0047260984621801,0.0191678327214324,0.0125616823229664
ta79.pt,100,20,0.0,99.0,49.81668331668332,50.0,28.79556696284863,99.0,25.0,74.0,0.3336695139859589,-1.0,19.0,9.48951048951049,9.0,5.77293799092739,20.0,4.0,14.0,0.3506493506493506,29.65309715270996,28.945220947265625,2100,198000,2002,200100,0.0494258365322833,0.0,99.0,98.9010989010989,99.0,3.1275273562104844,99.0,99.0,99.0,0.0009990009990008,0.0,1.0,0.999000999000999,1.0,0.0315911854162675,1.0,1.0,1.0,0.0009990009990008,0.0010484268355332,2.0,100.0,2.097902097902098,2.0,3.095936170794217,98.0,2.0,2.0,0.0466200466200465,0.0045319890054972,0.4947526236881558,0.0066362972359973,0.0060012543728135,0.0155035781851352,0.4902206346826586,0.0048258420789605,0.0072746176911544,0.1950049602833012,1302,98431,49.86650085449219,28.766815185546875,1302.0,5358.0,4986.65,2000,easy,hard,False,5358.0,5358,5358,instances/ta79,OptalCP in < 1 min,0.7228826287664054,0.0059295320357273,1.433536075335287e-05,6.413888135156156e-05,-0.0029871802607876,-0.0007474539073963,-0.0001237749776092,8.969941105282444e-05,-0.0005662055849954,-0.0019336538531217,-0.0038205143956869,-0.0007383364110164,-0.0006997295064077,0.000108241043346,0.0002272437215659,-0.0003476000878273,0.0002169814171922,-0.0004307780400798,-4.869965684399237e-05,-0.001409438011023,0.000598009380269,0.0166293040708108,0.0234995024921158,0.0112059676136786,0.0215800365010846,-0.0004301627007216,0.0079041226851353,0.015427341568005,0.0059444480210164,0.0015560836192178,0.0053181254811995,0.0069068918879227,0.0083995483350204,0.0113376683441284,-5.3055970215591775e-08,0.0116813410452172,-1.051249125334011e-07,0.0093977438314145,-9.384517802034285e-09,-7.427265986707138e-09,-1.0973973181523769e-07,0.0134840930246249,0.0104155485857441,0.0074001326191824,9.719144423566748e-05,0.0016434412627598,0.0059763129925626,-2.52735523054926e-09,0.0002741328990513,0.0074981581818579,0.0061572512705119,0.0181119541148884,0.0093557748030591,0.0060094888424399,0.0168794869838132,0.0070313506578902,0.0051373488267107,0.0004545162778574,-0.000252596311123,0.0187608216684919,-0.0028593318411073,0.0005564369785567,-0.0003329268626823,0.0047527791557382,0.0191541072407008,0.0125443175595504
ta76.pt,100,20,0.0,99.0,50.13536463536464,50.0,28.412126094024103,99.0,26.0,74.0,0.3271136660412446,-1.0,19.0,9.48951048951049,9.0,5.77293799092739,20.0,4.0,14.0,0.3506493506493506,29.81243705749512,28.867095947265625,2100,198000,2002,200100,0.0494258365322833,0.0,99.0,98.9010989010989,99.0,3.1275273562104844,99.0,99.0,99.0,0.0009990009990008,0.0,1.0,0.999000999000999,1.0,0.0315911854162675,1.0,1.0,1.0,0.0009990009990008,0.0010484268355332,2.0,100.0,2.097902097902098,2.0,3.095936170794217,98.0,2.0,2.0,0.0466200466200465,0.0045319890054972,0.4947526236881558,0.0066362972359973,0.0060012543728135,0.0155035781851352,0.4902206346826586,0.0048258420789605,0.0072746176911544,0.1950049602833012,1270,99101,50.18550109863281,28.38203811645508,1270.0,5342.0,5018.55,2000,easy,hard,False,5342.0,5342,5342,instances/ta76,OptalCP in < 1 min,0.7226709357764574,0.0059216581887312,1.2140373786289127e-05,6.418294473863096e-05,-0.0029872783856936,-0.0007478122537186,-0.0001188464793504,8.971955442043781e-05,-0.0005622671700766,-0.0019306263615505,-0.003816113915432,-0.0007380903958917,-0.0007009128831772,0.0001093261544041,0.0002204981176775,-0.0003574023801016,0.000216029363423,-0.0004319466960453,-5.326515534899723e-05,-0.0014619923977256,0.0005453674721024,0.0166497796611435,0.0235067826348681,0.0112133763254288,0.0216060612447735,-0.0004378782221244,0.0078977101953434,0.0154270486640002,0.0059425892677775,0.0015536133571653,0.0053184657728639,0.0069016434976614,0.0084274028528822,0.0113310501015866,-5.293077968102768e-08,0.0116544271615072,-1.0495011977520817e-07,0.0093841041837496,-1.0089043880617004e-08,-7.427265986707138e-09,-1.1037049790010237e-07,0.0134841660808979,0.0104210212652572,0.0073975920081707,0.0001023697344418,0.0016315795280389,0.0059571865219455,-2.519289385776369e-09,0.0002801635561545,0.007500177507102,0.0061587170631302,0.0181121136910624,0.0093552223621507,0.0060126277215845,0.0168699212150604,0.0070343544709508,0.0051390105898998,0.0004558076231209,-0.0003032321510644,0.0187882751833694,-0.0028618401544086,0.0005625166720473,-0.0003676098366657,0.004726099646916,0.0191430783167181,0.0125430147566397
ta75.pt,100,20,0.0,99.0,49.31068931068931,50.0,28.41793090334953,99.0,25.0,74.0,0.3326598846858166,-1.0,19.0,9.48951048951049,9.0,5.77293799092739,20.0,4.0,14.0,0.3506493506493506,29.40010070800781,28.58119010925293,2100,198000,2002,200100,0.0494258365322833,0.0,99.0,98.9010989010989,99.0,3.1275273562104844,99.0,99.0,99.0,0.0009990009990008,0.0,1.0,0.999000999000999,1.0,0.0315911854162675,1.0,1.0,1.0,0.0009990009990008,0.0010484268355332,2.0,100.0,2.097902097902098,2.0,3.095936170794217,98.0,2.0,2.0,0.0466200466200465,0.0045319890054972,0.4947526236881558,0.0066362972359973,0.0060012543728135,0.0155035781851352,0.4902206346826586,0.0048258420789605,0.0072746176911544,0.1950049602833012,1347,97373,49.36000061035156,28.389301300048828,1347.0,5392.0,4936.0,2000,medium,hard,False,5392.0,5392,5392,instances/ta75,CPO in < 1h,0.724741139901802,0.005924763877327,2.919902930617477e-05,6.423690430771561e-05,-0.0030260075950615,-0.0007551429511742,-0.0001616433709293,8.908274454239544e-05,-0.0005444855700133,-0.0019322148586653,-0.0038083779781129,-0.0007996114706276,-0.000731296891011,0.0001097933176373,0.0002341990357315,-0.0003410608416902,0.0002226648770658,-0.0003887259485048,-5.326223176760879e-05,-0.0016190896245272,0.0009482117945622,0.0166154642432046,0.0235080219828825,0.0111790768948906,0.0216005256644073,-0.0003923734240477,0.007906393614125,0.0154025146333333,0.0059613405174261,0.0015662263062972,0.0053537097608499,0.0069453058285076,0.0083820579952888,0.0112937887287174,-5.2184008995747424e-08,0.0116550338802423,-1.0743047605143988e-07,0.0095097086290688,-9.242834105910077e-09,-8.07089464075469e-09,-1.0278974782485674e-07,0.0134809434002087,0.0102872171441878,0.0074010804699278,9.672491302607313e-05,0.0016348208350223,0.0059761795846411,-2.52735523054926e-09,0.0002683849653755,0.0075246100922843,0.0061693143675941,0.0181368229498845,0.0093655982347461,0.0059950122606547,0.0168865140022003,0.0070785259543344,0.0051526525030308,0.0004461589100968,0.0005013720787868,0.0186840148436168,-0.0028741514281132,0.0005506663906638,0.0006875516604387,0.0047253015743636,0.0192729744234166,0.0124647582160066
ta78.pt,100,20,0.0,99.0,49.5004995004995,49.0,28.43369084335121,99.0,25.0,74.0,0.331594863259848,-1.0,19.0,9.48951048951049,9.0,5.77293799092739,20.0,4.0,14.0,0.3506493506493506,29.495004653930664,28.655202865600582,2100,198000,2002,200100,0.0494258365322833,0.0,99.0,98.9010989010989,99.0,3.1275273562104844,99.0,99.0,99.0,0.0009990009990008,0.0,1.0,0.999000999000999,1.0,0.0315911854162675,1.0,1.0,1.0,0.0009990009990008,0.0010484268355332,2.0,100.0,2.097902097902098,2.0,3.095936170794217,98.0,2.0,2.0,0.0466200466200465,0.0045319890054972,0.4947526236881558,0.0066362972359973,0.0060012543728135,0.0155035781851352,0.4902206346826586,0.0048258420789605,0.0072746176911544,0.1950049602833012,1299,97801,49.54999923706055,28.404762268066406,1299.0,5394.0,4955.0,2000,easy,hard,False,5394.0,5394,5394,instances/ta78,OptalCP in < 1 min,0.723048138928887,0.0059273229494158,1.796706952929016e-05,6.414474567445523e-05,-0.0029938038054916,-0.000748996085422,-0.0001273465420251,8.973710984821365e-05,-0.0005441317537285,-0.0019321323619846,-0.0038058454949416,-0.0007335292990715,-0.000695398619617,0.0001021096096813,0.0002285021699308,-0.0003473526190633,0.0002236143701332,-0.0004324742482876,-5.002452627304714e-05,-0.0014590559009522,0.0006520665995373,0.0166466708975212,0.0235222288129103,0.011195131900371,0.0216177182491486,-0.0004318802129128,0.0078999464537075,0.0154106011722005,0.0059463216286246,0.001567838804298,0.0053203613267077,0.0068990540702206,0.0083948405390694,0.0113438330320088,-5.303932699459093e-08,0.0116651410968439,-1.046393627545019e-07,0.009363751454098,-9.359299248798982e-09,-7.916338260005192e-09,-1.0977233372972357e-07,0.0134983809296102,0.0104188066053554,0.0074002660773711,0.0001153983122601,0.0016535695230747,0.0059742006993977,-2.52735523054926e-09,0.0002741087003448,0.0074821912281903,0.0061479506769747,0.0181126279378111,0.0093673102233132,0.0060079026969709,0.0168774436892191,0.0070344919827177,0.0051536095137497,0.000441956134499,-0.000257496480862,0.0188017451367198,-0.0028448306902932,0.0005468511525037,-0.0003331376486664,0.0047487582120662,0.0191594085929045,0.0125896340888262
ta80.pt,100,20,0.0,99.0,48.3001998001998,47.0,28.45316691078143,99.0,24.0,73.0,0.3398705961194972,-1.0,19.0,9.48951048951049,9.0,5.77293799092739,20.0,4.0,14.0,0.3506493506493506,28.89485549926757,28.249286651611328,2100,198000,2002,200100,0.0494258365322833,0.0,99.0,98.9010989010989,99.0,3.1275273562104844,99.0,99.0,99.0,0.0009990009990008,0.0,1.0,0.999000999000999,1.0,0.0315911854162675,1.0,1.0,1.0,0.0009990009990008,0.0010484268355332,2.0,100.0,2.097902097902098,2.0,3.095936170794217,98.0,2.0,2.0,0.0466200466200465,0.0045319890054972,0.4947526236881558,0.0066362972359973,0.0060012543728135,0.0155035781851352,0.4902206346826586,0.0048258420789605,0.0072746176911544,0.1950049602833012,1226,95471,48.3484992980957,28.42634391784668,1226.0,5183.0,4834.85,2000,easy,hard,False,5183.0,5183,5183,instances/ta80,OptalCP in < 1 min,0.7230763971555004,0.0059200371248691,2.0538887192865708e-05,6.365448114861849e-05,-0.0029829369058504,-0.0007504488426159,-0.0001343960769952,8.976775357320931e-05,-0.0005446903185057,-0.0018585848312122,-0.0038241345620619,-0.0007251331801806,-0.0006816386544088,0.0001069239289329,0.0002575044439366,-0.0003378069934312,0.0002213732462346,-0.0004401482367062,-6.094729700218026e-05,-0.0022711218345072,0.0008854286868558,0.0168402361962598,0.0235267620689173,0.0112446189833247,0.0216894548198469,-0.0004377721139295,0.0078916861530682,0.0154243413030104,0.0059448484911474,0.0015756789793639,0.005324169003579,0.006962926462516,0.0084303499365378,0.0113553821086904,-5.295115075565287e-08,0.0117188531441433,-1.111871605954728e-07,0.0093715156194569,-9.948668163326787e-09,-8.566910158247964e-09,-1.0940343715562753e-07,0.0135711874362411,0.0105328568990997,0.0073484756957592,0.0001145127879528,0.0016379019709537,0.0059703231913459,-2.52735523054926e-09,0.0002666226018017,0.0074948678210221,0.0061449334158711,0.0180328310872602,0.0093423015155514,0.0060169703119148,0.0168437325482603,0.0070177483326283,0.0051429713485904,0.0004268583056472,-0.0002763098937705,0.0189589626291339,-0.0028422416477101,0.0005431577729247,-0.000332707304763,0.0047176477943125,0.0191899759566242,0.0125164728911966
ta72.pt,100,20,0.0,99.0,48.633866133866135,48.0,28.53702770065716,99.0,24.0,73.0,0.338632029912264,-1.0,19.0,9.48951048951049,9.0,5.77293799092739,20.0,4.0,14.0,0.3506493506493506,29.061687469482425,28.40624237060547,2100,198000,2002,200100,0.0494258365322833,0.0,99.0,98.9010989010989,99.0,3.1275273562104844,99.0,99.0,99.0,0.0009990009990008,0.0,1.0,0.999000999000999,1.0,0.0315911854162675,1.0,1.0,1.0,0.0009990009990008,0.0010484268355332,2.0,100.0,2.097902097902098,2.0,3.095936170794217,98.0,2.0,2.0,0.0466200466200465,0.0045319890054972,0.4947526236881558,0.0066362972359973,0.0060012543728135,0.0155035781851352,0.4902206346826586,0.0048258420789605,0.0072746176911544,0.1950049602833012,1275,96090,48.682498931884766,28.50979995727539,1275.0,5181.0,4868.25,2000,easy,hard,False,5181.0,5181,5181,instances/ta72,OptalCP in < 1 min,0.7233225787497565,0.0059223801248359,1.993872459910884e-05,6.338063121137685e-05,-0.0029787722706384,-0.0007494950319416,-0.0001263926142529,8.976445315741321e-05,-0.000544334188258,-0.0018584142731555,-0.0038304262881773,-0.000729465836691,-0.0006775924949676,0.0001075746459864,0.000252046511727,-0.0003271951976223,0.0002208907910023,-0.000438697068637,-4.18758416554666e-05,-0.0022806667134958,0.0009310156983743,0.016800117516173,0.0235435569960528,0.0112384206961087,0.0216979015475695,-0.0004259962745136,0.0078974127185902,0.0154306308554136,0.0059479413885519,0.0015741126629504,0.0053228311958588,0.0069607690283017,0.0084309883147711,0.0113666988700171,-5.267301962958857e-08,0.011748029053671,-1.0788206697870745e-07,0.0093960051324808,-1.0510778733747888e-08,-7.869748284029231e-09,-1.0980814785435278e-07,0.0135548329244986,0.0105261475424351,0.0073527303426228,0.0001140076257256,0.001654885788007,0.0059875746057895,-2.52735523054926e-09,0.0002684494236781,0.0074988003860016,0.006141041666662,0.0180375601840313,0.0093382395163129,0.0060060772205715,0.0168624483851346,0.0070131203433646,0.0051482152550576,0.0004261406376686,-0.0002587099269477,0.0189467516426672,-0.0028426939344475,0.0005425979569709,-0.0002996857752231,0.0047405129368996,0.0191940485507471,0.0125363469621118
