,mean_abs_shap
clustering_gini,0.006630356313604806
clustering_std,0.005680381151426021
clustering_mean,0.00490954610643242
makespan_max,0.003856510800136206
energy_sum_min,0.003626076641346127
energy_sum_max,0.003369479698950115
deg_mean,0.003362451423730222
deg_gini,0.0032311435503497303
num_op_nodes,0.0032178270916672046
num_nodes,0.0030007519944888635
num_nodes_total,0.002974203857884674
makespan_range,0.002727952707570266
num_conjunctive_edges,0.002602890639419163
node_x_col0_q3,0.0023334732042475537
num_disjunctive_edges,0.0022909888192473595
max_tardiness,0.002125603421395853
deg_q1,0.0018649410463030815
node_x_overall_std,0.0018408228731568246
n_jobs,0.0018046073876575115
deg_q3,0.0017860317039623643
num_edges_total,0.0016872518037150893
deg_max,0.0016307127395533483
clustering_q1,0.001532282192936101
node_x_col1_mean,0.0014332831687725982
deg_range,0.0014255623835689294
deg_median,0.0014237133042882932
node_x_overall_mean,0.0013699449788105963
node_x_col1_std,0.0012876545285466288
disj_graph_density,0.0012156022632195233
makespan_min,0.0011376283275251853
clustering_max,0.0010144010314009667
window_min,0.000994732108585149
clustering_median,0.0009676582917405394
window_max,0.0009452302324210288
window_mean,0.0009416755073444668
node_x_col1_gini,0.0008497381992590199
node_x_col1_range,0.0008212886335274876
clustering_range,0.0007954328196959623
node_x_col1_max,0.0007766832233794914
deg_std,0.0007688579835574427
clustering_q3,0.0007625440290740265
node_x_col0_mean,0.0007603362044256191
overlap,0.0007226004060080307
n_machines,0.0007019084421248397
node_x_col1_q3,0.000670699191519588
e_value_mean,0.0006415846237362581
energy_min_mean,0.0006204829041271438
node_x_col1_median,0.0005937686115779714
operation_cost_mean,0.0005736243152043841
energy_avg_mean,0.0005693850968327404
energy_max_mean,0.0005692020056058583
operation_cost_std,0.0005641405803322662
p_value_mean,0.000547563873824215
node_x_col0_q1,0.0005204937134697152
node_x_col1_q1,0.0004856745462800528
node_x_col0_gini,0.00027820133871487787
node_x_col0_max,0.0002072157742021453
node_x_col0_std,0.0001972999246592799
e_value_max,0.00018441909608850693
p_value_max,0.00018178254150475677
node_x_col0_median,0.0001547780054529146
e_value_min,0.0001261573612957502
node_x_col0_range,0.00011609568285677525
p_value_min,0.00010603440345762394
