,mean_abs_shap
makespan_lb_meanload,0.01997303058201109
deg_d_mean,0.017230945270076337
n_jobs,0.014009863178121675
betweenness_q1,0.013603194843083208
deg_c_range,0.012487558569049834
betweenness_median,0.012264707151977508
deg_d_range,0.012171833507321237
deg_c_max,0.011820463229240253
deg_d_max,0.010391071546942009
deg_d_q3,0.010255390694324339
deg_d_q1,0.00925610667633703
betweenness_q3,0.00925311602452871
deg_d_median,0.008612990366074864
num_edges_total,0.008278333773356187
betweenness_min,0.008047670463091756
makespan_lb_machine_sum,0.007685208691136371
num_disjunctive_edges,0.0074870571778845
betweenness_mean,0.007139814839494007
makespan_range,0.005883992080675716
deg_d_gini,0.005103320028538978
num_conjunctive_edges,0.004867501032647192
num_nodes_total,0.004386523196010872
num_op_nodes,0.003610430776744566
conj_graph_density,0.002755643092961248
betweenness_max,0.0023130041922867937
deg_c_std,0.0021487734192566195
node_x_col0_q3,0.0017127290939950798
node_x_col1_gini,0.0014083854016430624
betweenness_std,0.0013269499727117434
node_x_col0_mean,0.0012578820458135924
betweenness_range,0.0012064852787768566
node_x_overall_mean,0.0011267594039891385
deg_d_std,0.0010734452248839083
node_x_col0_gini,0.0010354793599579581
operation_cost_mean,0.0009654858380819565
node_x_col1_mean,0.0009047560187576331
makespan_lb_job_sum,0.0008069210308225223
disj_graph_density,0.0008015964285766535
deg_c_gini,0.0007905924040526539
node_x_col1_std,0.0007678611535652838
betweenness_gini,0.000759098235378054
operation_cost_std,0.0007436109908870341
deg_c_mean,0.0007383817053538667
makespan_min,0.0005635648518510709
node_x_overall_std,0.0005573464914805735
node_x_col0_q1,0.0005399346990073514
node_x_col0_std,0.00044785512469394656
n_machines,0.0004268679167194178
node_x_col1_range,0.0004240243750556578
node_x_col1_max,0.00038844219544880397
node_x_col0_median,0.0003402317700506096
node_x_col1_q3,0.0003112556940825252
node_x_col1_median,0.00022823064682315762
node_x_col1_q1,0.00017559959458309735
node_x_col0_max,8.070575816719548e-05
node_x_col0_range,4.1177477500211675e-05
clustering_d_max,1.5292251800379644e-06
clustering_d_q3,8.519310174060636e-07
clustering_d_min,5.218633310364013e-07
clustering_d_q1,5.084153590749654e-07
clustering_d_mean,3.892222995045825e-07
clustering_d_median,2.7969312981185033e-07
deg_c_q3,9.846816915422172e-09
