,mean_abs_shap
makespan_lb_meanload,0.011400864783226298
deg_d_mean,0.009773632255278846
clustering_mean,0.009696398551519847
clustering_max,0.008879636000097215
betweenness_median,0.008721193991983262
betweenness_q1,0.008459493711077487
betweenness_c_median,0.008171326380153655
deg_gini,0.007417967208593098
deg_mean,0.007062776213764331
num_edges_total,0.006559692463998525
num_disjunctive_edges,0.006430632473278768
clustering_median,0.006351580399864474
betweenness_mean,0.00598827151164678
betweenness_q3,0.005918275500986757
betweenness_c_min,0.005308562902199164
betweenness_min,0.005233967334937374
clustering_q1,0.005066318065825351
clustering_q3,0.005008175175705857
makespan_range,0.004985237897258418
clustering_min,0.004626504068752034
num_conjunctive_edges,0.004482319221450461
num_nodes_total,0.004309858806812158
betweenness_c_q1,0.004270348091024054
deg_std,0.0039275301213135905
deg_d_gini,0.003923151001089931
betweenness_c_mean,0.003790217910876696
conj_graph_density,0.0037159044007587755
num_op_nodes,0.0036736381913659187
deg_d_q1,0.003488007091392122
deg_q1,0.003200011385762609
deg_c_range,0.002892573505773404
deg_q3,0.0028712419324055573
deg_d_q3,0.0028496720858515734
deg_median,0.0027815018027794246
deg_d_range,0.0026885583300194312
deg_min,0.002673349763259024
deg_d_median,0.002666138703254285
deg_c_max,0.0026050791069173965
n_jobs,0.0025817158192842676
betweenness_c_q3,0.0020024590068587773
deg_max,0.001898744842248233
deg_d_max,0.0016300821934318347
clustering_std,0.0014951463517576496
clustering_gini,0.0013657206954409825
node_x_col0_gini,0.0013654171380195793
makespan_lb_machine_sum,0.001336201869602286
node_x_overall_mean,0.0013053260116466729
betweenness_c_max,0.001262703033086364
betweenness_max,0.0011989080640444304
betweenness_std,0.0011503124441995998
graph_density,0.0011420496181110888
betweenness_c_std,0.001121541337389611
node_x_col1_gini,0.001116688472662566
makespan_lb_job_sum,0.0008762748841156972
node_x_col1_mean,0.0008658635759559688
betweenness_range,0.0008479456313400884
node_x_col0_q3,0.0007793041032001082
node_x_col1_std,0.0007454714304973712
node_x_col0_mean,0.0006461311607688791
disj_graph_density,0.0006081041086418349
betweenness_c_range,0.00060456705338555
deg_c_gini,0.0005585621305961895
deg_c_mean,0.000523871872852704
n_machines,0.00051683268403273
betweenness_gini,0.0005000556840509085
operation_cost_mean,0.0004922435235030045
betweenness_c_gini,0.00048499698114984465
clustering_range,0.00047048051052150946
node_x_col0_std,0.00046309960594832496
makespan_min,0.0004270921754157606
operation_cost_std,0.0004270851963963162
node_x_overall_std,0.0004047834067313314
node_x_col1_max,0.00039866430475946513
deg_c_std,0.00037866947876903656
node_x_col1_q3,0.0003776912134909414
node_x_col0_median,0.0003664405398662019
deg_d_std,0.00033780174578061287
node_x_col1_range,0.00033112283397817243
node_x_col1_median,0.00022372196242997127
node_x_col0_q1,0.00019421945432449407
node_x_col1_q1,0.0001705369663460193
node_x_col0_max,5.816935561023038e-05
node_x_col0_range,5.4053916056201264e-05
clustering_d_min,2.6140236867407884e-07
clustering_d_median,1.4139194361565502e-07
clustering_d_q1,1.0997843734263611e-07
clustering_d_max,6.380282196283572e-08
clustering_d_q3,3.585664959705457e-08
clustering_d_mean,3.522854338219082e-08
deg_c_q3,5.635274081600616e-09
