,n_jobs,n_machines,node_x_col0_max,node_x_col0_mean,node_x_col0_median,node_x_col0_std,node_x_col0_range,node_x_col0_q1,node_x_col0_q3,node_x_col0_gini,node_x_col1_max,node_x_col1_mean,node_x_col1_median,node_x_col1_std,node_x_col1_range,node_x_col1_q1,node_x_col1_q3,node_x_col1_gini,node_x_overall_mean,node_x_overall_std,num_conjunctive_edges,num_disjunctive_edges,num_nodes_total,num_edges_total,disj_graph_density,deg_d_max,deg_d_mean,deg_d_median,deg_d_std,deg_d_range,deg_d_q1,deg_d_q3,deg_d_gini,clustering_d_min,clustering_d_max,clustering_d_mean,clustering_d_median,clustering_d_q1,clustering_d_q3,conj_graph_density,deg_c_max,deg_c_mean,deg_c_std,deg_c_range,deg_c_q3,deg_c_gini,betweenness_min,betweenness_max,betweenness_mean,betweenness_median,betweenness_std,betweenness_range,betweenness_q1,betweenness_q3,betweenness_gini,makespan_min,makespan_range,operation_cost_mean,operation_cost_std,makespan_lb_job_sum,makespan_lb_machine_sum,makespan_lb_meanload,num_op_nodes
10-10-0.pt,-0.02524205111160828,-0.0004970825697351559,-0.00019568644776432048,-0.0007195979793025772,-9.510110865221389e-05,-1.6696248532010182e-05,-6.156730717708667e-05,-0.0005667499040421292,-0.001331943829881628,-0.0008235981601731857,-0.00047166404219414813,-0.0011688034413736789,-0.00023657637351038734,-0.0008543391030599519,-0.0005705743805186107,-0.00017196878130461326,-0.00037966635095199925,-0.0019026376226323675,-0.0009388201298467518,-2.1445258233759163e-05,-0.005995131072705697,-0.007761851463161435,-0.005048649199187408,-0.008889634622489394,-0.0007805369838373932,-0.01789139778090406,-0.03038014427869855,-0.014492324859954574,-0.0001317838458705773,-0.02123264085271828,-0.01644842337783581,-0.018123030604328638,-0.006509709730425163,-8.068536084666815e-07,-1.9725869406641107e-06,-5.538140149097786e-07,-4.5040587935736627e-07,-3.0829339302939325e-08,-6.388042788204542e-07,-0.0034563314056853776,-0.02126498848239375,-0.0002939341624073515,0.00044305390809169413,-0.0223016956728083,-4.401994309765257e-09,-0.00019375953287154648,-0.0076582435578350285,-0.005769261014316036,-0.007642307272985584,-0.011663058315918143,-0.0023014802779013632,-0.003314874141789154,-0.013665656190682786,-0.00811732874987262,0.0009916522680183339,-0.0006088103203987701,-0.006817750328482622,-0.00027660680629452414,-0.0008301411562982559,-0.0008656814814410017,-0.01484216637835481,-0.036447839959351296,-0.004731659749088197
10-11-0.pt,-0.024276535054330882,-0.00044340102161075795,-7.780614471498028e-05,-0.000506624077641348,0.0004232151973885926,0.0009064552711721995,-2.3980421246218557e-06,-0.0002761076680691348,-0.000931487337981707,-0.0004316305656686954,-0.00038423010294631044,-0.0008928404316019303,-0.00011914369704683922,-0.0005303111365677582,-0.0004650817556979445,-9.842553399805939e-05,-0.00028379648913711515,-0.001688952910682312,-0.0009873478652018652,0.0002631308185957713,-0.005352106485400367,-0.007328092368209397,-0.004571739805613233,-0.008170961618280825,-0.00036886552269414704,-0.017463533073025228,-0.028891725840279995,-0.01381654083257216,0.00012702300088094344,-0.020086088137674093,-0.0154344929716953,-0.017347204627984735,-0.005752261988115049,8.510016323330012e-08,-4.804746221743062e-06,-3.3823477313620955e-07,-5.204475358089762e-07,-2.241041385131151e-07,-8.079948473261441e-07,-0.0032290106630621304,-0.020379525153111665,-0.00024354468457719503,0.0007177892876462349,-0.02129338408218205,-4.673914954509604e-09,-0.00012362539659846556,-0.0076537375023721125,-0.00165294099920693,-0.00654103305101139,-0.01073088532234614,-0.0013668602069796965,-0.002507727968624114,-0.013200948051400919,-0.006992771373864605,-4.6606752352271175e-05,-0.0006091112816681158,-0.006193691646862997,-0.0001583392751554455,8.842979856117941e-05,-0.0008272736964402124,-0.013851188672060423,-0.03449294415304134,-0.004235778185983955
10-12-0.pt,-0.02509577262984992,-0.0003380034813151329,-0.00013126882029691598,-0.0005090126756992626,0.0002651768989440748,0.00012392108234576937,-3.0438873786185116e-05,-0.0005681367869905654,-0.0011418461563535768,-0.0005018119142708684,-0.00023471431890575463,-0.0009598511810808573,-0.00018562112662212909,-0.00041562886570364747,-0.00030969369594825,-0.00010010908077033894,-0.0003065369813460043,-0.0019477146872952753,-0.0012431917443815421,-1.1618432022456634e-05,-0.005976398700824823,-0.007590000067719308,-0.005149384731551606,-0.008652185374334716,-0.0005429824825364066,-0.0179280026547728,-0.029643811020182004,-0.013998084875213163,-7.218586702248973e-05,-0.0207833332866111,-0.015545476465609134,-0.017443282781764276,-0.006501248680999987,-1.6071213768056126e-07,-1.3562660282426509e-06,-2.9243937494276667e-07,-1.3696150212866299e-08,-2.397897305252709e-07,-8.399970068087203e-07,-0.003727935085301361,-0.020754000364712873,-0.00035690314144667273,7.308408283866334e-05,-0.021641563292908592,-5.812717157749862e-09,-0.0002089506209131853,-0.007807529296118535,-0.0013869454449081601,-0.007084241603788356,-0.011120804906055704,-0.0010571002650632665,-0.0013287203670064383,-0.014080671440930326,-0.007695690667180831,-0.0005910565994055581,-0.0006348513367744891,-0.0068676473449834855,-0.00025141881523109985,-0.0003550237712893219,-0.0007393034159999984,-0.013873583742037223,-0.03482588445861278,-0.004851295404235579
10-13-0.pt,-0.024992843491371892,-0.0002880944430818559,-7.916329321608656e-05,-0.0005200534968446158,0.0002536791375263925,0.0002017238046607294,-1.6209919404034704e-06,5.4635757200358934e-05,-0.001271821500937226,-0.00012766107786920874,-0.0002605368407727428,-0.0005869338514630786,-0.00015647494906789505,-0.0004986857377485312,-0.0003514080303613056,-0.00014333537832787857,-0.00027506588545999917,-0.001805381908533948,-0.001287342164822975,0.00021229336346913373,-0.0058845463139769105,-0.007487240009887095,-0.005202279743447051,-0.00846278546932355,-0.00031549440677661243,-0.01805281033262724,-0.030065261065414697,-0.014295508781032936,-0.0002416531813268031,-0.021054676963573247,-0.015815453086626175,-0.017534872169454145,-0.006495327285339901,-2.1009841297714586e-07,-2.186258465802111e-06,-3.2118896648684716e-07,-5.469069989075034e-07,-9.405035317007631e-08,-9.508706856486921e-07,-0.0036566383972888323,-0.021011540622703457,-0.0003239980210104989,-0.0005064397248355399,-0.02160328122609051,-3.920845705810975e-09,-0.00018543901624482905,-0.007894176194577546,-0.0020764051004531687,-0.0065747308480572555,-0.011095108710752767,-0.001364793196384935,-0.0027610472432133626,-0.013556253933327045,-0.007791028221785773,-9.062847518248261e-05,-0.0006526293162482013,-0.006945439154397935,-0.00031897876270978973,-0.00047454920686115424,-0.0007316953064661817,-0.013712195521467857,-0.03440674091852841,-0.0048438761908463634
10-14-0.pt,-0.024880112755870397,-0.000242154589583697,0.00014794255419488454,-0.0010360297588579302,9.321709533344222e-05,0.00017843026811262906,6.01077184408442e-05,4.081445512954508e-05,-0.0011510098407312781,-0.0001703607339589953,-0.00022178133287207932,-0.0006008751228414481,-0.0001466758674191397,-0.0002110436503477596,-0.00022846489512420897,-0.00015208438834022971,-0.00021414009116570588,-0.0017776200280304744,-0.0004574852636332506,-1.8281822922306128e-05,-0.005900965543721326,-0.007191846331608707,-0.00542766352876395,-0.008489437878133336,-0.0002964190092164205,-0.017598658741581952,-0.02999383977084092,-0.014451124308636822,-0.00041008638918541034,-0.020741954594969032,-0.015728549755882115,-0.017562564782048946,-0.006487222511493778,-1.9996561611675496e-07,-1.2128218534908137e-06,-3.1703066685254807e-08,-1.8011998501102498e-07,-1.367990919575982e-07,-7.33220277126097e-07,-0.0039599571767983234,-0.02055959351099404,-0.00012278959873765908,-0.0008297700088867828,-0.021739128950641427,-3.920062119616581e-09,-0.0001141170829591689,-0.007537299949642818,-0.0017319989672358363,-0.00675008052563169,-0.011267453036684963,-0.0009853607173053694,-0.0012830215670847414,-0.013594754684750568,-0.00760304256955213,-0.0005032759303957895,-5.962258686788371e-05,-0.006804069030215224,-0.0002934594502832953,-0.0002984933360984873,-0.00018012710028051998,-0.01316690048755306,-0.034107823399500165,-0.004822190178243264
10-15-0.pt,-0.02470972022376199,-0.00014510789286502682,0.0001451056996160638,0.0014889867476701151,0.00037794671661691776,6.563010236241247e-05,6.652054388527714e-05,0.0003435322264668865,-0.0008846282130876727,0.0009891946094716254,-0.00013551738821651943,-0.0004980151324595979,-4.241672438842985e-05,-0.00018253627802109957,-0.000158792006864384,-0.00014583794261511179,-0.000160500268754848,-0.001237054535062484,8.527970971836347e-05,-6.78465926371759e-05,-0.00548442877977809,-0.0075157055441238425,-0.004984381075595936,-0.008407319803345444,-0.00016118316155892343,-0.017828356692076972,-0.029993947580808526,-0.014616767917294745,-0.00039788513377308354,-0.021061748731109848,-0.016445937262055302,-0.017545418544134203,-0.00606995443130021,-1.4506130898823713e-07,-1.6437476998040839e-06,-6.863176059666184e-08,-2.321119481750885e-07,-1.8610167002612472e-07,-7.593229807199519e-07,-0.00380810738512925,-0.020927630950119694,1.3692595100452234e-05,-0.0009578635665307539,-0.022463912355140853,-2.993706456273815e-09,1.902681678549838e-05,-0.00805044348839462,-0.0020136553321178207,-0.006749970640658399,-0.011446192582938901,-0.0011000772699459684,-0.00258526558840107,-0.013585481471768177,-0.007456952827768704,0.0003273161811735261,3.862248193334415e-05,-0.006112046777389001,0.001158643225157498,-0.0002477849038906308,-0.00017424846217243436,-0.01236812010520816,-0.03467185355397162,-0.004659915015416786
10-16-0.pt,-0.024510200970355358,-3.385910915216131e-05,0.00023371305259933578,-0.0005238062111074704,7.733230762960778e-05,0.00012712437624507047,5.439183193729618e-05,-0.0005673137724572629,-0.0009206715077088126,-0.0001713555231332582,-0.00020491484884412717,-0.00038292984828416205,-1.6839771513020993e-05,4.307908562978668e-05,-4.185974836144428e-05,-0.00016803721419325008,-0.0001405046412269183,-0.0011928644457023232,-3.78317359279219e-05,0.00015473609456172918,-0.004930160828565427,-0.00765653356888445,-0.0044288196071545155,-0.008555570205537192,-0.00015219042505365207,-0.017702368934727833,-0.029288423385628003,-0.014398056069462008,-0.0005877194781788512,-0.020843764247326604,-0.015770517209088397,-0.017308152491858835,-0.005000520336927689,-1.558917808326021e-07,-7.683253764638719e-07,-1.140537777407295e-08,-1.7510181618844632e-07,-1.5449296779712907e-07,-6.018955274157053e-07,-0.0034090240973978065,-0.020168584223456788,0.00012135441990234043,-0.0012160884503979409,-0.021707064816182092,-2.0007229620234923e-09,3.812261019283831e-05,-0.008196227490095185,-0.0018651454107243592,-0.006851617695455592,-0.01155276669141593,-0.0009976030269845577,-0.0011241703883812229,-0.013777846284118113,-0.007538885712331069,-0.000496773372053492,-1.4452273909027827e-05,-0.006283406561495225,0.00042943442669352114,-0.00045996731325077843,-0.0002573116961147964,-0.009955618436138824,-0.033675110357898594,-0.004042347108171661
10-17-0.pt,-0.024125214856136574,9.994421441457209e-05,0.00021701145344489684,0.000628778654412412,0.0003086163780059269,0.0001845912814473158,9.65728251210826e-05,0.00013350966813006036,-0.0007024799114440676,0.0011966084415707353,-6.485567367837195e-05,0.00015237418227945855,0.00011714713629013168,0.00031823756660129705,9.741813374768366e-05,3.763507208109155e-05,7.729058953204833e-06,-0.000911589542129282,0.00027777106632088857,0.00039712227136595686,-0.004225943488301419,-0.007004781642894634,-0.003784916816258288,-0.008050971548651208,1.857959694957603e-05,-0.017544834913485657,-0.028896770213646523,-0.01433795364377711,-0.00039994163339277173,-0.020832347988575774,-0.01562392130621642,-0.01715033075301241,-0.004027266022191363,-1.788434448843795e-07,-7.174360377403054e-07,-7.342260883521024e-08,-8.985974912559118e-08,-8.067291852570882e-08,-7.975760643309493e-07,-0.0021766866384141316,-0.020078784904346742,0.00022034912575225505,-0.0016058344950524955,-0.02138652035231956,-2.969424105929418e-09,0.00014182291078796303,-0.00784511021981823,-0.0008717488453283432,-0.006279683834903027,-0.010320361921502444,-0.0007891017319264475,-0.0010185666469175194,-0.01329358937641397,-0.006913953716920898,-0.0001666600633218109,0.0002190498797485718,-0.005381268302032866,0.0013829148206348115,-0.0002895587196234882,0.0002983303440571672,-0.012345952195647028,-0.03348178578738054,-0.003111222949939392
10-18-0.pt,-0.024456713753284898,-4.789800469467761e-05,0.00020419098232532388,-0.0004714371625008161,3.4713096309847505e-05,-5.794398857229225e-05,5.709131816148215e-05,5.7074416248385785e-05,-0.0010773553858368814,0.0009419280811152624,-0.00010310380590229712,-5.8988467961126804e-05,4.673585368317538e-05,0.0002962972325461157,-5.748968025682696e-06,4.159537827858774e-06,-5.571122089599965e-05,-0.0005574042332829005,0.00012955615791905334,0.0001429839519628564,-0.0048257161450443896,-0.007524412975034689,-0.0043673930808944186,-0.008409207382950562,-9.542434585058613e-05,-0.017703435986508545,-0.03000150289660164,-0.014607434136955411,-0.0005687697930829386,-0.02138153915483936,-0.01574151148326476,-0.017501228478368,-0.004790151169197355,-2.0646995473658743e-07,-8.449972134339503e-07,-2.0247387202193448e-08,-7.524317585448204e-08,-7.614315396720447e-08,-6.500444052540897e-07,-0.002634913872194866,-0.020161420136105213,3.2803297273663934e-05,-0.0028739708859628057,-0.021853141899345344,-2.964586312387623e-09,-1.4374082743848203e-05,-0.007736573634406509,-0.0014102406880974123,-0.006665726117583448,-0.011279068687712552,-0.0011118704736210196,-0.0014066442698661805,-0.01380081170789897,-0.007369745157880562,-0.000579084558680302,0.00017852599009868602,-0.006114998591928456,0.00025734816498162446,-0.0006434106345926222,0.00015997179857816878,-0.010782551278695865,-0.03376831295421788,-0.0036571084401744273
10-19-0.pt,-0.024577433465921183,-4.6271068302317894e-05,0.0002100072028414848,-0.0006598946206489426,0.00022215034375323985,-6.991588865034694e-05,8.713573222819169e-05,-0.0005550661067250455,-0.0011711333833164805,0.000370597543562695,-0.00010112990407725517,-3.328827695245371e-05,-2.693619761285791e-05,0.0002075028347240536,1.7540077000247048e-06,1.5601929608891457e-05,-9.042508849089772e-05,-0.00034866485265909664,0.00021702034997952028,0.00013576764786021322,-0.004333934256501732,-0.006790971500804528,-0.0038852115333361985,-0.007974449666214283,-1.166578830873914e-05,-0.01730799035937677,-0.02938717312006207,-0.014501274793342877,-0.0005953750866492425,-0.020768982319732534,-0.015543834387272713,-0.01734611808485381,-0.004530240106658831,-1.955517887636271e-07,-8.874447303692036e-07,-1.9286397594791916e-07,-7.30764550208216e-08,-1.1709827606287183e-07,-8.007515188152153e-07,-0.0022262206386299507,-0.019873197690510727,0.00011015387482868848,-0.0028120320766946887,-0.021467233738927508,-1.9975362651484242e-09,0.00011360889689183478,-0.007272208121699455,-0.00092740087425911,-0.006087018023260714,-0.010753641994434961,-0.000999266445468921,-0.001127959628244425,-0.013491012567623258,-0.006839956276925847,-0.0005020405518269353,0.00013515607467565316,-0.005601245732371071,-0.0003768538082685468,-0.0005257607265950394,0.0001692732913134364,-0.012314594783117987,-0.03344283857311963,-0.0032295332979453864
