,n_jobs,n_machines,node_x_col0_max,node_x_col0_mean,node_x_col0_median,node_x_col0_std,node_x_col0_range,node_x_col0_q1,node_x_col0_q3,node_x_col0_gini,node_x_col1_max,node_x_col1_mean,node_x_col1_median,node_x_col1_std,node_x_col1_range,node_x_col1_q1,node_x_col1_q3,node_x_col1_gini,node_x_overall_mean,node_x_overall_std,num_conjunctive_edges,num_disjunctive_edges,num_nodes_total,num_edges_total,disj_graph_density,deg_d_max,deg_d_mean,deg_d_median,deg_d_std,deg_d_range,deg_d_q1,deg_d_q3,deg_d_gini,clustering_d_min,clustering_d_max,clustering_d_mean,clustering_d_median,clustering_d_q1,clustering_d_q3,conj_graph_density,deg_c_max,deg_c_mean,deg_c_std,deg_c_range,deg_c_q3,deg_c_gini,betweenness_c_min,betweenness_c_max,betweenness_c_mean,betweenness_c_median,betweenness_c_std,betweenness_c_range,betweenness_c_q1,betweenness_c_q3,betweenness_c_gini,graph_density,deg_min,deg_max,deg_mean,deg_median,deg_std,deg_q1,deg_q3,deg_gini,clustering_min,clustering_max,clustering_mean,clustering_median,clustering_std,clustering_range,clustering_q1,clustering_q3,clustering_gini,betweenness_min,betweenness_max,betweenness_mean,betweenness_median,betweenness_std,betweenness_range,betweenness_q1,betweenness_q3,betweenness_gini,makespan_min,makespan_range,operation_cost_mean,operation_cost_std,makespan_lb_job_sum,makespan_lb_machine_sum,makespan_lb_meanload,num_op_nodes
abz5.pt,-0.005537617676654444,-0.000393603636004245,0.00012806320366318244,0.000968202475215921,-0.000144104601951441,0.00021562328262159105,7.692634238908964e-05,0.0002451032176300854,0.000855624411612641,0.0006275165479169058,-0.0003502092183380598,-0.0007114966213750822,-0.000303028960282033,-0.0005623087049280781,-0.00025665770329452817,-0.000259196879942257,-0.00045321687845687445,-0.0012152181950100046,0.0009184278265493802,0.000746123500252407,-0.005026937395038116,-0.004438641441224907,-0.0038582683453106097,-0.004757007591207551,-0.0005462580932583401,-0.003017469336837611,-0.019289875933261882,-0.005510123268307087,-2.4619998294557614e-05,-0.005974689165562537,-0.007314822421116295,-0.005739782898186044,-0.0036399137257978244,-4.166936532852023e-06,-8.426480536897412e-08,7.842923380480792e-08,4.423784938979819e-07,-5.439237045786524e-07,8.315419776710675e-08,-0.0032712703581896986,-0.005475444051533563,-0.00026850214943061816,-0.00011622127432572332,-0.005712550011894612,-1.6108474813622048e-09,-0.00017452250430482642,-0.010274416365677087,-0.0016735643000317334,-0.007829904549178611,-0.01754992493594364,-0.001360245406335956,-0.001042362729494062,-0.009720892313877452,-0.004332572644917988,-0.0006474398196313178,-0.001271055172217027,-0.00541370281780357,-0.003965769155447695,-0.014383194272967515,-0.005610250423764431,-0.0038238892488362654,-0.0068594925826597816,-0.006016265785367374,-0.005053703440399836,-0.01046215547952687,-0.020131930621405766,-0.022158115308689143,-0.013245770753128787,-0.0008992389741295095,-0.0001786200062191421,-0.0106708586733616,-0.009013000262573833,-0.001087548101314247,-0.00340286447692643,-0.001331730379182326,-0.004714053466888417,-0.005956709479418492,-0.0014545801203114874,-0.0014770949213734933,-0.0063914412907154355,-0.0038390003236139234,0.00023836267984904156,-0.0003368155657656429,-0.003858695980065678,0.0008306281242117809,-0.00017642590994061992,-0.0005236840557466381,0.0011197842045163429,-0.012377584994370923,-0.004027709286787441
abz6.pt,-0.0054834743747817155,-0.0003305548197429361,-0.00011697436477576234,0.0008647332429572274,-0.00020193960333766633,0.0003042229770920136,-7.08840055289914e-05,0.0001053809440782459,0.0008006384897880998,0.0006154672956901843,-0.0004735820918608308,-0.0006966868727073244,-0.00034612434258695333,-0.0005405422238139463,-0.0002541820426029688,-0.00021944009935478454,-0.00048199292073948573,-0.001323125935899769,0.0004149692685976133,0.00039433381284173654,-0.005017618455686958,-0.004388013048004581,-0.003946097931889803,-0.004757208209797659,-0.00046298749869622856,-0.003374281485055575,-0.01948646707638723,-0.005629104561728614,-7.00290303627946e-05,-0.0060692580518822625,-0.007401275953493551,-0.005920405537351623,-0.003462339596116466,-2.3979623810470366e-06,-6.468886966199172e-08,7.230950253874186e-08,-2.0111856371951303e-06,-5.311078136343932e-07,8.666294447661076e-08,-0.003057138463512733,-0.005544322641166,-0.00015870172558239383,-0.00013402785766613394,-0.005966401237792936,1.0405792678978317e-09,-0.0001673653382160955,-0.009941467083997934,-0.0014372813542022052,-0.007526183784710749,-0.017426687823403866,-0.0008272847700503031,-0.0008625487762464775,-0.00964885515659426,-0.0039869148487174915,-0.00042796833870473714,-0.0012470335151363457,-0.005706055357980042,-0.004096845634729713,-0.014753922163362895,-0.005897361933612091,-0.003843567115112877,-0.006934122038002159,-0.0060113358433010605,-0.004922021170521948,-0.010417434097405528,-0.020455299426703728,-0.022611345763419517,-0.01341931274139376,-0.0009447075365493957,-0.00022632680872032663,-0.010651658771965188,-0.008853218689086065,-0.0010498738913662352,-0.004102514958838414,-0.0025985743934108956,-0.004566231447135084,-0.005931816068144104,-0.0011951364239199695,-0.0015345789712615957,-0.006434652213520574,-0.0037899335430203137,-0.000256623083777321,-0.00041422802368376913,-0.004110438939811698,0.0006037730752321366,-0.00015078116317670926,-0.0007660680842713096,-0.001818354301560133,-0.023969782811566843,-0.003861260924961324
abz7.pt,0.001814169475302593,0.0005903304787023396,-3.887169772891684e-05,-5.4866691203970334e-05,0.0006937759421111163,0.0014107530111434569,-4.12365375624551e-05,0.0001084872840007509,-0.00045398790558183493,0.0020587319513253894,0.00016504201434553847,0.0004669647593423651,0.0001404978180014765,0.0005500372543106349,0.00016761148841919676,-0.0002386738291631266,-0.00012530017600438444,-0.00012761576287296982,-0.0013046265120026724,0.0015629869722643506,-0.004868508604538134,-0.0060754835842297536,-0.005266696416715957,-0.006848014942318253,0.00019694532591060131,0.0017487121236801945,0.00712662344280026,0.0017234428188660882,-0.00025917635446344364,0.0018743839058087397,0.002366531472095906,0.002270654482962025,-0.004692173042671004,-8.114612981622913e-08,-3.826942269747639e-08,-1.4189499579973376e-08,-2.448469304584598e-08,-6.438445589867411e-08,2.2993998419938815e-08,-0.0044277211380192825,0.001712664951055263,0.000336546864361894,-0.0002769250052597959,0.0020697054626610165,-2.2502817889276163e-10,-0.000570458199880377,0.004496481036635828,0.000815446839665425,0.003292429191631355,0.005636166415394763,0.0006830142151028762,-0.00039359306934247704,0.0027728418553200442,0.0015553041577491898,0.00022255015948337495,0.00028011992164179875,0.0019434068427359346,0.00170533960843881,0.005892270463154624,0.002206328616215498,-0.004932722745579723,0.0025988233437122294,0.00248221140326366,-0.007448248360796487,0.0038856755124535743,0.007881469050987137,0.008101112616808211,0.004814192940510804,-0.0015239013118394584,-0.000501007588805952,0.004029546860093912,0.004643490264335561,-0.00142753304154983,-0.006082696395143935,-0.002286456044143,-0.006212662410969967,-0.009933517601123577,-0.0009398312627404939,-0.0016880474975863556,-0.010325511147954814,-0.0064028942489146685,0.0012023049829325498,-0.00018935004280023874,-0.006780681418814682,0.0003638040289991795,0.0009233941204520344,-0.0011540682344125346,-0.0012413480829348272,-0.0166590018864204,-0.004205856785545829
abz8.pt,0.0018128846296921583,0.0006356420671429228,-3.576327431110472e-05,-0.00020691051633657203,0.00047732473234379997,0.001319450778726931,-6.214033688818233e-05,5.7828659688355255e-05,-0.0005031426140907405,0.002259934309693481,0.0003394895986619042,0.0005360784011936326,0.00017211920882490955,0.0007021224731506275,0.0002603054084818681,-0.00022980184488413226,-1.7930667043173087e-05,0.00014850454976745887,-0.001362795397375303,0.0014738536758143786,-0.0049114499644967525,-0.006066512728800196,-0.005287079859583825,-0.006764263902993997,0.00021326818917223093,0.0017239207289376256,0.0071549253393090794,0.0017279516429528341,-0.00039629353198208017,0.0018684016913964583,0.0024117225524701857,0.0022327634089858175,-0.004759943554113322,-8.114612981622913e-08,-3.826942269747639e-08,-1.4225377230871961e-08,-2.448469304584598e-08,-6.438445589867411e-08,2.2956838462428098e-08,-0.004438202709283622,0.001722249927224521,0.0003220563715453816,-0.00022778008062480237,0.002116293228655176,-2.2502817889276163e-10,-0.0005177787339543877,0.004561998567009408,0.0008821911966013999,0.0032289910652396913,0.00567300948742736,0.00047405304731747556,-0.0003903554059852487,0.002867741197941995,0.0016339159327688028,0.00023825015765574064,0.00023086609923785335,0.0019719555342141174,0.0016939362099059954,0.005844741553146987,0.002222434045449742,-0.005031305817274571,0.002610326390033648,0.0024369667461146822,-0.007453806293706296,0.0039369897938584955,0.007830254688239847,0.008102701340835131,0.004864625619434135,-0.0018356661477576123,-0.0003306858220576383,0.004059859635189306,0.004711459023015944,-0.001414537810502586,-0.005840464511209896,-7.540067705084547e-05,-0.006028073983714798,-0.009513665506474962,-0.000839797602205961,-0.0014435981552283483,-0.010340479503828848,-0.006067456067028123,0.0016326939652380142,-0.0006639873296309691,-0.006747761465500692,0.0004536098726298131,0.0008942304908465706,-0.0015390131294798855,-0.0010931668766154805,-0.016655878861287696,-0.004143698785951485
abz9.pt,0.0018066743213294265,0.0006275397751522646,-1.6652731250546778e-05,-0.00020196491248232628,0.0005031275043868991,0.0010328761418630786,-6.403140011886733e-05,7.645080772990499e-05,-0.0004266215500178367,0.002060614613831855,0.0003706671759098617,0.0006588735274819623,0.00015878671664295877,0.0005321893220019235,0.0002176856916085635,-0.00023152668888396094,-7.250433346943977e-05,-8.535902897113466e-05,-0.0013473134957222791,0.0014223537389863726,-0.004951365078168234,-0.006083325729573552,-0.005413389337691251,-0.00685428113160448,0.00012212361315433026,0.0017054356264074692,0.007200185263575187,0.0017759704415115042,-0.00040917020233510645,0.0019514993773391478,0.00243298378911243,0.0021531877943579236,-0.004805553635565087,-8.112520091890069e-08,-3.829178779651491e-08,-1.4385922780761133e-08,-2.448981956595217e-08,-6.438445589867411e-08,2.3328088611535997e-08,-0.004529610527082514,0.0017450303695195235,0.0001821269187152282,-0.0002478795460537242,0.002133048520199289,-2.2502817889276163e-10,-0.0005122037325837267,0.004597550993437798,0.0008936326021749912,0.003342697027746308,0.00562282854286612,0.0004885938029883827,-0.0004193201157450774,0.0028027047967789194,0.001654889850754043,0.00023197824832122928,4.390457486655861e-05,0.0019997394113562173,0.0017016811242065125,0.005781509950400969,0.0022600902610976745,-0.005011212366390761,0.00262267521399479,0.0025057517066909233,-0.007482452868800292,0.0039368030519085365,0.007831612486946844,0.008119491132143834,0.004779075325288729,-0.0018687192062581117,-0.00046244615429097045,0.0040349073053651185,0.004802406410293611,-0.001506189051841077,-0.008593994512913592,0.0003831144572871857,-0.006024718665600564,-0.009700007933387995,-0.0010006111386336746,0.0002131997150904508,-0.01039001586545205,-0.006146619973144685,0.001575800190539432,-0.0006113908740465458,-0.006774362579190084,0.00040817926887543304,0.0008074595896389389,-0.0015854860306533333,-0.001066029294615388,-0.016548732823786754,-0.004021344569084479
ft06.pt,-0.006250909520325546,-0.0003323379487550723,-0.0001978327145068752,-0.0002157225723274478,0.00010834532899329844,0.00022335461700314925,-0.0002629997914174762,1.0299235979297928e-05,-0.00029744289384348407,-0.0005571555310934211,-0.0004534515011302447,-0.0006349555242777782,-0.0003084408708132403,-0.0005038668121807542,-0.0002900122767151348,-0.0004468375553447572,-0.0005292022606122044,-0.001226997937567975,-0.0005927497410862102,0.0005288784881102903,-0.005636769612185737,-0.004932691234441031,-0.004649175061967083,-0.005840002746692533,-0.0005130156632947544,-0.004016348221398987,-0.022517875865138367,-0.006395503131731254,-0.00010797562060032433,-0.006673362067141639,-0.008286069582390077,-0.006477369673881251,-0.0040920255996276435,-5.230689231109391e-06,1.876087296833654e-06,-5.256607376041114e-07,2.0762949344955126e-06,3.9527020323912684e-07,4.710323368858105e-07,-0.004051300490692366,-0.006221763875807401,-0.00026443327880806383,-0.00021239540295956655,-0.006835687595577143,-4.7353226547270907e-07,-0.00019902490841630145,-0.010398751319603276,-0.001446830147290533,-0.006976623515879568,-0.015991292698793437,-0.0009336166984273646,-0.001015829149104882,-0.008882884142996695,-0.0038926257425433725,-0.0007127237189684844,-0.001003907527207459,-0.006467363806192353,-0.004568811565442258,-0.01698191264078758,-0.006799532635446819,-0.004301451161235258,-0.007551434778942327,-0.006987936884046171,-0.006173650398510341,-0.01139008377591592,-0.020739402672524068,-0.022929807036617983,-0.014567207275164492,-0.0010234106409155962,-0.0002404954315307622,-0.011828749883613463,-0.00971324055568857,-0.0011219416596129543,-0.004833913311610352,-0.0032413386726888667,-0.006017034778793701,-0.007404836811054118,-0.0014464601480078864,-0.001452295315791913,-0.0077528505444822374,-0.005612597115002376,-3.6192603054124244e-05,-0.00014809577747859593,-0.005179696048083228,5.034167012766759e-05,4.8685296548286435e-05,-0.0006695481821139276,-0.0027954847469174,-0.02465127956575242,-0.004396528912724495
ft10.pt,-0.005526286762070421,-0.00037742532464242376,0.00023426525494980218,-0.0002700098315391389,0.00015560500612360248,-3.286446782445981e-05,0.0001076748106577282,2.739577912926617e-05,-0.0003254111834663516,-0.0006617707665082952,-0.0004350256146194131,-0.0007823554257396477,-0.0002712427228687365,-0.0005675797297178236,-0.00023910391783740163,-0.0001786138400963419,-0.0003935784782389808,-0.0012428856360019679,-0.0007962524364791592,-0.0002611500734017767,-0.005050865784988743,-0.004372626405720352,-0.004105015562486099,-0.0047775256696203595,-0.0005280416390809166,-0.003492230143476832,-0.019716106024703774,-0.0057186359202797635,-8.965980794493372e-05,-0.0059410879714754065,-0.00759378359895159,-0.005962167123938184,-0.003700777817065204,-2.5675766152798027e-07,-7.357640976913331e-08,-1.7101599298278287e-07,1.0190260213222852e-06,-4.598666355635246e-07,4.987296509740267e-08,-0.003200351856401326,-0.005758228753892922,-0.00018416526189679982,-0.00019818258641763847,-0.006216775660097105,-8.221086203584647e-09,-0.00017537784654656673,-0.00981015489052627,-0.0014982421613377987,-0.007204644068398821,-0.016902894963867196,-0.0009087647018381749,-0.0008701649469874023,-0.009033423550138782,-0.00419076149424149,-0.0005336449085004737,-0.0012467583604661066,-0.005560518988193633,-0.0040778369747735185,-0.015099261514512614,-0.005957629347153313,-0.0038726224698796743,-0.007075771689449578,-0.006282048405072772,-0.004940515874444857,-0.010455878062474909,-0.01997729031218689,-0.022193746262953954,-0.013539903666978777,-0.001030247469605868,-0.00015694174855660251,-0.010793927880085232,-0.009105784720262251,-0.0011078859425335465,-0.002935899627662219,-0.0026632489619917983,-0.004653327778240049,-0.006177565193736921,-0.0016032580555567404,-0.0017451458597328817,-0.005792488392202942,-0.004032192024923669,0.0006939771955443403,-0.0004163091556351051,-0.004639233758301764,-5.40999293467212e-05,0.00028340700838278254,-0.0007296702423752689,-0.0023273643366549576,-0.023598651585326307,-0.003925427088024001
ft20.pt,0.0017986189687670719,0.0002245666458570691,0.00010705495039322256,-0.0003621132474444549,0.00011184126191081738,0.00011083322608926963,-3.5217628793622346e-05,-1.859457075145344e-05,-0.0007168192357805035,-0.000991835130198014,-1.3031552222173065e-05,-0.00024127839099240015,-2.4466381567696228e-05,0.0006228569919151704,0.00017010586465425644,-0.00022432267879644638,0.00014878723559731704,-0.001143061103633229,-0.0006339960929557555,7.895075000012014e-05,-0.005770975418595555,-0.006698482349100944,-0.006248085418495709,-0.006795365266867556,0.000904858340583888,0.001225995932755678,0.0067758892336814164,0.00176927834117396,-7.846985498873215e-05,0.0021583461892147418,0.00236195739226215,0.0020526466133409344,-0.0055538954860452905,-1.4393258720407168e-07,5.950916523678346e-09,-2.869695976812809e-08,4.593742500205419e-08,-4.7186583339953094e-08,3.103109090177557e-08,-0.005180616207831963,0.00165347070499446,0.0009436803758846919,-0.00014071406660008933,0.001820564622783863,-2.2263780404104593e-09,0.0007355669598607615,0.004957934162609903,0.0011813828850857427,0.003741109869387448,0.005837625429336438,0.0006314486702342992,0.00041298474435418146,0.0025792103760330625,0.0015911944396930396,0.00023868538265453757,-0.0004744493794126151,0.0018968232476548022,0.0015175708354162134,0.005139529460748754,0.001999144331393018,-0.005620017813693931,0.0024530829494969777,0.0021959296468346944,-0.007782995441501819,0.0035839109485710854,0.007663023011693963,0.0075631310754035,0.004677903571568304,-0.0013858813567161916,0.00011422712189061491,0.0038328310584246545,0.0044816911266937435,-0.0014445553103826394,-0.00747616727649255,-0.0030703878621938584,-0.007546594391730828,-0.010729795620873958,-0.0012730755513835435,-0.0025515364025893573,-0.010874871053730042,-0.006652273635875272,0.0004917196597565108,-7.669152677601533e-06,-0.006513283471083167,-4.3892629492707166e-05,0.0005312586221714916,-0.0008116097184075067,6.351416389378681e-05,0.007958151686914276,-0.005186786731876119
la01.pt,-0.006118826065365062,9.706653739247842e-06,-0.00015935761283909403,0.0008692892858065225,0.00015269830853860953,7.896567041996425e-05,-0.00013505268299687608,0.00018438894673101236,0.0006584789171924161,4.008563514341783e-06,-0.00022345959125228497,-0.000531700216312888,-0.00010032107997303033,-0.00014784397537173725,-9.058724472820842e-05,-0.0002743256989294323,-0.00020407904995475422,-0.0010173109005501648,-0.0009111611470116142,-9.335464534954412e-06,-0.005517353130479166,-0.004820463392452018,-0.004438725990516203,-0.005643443720782998,8.629211791352967e-05,-0.003888428450860663,-0.021798610751434803,-0.005967483921254727,2.9531607349343638e-05,-0.006135244384163191,-0.008005225987834501,-0.006292752877639344,-0.0038087097477281723,-1.3229437676161989e-07,2.0867812439795173e-07,5.001696467624414e-07,2.443080646483546e-07,-3.820324581901461e-08,1.4357943205066567e-07,-0.003980853814605573,-0.005858123841467049,-6.732649204480346e-05,2.6014286692383272e-05,-0.006689042070826696,5.238032954367302e-08,0.00010560008010408995,-0.009785746899771334,-0.00117902050667641,-0.006969310221473909,-0.014560927080095133,-0.000999179977203064,-0.0005622543812021459,-0.009025541508377354,-0.004099629876688764,-0.000531488949288191,-0.0006872203511309698,-0.006056827118717951,-0.00441195751310113,-0.016420318078260627,-0.006405357893077244,-0.004069175022005034,-0.007416261470627175,-0.006368105338700349,-0.006020475098191287,-0.011211181687002306,-0.020217301441376106,-0.022418696114096245,-0.014408088127403917,-0.0009511210815931539,-0.00023487358196804212,-0.01126713499675947,-0.009316253967712912,-0.0009724188032641059,-0.004832648145080369,-0.0022058581954168817,-0.005267626668682119,-0.006892796115480076,-0.0012357375856721837,-0.001083928303027843,-0.007571634686661866,-0.00456694997869106,0.00017567265796636058,-0.00025373149602235344,-0.005012760241751638,0.0005193400445431266,-0.0001841103765694778,-0.0006574231757247595,-0.0023075400209164446,-0.02435850762634133,-0.004257975725481887
la02.pt,-0.006185677029165936,-4.228880357428519e-05,0.0002078585530510656,-0.00028857843015991474,1.8286082087084045e-05,0.00016847692526240766,0.00017511832258836044,-2.6292850801492556e-05,0.0003085377179214348,-0.0007348826387368207,-0.00019084301271143618,-0.0006277296990316798,-0.0001433076099995744,-0.000134692501986541,-9.061132962800453e-05,-0.0002675214386274827,-0.00022912867305262323,-0.0010630563986913277,-0.0007318378452339095,9.06137806420193e-05,-0.00570506287947142,-0.004941791858660407,-0.00451068172425032,-0.005698377044863883,3.5957197232303394e-05,-0.003997704726272096,-0.021723344904681936,-0.0060633589474727604,-2.3912098275734966e-06,-0.006374654756377622,-0.008041779781434683,-0.0063661142553517016,-0.0038380311529552717,-1.9092463292058139e-07,5.572025560353677e-07,1.5759170075987188e-07,1.3417342866632868e-06,2.9284287598256467e-08,1.4660235779463014e-07,-0.003948179314710181,-0.0059867805999242974,-3.9358620235576974e-05,-3.50787796824635e-05,-0.006763864818025603,-1.4566037669681862e-08,1.580181574764585e-05,-0.009736791895931796,-0.0011822352691754725,-0.007037268145880689,-0.014688357104929608,-0.0009987768650571768,-0.0005561393968610161,-0.008756111405688584,-0.004035997848058457,-0.0004576602190776844,-0.0007576636788150974,-0.006076703458600309,-0.004392388301175485,-0.0166395900554327,-0.006556084336903958,-0.0041400919495222545,-0.00755080289563559,-0.006624000862676463,-0.006248495390139773,-0.011179887762417257,-0.020095131150647958,-0.02224901182437964,-0.014421340737408412,-0.00095794658243076,-0.00025680376591825623,-0.011387175293472902,-0.009399980606976274,-0.0009854227644700453,-0.004914268840260369,-0.003326766302140044,-0.005689888623160414,-0.007081777492993162,-0.0014633833939781437,-0.0017455182260902597,-0.0074563312464409155,-0.005040906648681545,-6.367798997079683e-05,-0.00020616070341190234,-0.005096202569489253,-9.033304082161982e-05,0.00046861985850302614,-0.0006426550891696669,-0.0027741274973529075,-0.02442464885697739,-0.004125644092052667
